sentence1;sentence2;accuracy;fluency;diversity
Žrebanje je potekalo prek spletne konference.;Žreb je potekal v obliki spletne konference.;;;
Od 9,8 milijard evrov humanitarne pomoči, ki je bila leta 2010 zagotovljena po vsem svetu, je približno 41 % prispevala EU.;Od 9,8 milijarde evrov, ki so bili leta 2010 namenjeni humanitarni pomoči po svetu, je EU prispevala približno 41 %.;;;
Svetovna zdravstvena organizacija za zdravljenje priporoča albendazol, mebendazol, levamizol ali pirantelpamoat.;Svetovna zdravstvena organizacija za zdravljenje priporoča albendazol, mebendazol, levamizol ali pirantela pamoat.;;;
Diplomirala je 23. januarja 2006 iz umetnostne zgodovine, etnologije in sodobne zgodovine.;Diplomirala je 23. januarja 2006 iz zgodovine umetnosti, etnologije in sodobne zgodovine.;;;
Afriški divji osel (Equus africanus) je divja žival iz družine konj (Equidae).;Afriški divji osel (Equus africanus) je divji član družine konjev (Equidae).;;;
V svoji zgodnji zgodovini je bila Amerika skupek britanskih kolonij na vzhodni obali današnjih Združenih držav Amerike.;V zgodnji zgodovini je bila Amerika skupek britanskih kolonij na vzhodni obali današnjih Združenih držav Amerike.;;;
Medtem ko je zajtrk, že sanjari o kosilu, ko pripravlja večerjo, pa hkrati razmišlja, katero brezgrešno sladico bo ustvarila pozneje.;Med zajtrkom že sanja o kosilu, med pripravljanjem večerje pa razmišlja o tem, katero sladico brez greha bo pripravila pozneje.;;;
"Bilo mi je vseeno, kaj je, želela sem le, da mi dovoli jesti, kar mi je všeč, in pozneje sem izvedela, da je to pravzaprav makrobiotična hrana; jej, kar ti je všeč, ker tvoje telo že ve, kaj je to.";"Meni je bilo vseeno, kaj on je, hotel sem samo, da mi pusti jesti, kar meni paše, in pozneje sem ugotovil, da je to pravzaprav makrobiotska hrana; jej, kar ti paše, kajti tvoje telo že ve, kaj to je.";;;
Spremljevalka bo dobila občutek, da potrebujete pozornost vsakega človeškega primerka, ki se vsaj na sto metrov približa vajini mizi in vam torej njena navzočnost ni dovolj.;Vaša spremljevalka bo dobila občutek, da potrebujete pozornost vsakega človeka, ki se približa vaši mizi na manj kot 100 metrov, zato njena prisotnost ni dovolj.;;;
Programsko opremo lahko zaženete v računalnikih Apple Macintosh z uporabo virtualizacijske programske opreme Parallels ali VirtualBox for Mac.;Program lahko deluje na računalnikih Apple Macintosh z uporabo programske opreme za virtualizacijo Parallels ali VirtualBox za Mac.;;;
Z razvojem sodobne diagnostične opreme ta izredno tvegan postopek ni več potreben, zato ne priporočamo jemanja te zelo strupene snovi.;Z razvojem sodobne diagnostične opreme ta izredno tvegan postopek ni več potreben, zato odsvetujemo zaužitje te zelo strupene snovi.;;;
Zaradi motenega odnosa med starši in otroki pogosto pride do motenj v prehranjevanju, kar pomeni, da otrok je premalo ali preveč.;Moten odnos med starši in otroki pogosto privede do motnje hranjenja, tj. otrok je premalo ali preveč.;;;
Spada v rod Hepacivirusov iz družine Flaviviridae.;Spada v rod Hepacivirus iz družine Flaviviridae.;;;
To mu je prineslo njegovo začetno priljubljenost.;To mu je prineslo začetno priljubljenost.;;;
Nekatere metode kontracepcije se lahko začne uporabljati takoj po porodu, druge pa šele po največ šestih mesecih.;Nekatere metode kontracepcije se lahko začnejo uporabljati takoj po porodu, druge pa šele po največ šestih mesecih.;;;
Grlo vedno vsebuje bakterije, vendar so potencialno nalezljive bakterije tam samo v določenih obdobjih in pod določenimi pogoji.;V grlu so vedno bakterije, vendar so potencialno nalezljive bakterije prisotne le ob določenem času in pod določenimi pogoji.;;;
Ob približno istem času so se bratje začeli pojavljati v reklamah za lizike Baby Bottle Pops, v katerih so nastopali s petjem.;Približno v istem času sta se brata začela pojavljati v oglasih za lizike Baby Bottle Pops, v katerih sta tudi pela.;;;
Kasneje je bil sekretar Akademije malteških jezikov (Akkademia tal-Malti).;Kasneje je bil tajnik Akademije malteških jezikov (Akkademia tal-Malti).;;;
Tako so se začela njuna neverjetna potovanja.;In tako so se začela njihova neverjetna potovanja.;;;
Prosta spletna različica je bila le delno dostopna javnosti.;Brezplačna spletna različica je bila le delno dostopna javnosti.;;;
V tem članku je pokazal, da obstaja protislovje med Carnotovim pravilom in konceptom ohranitve energije.;V tem prispevku je pokazal, da obstaja protislovje med Carnotovim pravilom in konceptom ohranitve energije.;;;
Pri tem glive rastejo znotraj rastlinskih celic, kar jim omogoča izmenjavo hranil z gostiteljem, hkrati pa pošiljajo signale, ki zavirajo imunski sistem rastline.;Tu rastejo glive v notranjosti rastlinskih celic, kar jim omogoča izmenjavo hranil z gostiteljem, hkrati pa pošiljajo signale, ki zavirajo imunski sistem rastline.;;;
Veliko je bilo neuspešnih poskusov, da bi sumerščino povezali z drugimi jezikovnimi skupinami.;Sumerščino so neuspešno poskušali združiti z drugimi jezikovnimi skupinami.;;;
Če bi se razdalja med našima nebesnima telesoma spreminjala samo zaradi tega, bi bile te spremembe sicer ciklične, vendar popolnoma enakomerne.;Če bi se razdalja med našima nebesnima telesoma spreminjala le zaradi tega, bi bile spremembe ciklične, vendar popolnoma enakomerne.;;;
Prostornina kocke v tridimenzionalnem prostoru je 1 kubična enota, njena površina pa 6 kvadratnih enot.;Prostornina enotske kocke v tridimenzionalnem prostoru je enaka 1 kubični enoti, njena površina pa je 6 kvadratnih enot.;;;
Vidva pa doma Roku prepovejta uporabo grdih besed in predlagajta zamenjavo zanje.;Doma Roku prepovedujeta uporabo grdih besed in mu predlagata, kako jih nadomestiti.;;;
Dokument naj bi njunim naslednikom pomagal poglobiti rusko-ameriško prijateljstvo.;Dokument naj bi njunima naslednikoma služil pri poglabljanju rusko-ameriškega prijateljstva.;;;
Sam je poškodbam podlegel na kraju nesreče, Lucy pa so odpeljali z dvema zlomljenima rebroma in predrtimi pljuči.;Sam je zaradi poškodb umrl na kraju nesreče, Lucy pa so odpeljali z dvema zlomljenima rebroma in predrtimi pljuči.;;;
Mnoge kulture skozi zgodovino so debelost razumele kot posledico značajske napake.;Številne kulture so v zgodovini debelost obravnavale kot posledico značajske napake.;;;
Cepiva se ne sme uporabljati pri nosečnicah ali osebah z oslabljenim imunskim sistemom.;Cepivo se ne sme uporabljati pri nosečnicah ali osebah s šibkim imunskim sistemom.;;;
Njegove raziskave so imele velik vpliv na teoretično fiziko, pa tudi na povsem matematična področja, vključno s teorijo števil.;Njegove raziskave so trajno vplivale tako na teoretično fiziko kot na povsem matematična področja, vključno s teorijo števil.;;;
Ko je vžigalnik, dobi vžigalice v krmi.;Ko je vžigalnik, dobi vžigalice v hrano.;;;
Tone Kerin, eden od desetih slovenskih misijonarjev na Madagaskarju, se prehranjuje samo s hrano, ki jo jedo otočani.;Tone Kerin, eden od deseterice slovenskih misijonarjev na Madagaskarju, je samo tisto, kar jedo otočani.;;;
Schmidtova kamera, znana tudi kot Schmidtov teleskop, je katadioptrični astronomski teleskop, ki omogoča široko vidno polje z zmanjšano aberacijo.;Schmidtova kamera, znana tudi kot Schmidtov teleskop, je katadioptrični astronomski teleskop, ki zagotavlja široko vidno polje z nizko aberacijo.;;;
To si bo dobro zapomnila tudi Suzana Jakšič, ki je, čeprav malo je in je vedno na dieti, doživela zastrupitev s hrano.;Suzana Jakšič, ki se je zastrupila s hrano, čeprav zelo malo je in je vedno na dieti, si bo to dobro zapomnila.;;;
Venerina griča na obeh Filipovih dlaneh sta zelo široka in polna.;Venerini griči na obeh Filipovih dlaneh so zelo široki in polni.;;;
Leta 1990 je Woodard izumil namišljen psihoaktiven stroj, Feraliminal Lycanthropizer, katerega učinki naj bi bili nasprotje učinkov Dreamachine.;Leta 1990 je Woodard izumil namišljeni psihoaktivni stroj Feraliminal Lycanthropizer, katerega učinki naj bi bili nasprotni učinkom Dreamachine.;;;
Predvidevam, da je bilo z vašima hčerkama do vstopa v šolo vse približno enako in da so vas prve večje razlike presenetile pri učni oz. šolski samostojnosti in uspešnosti.;Predvidevam, da je bilo pri obeh hčerkah vse enako, dokler nista začeli hoditi v šolo, in da so vas prve velike razlike v učni samostojnosti in dosežkih presenetile.;;;
Skladi so prerazporeditveni finančni instrumenti, ki znotraj Evrope podpirajo kohezijo s tem, da osredotočajo porabo na manj razvita območja.;Skladi so prerazdelitveni finančni instrumenti, ki spodbujajo kohezijo v Evropi, tako da usmerjajo porabo v manj razvita območja.;;;
V vaših filmih je veliko humorja, ki je pogosto lokalni.;V vaših filmih je veliko humorja, ki je pogosto lokalnega značaja.;;;
Kar naprej je ene tablete.;Jemlje po eno tableto naenkrat.;;;
Metroseksualec je izraz, ki opisuje heteroseksualnega moškega tretjega tisočletja, ki mu ni vseeno, kako se oblači, kakšen je, kako je videti, ki želi biti negovan in ki mu je vseeno, kaj si o tem mislijo drugi.;Metroseksualec je besedna zveza, s katero opisujemo heteroseksualnega moškega tretjega tisočletja, ki mu ni vseeno, kako se oblači, kakšen je, kako je videti, ki želi biti negovan in mu je vseeno, kaj si drugi mislijo o tem.;;;
Schmidtova kamera, znana tudi kot Schmidtov teleskop, je katadioptrični astronomski teleskop, ki zagotavlja široko vidno polje z nizko aberacijo.;Schmidtova kamera, znana tudi kot Schmidtov teleskop, je katadioptrični astronomski teleskop, ki zagotavlja široko vidno polje z zmanjšano aberacijo.;;;
Speke je nadaljeval in našel dejanski izvir, jezero Victoria.;Speke je nato našel dejanski vir, Viktorijino jezero.;;;
Gobarji pridejo na prve strani časopisov le, če kakšen nadobudni nabiralec nabere 30 kilogramov gob in ga ujame budno oko grosupeljske policije, kot se je to zgodilo pred nekaj tedni.;Gobarji prihajajo na naslovne strani časopisov kvečjemu, če kakšen nadobuden nabiralec nabere slabih 30 kilogramov gob, pa njega in njegova gobarska pohodnika ujame budno oko grosupeljskih policistov, kot se je zgodilo pred par tedni.;;;
Vaše vprašanje je najpomembnejše od vseh, ki jih lahko postavi razmišljujoč človek.;Vaše vprašanje je najpomembnejše od vseh, ki jih lahko postavi vsak razmišljujoč človek.;;;
Toda pustite možu, da živi, kot mu je všeč, in ga ne obsojajte, ker po 25 letih zakona ni več navdušen nad tem, kar počneta skupaj.;Vendar pustite možu, da živi, kot mu je všeč, in ga ne obsojajte, ker po 25 letih zakona ni navdušen nad tem, kar počneta skupaj.;;;
Beseda »Indija« izhaja iz imena reke Ind.;"Beseda ""Indija"" izhaja iz imena reke Indus.";;;
"""Ko sem zagledal vaše obraze, sem vedel, da ste zame izgubljeni,"" nam je povedal.";"Ko sem zagledal vaše obraze, sem vedel, da ste zame izgubljeni,"" nam je povedal.";;;
Komisija za Donavo se je odločila uničiti dva stebra, ki sta ovirala plovbo.;Donavska komisija se je odločila uničiti dva stebra, ki sta ovirala plovbo.;;;
Jeseni 2004 se je na isti univerzi vpisala na študij etničnih študij.;Jeseni 2004 je na isti univerzi vpisala študij etnologije.;;;
Z Devom sva si rekla: bodimo dobri prijatelji, osredotočimo se na ta trenutek, imejmo čist, odprt odnos.;"Z Devom sva si rekla: ""Bodimo dobri prijatelji, osredotočimo se na ta trenutek in ohranimo odprt odnos.";;;
Junija 2014 se je kot vodja gibanja udeležil 9. mednarodnega mladinskega nogometnega turnirja v spomin na Jurija Andrejeviča Morozova.;Junija 2014 je kot vodja gibanja obiskal 9. mednarodni mladinski nogometni turnir, organiziran v spomin na Jurija Andrejeviča Morozova.;;;
Medtem ko je bilo zanimanje v Celju osredotočeno na dve srečanji reprezentance, so grofice skrbno načrtovale, kako zmanjšati zaostanek za vodilno Gorico.;Medtem ko je bilo zanimanje v Celju osredotočeno na obe reprezentančni srečanji, so grofice skrbno načrtovale, kako zmanjšati zaostanek za vodilno Gorico.;;;
Geotermalna energija je toplotna energija, ki nastaja zaradi notranje toplote zemlje.;Geotermalna energija je termalna energija, ki jo proizvaja Zemljina notranja vročina.;;;
Robot mora ubogati človekove ukaze, razen če so v nasprotju s prvim zakonom.;Robot mora ubogati človeške ukaze, razen če ti kršijo prvi zakon.;;;
Na splošno se lahko podatki brezplačno uporabljajo v komercialne ali nekomercialne namene pod pogojem, da je vir ustrezno naveden.;Na splošno se lahko podatke brezplačno uporabi v komercialne ali nekomercialne namene, pod pogojem, da se ustrezno navede vir.;;;
Francija je sprejela ustavo četrte republike 13. oktobra 1946.;Francija 13. oktobra 1946 sprejme Ustavo četrte republike.;;;
Stara sem le 17 let in imam 13 let izkušenj na tem področju, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!;Stara sem šele 17 let in res je, da imam na tem področju že 13 let izkušenj, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!;;;
Ko sva se srečala, mi je dal znak, naj se mu pridružim.;Ko sva se srečala, me je povabil, naj se mu pridružim.;;;
Preden Sod kupi novo Muro ali njeni dve podjetji, mora najti sposobne menedžerje, ki bodo skrbeli za delovanje nove Mure.;Pred nakupom nove Mure ali njenih dveh podjetij mora Sod najti sposobne menedžerje, ki bodo novo Muro ohranili pri življenju.;;;
Od takrat gora Fuji ni več izbruhnila.;Od takrat gora Fudži ni več izbruhnila.;;;
Antibiotiki ne delujejo proti virusnim okužbam, vključno z virusi, ki povzročajo prehlad.;Antibiotiki ne učinkujejo proti virusnim okužbam oziroma virusom, ki povzročajo navadni prehlad.;;;
V mnogih pogledih je bil Friderik VIII. liberalni vladar, saj je bil veliko bolj naklonjen novemu parlamentarnemu sistemu kot njegov oče.;Friderik VIII. je bil v mnogih pogledih liberalen vladar, ki je bil veliko bolj naklonjen novemu parlamentarnemu sistemu kot njegov oče.;;;
"Zadnje programsko obdobje ESS je trajalo od leta 2007 do 2013 pod geslom ""Vlaganje v ljudi"".";Zadnje programsko obdobje ESS je trajalo od leta 2007 do leta 2013 pod geslom »Vlaganje v ljudi«.;;;
Bismarck je potreboval dobre odnose z Rusijo, da bi Francija ostala izolirana.;Bismarck je potreboval dobre odnose z Rusijo, da bi Francija še naprej ostala izolirana.;;;
Angleški prevod je bil objavljen v reviji Galpin Society Journal leta 1961.;Angleški prevod je bil objavljen v časopisu Galpin Society Journal leta 1961.;;;
Njegove veličastne ruševine že stoletja burijo domišljijo popotnikov in pisateljev.;Njegove veličastne ruševine so cela stoletja navdihovale domišljijo popotnikov in piscev.;;;
Bolnišnice nimajo vedno potrebne opreme ali izkušenega osebja, da bi test opravile v zahtevanih 10 minutah po odvzemu vzorca.;Bolnišnice nimajo vedno dovolj opreme ali izkušenega osebja, da bi test opravile v zahtevanih 10 minutah po odvzemu vzorca.;;;
Na računalniškem ekranu v njegovem kabinetu se ponovno vrti neverjetni prizor z ribico, ki prižiga luč in je – kot v samopostrežni restavraciji.;Neverjeten prizor, v katerem riba prižge luči in se še naprej vrti - kot v samopostrežni restavraciji - na računalniškem zaslonu v njegovi pisarni.;;;
Pripada rodu Hepacivirus iz družine Flaviviridae.;Spada v rod Hepacivirus iz družine Flaviviridae.;;;
Albumi v živo so lahko posneti na enem samem koncertu ali pa vsebujejo posnetke z več koncertov.;Albume v živo lahko posnamejo na enem koncertu, lahko pa vsebujejo posnetke, ki so nastali na več koncertih.;;;
Sledimo ji sem in tja prek naravnih prehodov vse do vrha stene, 2300 m visoko, kjer se odpre razgled na gore nad Vrati.;Po njej se skozi naravne prehode vračajte do vrha stene, visoke 2300 m, od koder se razprostira pogled na gore nad Vratso.;;;
Vojaške in gospodarske napetosti med Veliko Britanijo in Nemčijo so bile glavni vzrok za prvo svetovno vojno, v kateri so se Britanci močno opirali na svoj imperij.;Poznejše vojaške in gospodarske napetosti med Veliko Britanijo in Nemčijo so bile med večjimi vzroki za prvo svetovno vojno, med katero so se Britanci zelo zanesli na svoj imperij.;;;
V polfinalu sta izgubili ZDA in Jugoslavija.;ZDA in Jugoslavija izgubita v polfinalu.;;;
