sentence1;sentence2;accuracy;fluency;diversity
Chopin, ljubljenec pariških salonov, kamor se je zatekel pred represivno rusko oblastjo nad rodno Poljsko, se je zaljubil v razvpito pisateljico in emancipiranko Aurore Dupin, bolj znano pod imenom George Sand, ter z njo in njenima otrokoma iz razvezanega zakona preživel burnih devet let strastne ljubezni, ljubosumja, vročičnega umetniškega ustvarjanja in bolezenskih napadov.;Chopin, ljubljenec pariških salonov, kamor se je zatekel pred represivno rusko oblastjo nad rodno Poljsko, se je zaljubil v razvpito pisateljico in emancipirano Auroro Dupin, bolj znano kot George Sand, in z njo ter njunima dvema otrokoma iz ločenega zakona preživel devet burnih let, polnih strastne ljubezni, ljubosumja, vročične umetniške ustvarjalnosti in napadov bolezni.;;;
Ne takrat, ko se počuti lačnega, ampak ko se mu ponudi priložnost.;Ne je takrat, ko čuti lakoto, ampak takrat, ko se ponudi priložnost.;;;
Njune rojstne datume smo poslali na nekaj spletnih naslovov in pričakovali odgovor na vprašanje, zakaj se naša dva največja junaka ne razumeta.;Na nekaj internetnih naslovov smo poslali njuna rojstna datuma in pričakovali odgovor na vprašanje, zakaj se naša največja junaka ne razumeta.;;;
Tokrat smo se ukvarjali z impulzivnimi nakupi, ki so se ženama, eni v Ljubljani in drugi v Londonu, zdeli velika napaka, zapravljanje denarja ali celo čisti spregled.;Tokrat smo se ukvarjali z impulzivnimi nakupi, ki so se ženama, eni v Ljubljani in drugi v Londonu, zdeli velika napaka, zapravljanje denarja, pravzaprav čista napaka.;;;
Stari Rimljani so kislo vino kuhali in iz njega naredili zelo sladek sirup, imenovan sok.;Stari Rimljani so kuhali kislo vino in tako pridobili zelo sladek sirup, imenovan sok.;;;
Spodbuja delavce, da z vseživljenjskim učenjem prevzamejo nadzor nad svojim poklicnim življenjem ter se prilagodijo spremembam in mobilnosti.;Delavce spodbuja, da prevzamejo nadzor nad svojimi delovnimi življenji z vseživljenjskim učenjem in se prilagajajo spremembam ter mobilnosti.;;;
Po vrnitvi v prestolnico je kralj v zahvalo zgradil tempelj.;Potem ko se je vrnil v prestolnico, je kralj v zahvalo zgradil tempelj.;;;
Skupaj s pomočjo, ki jo zagotavljajo posamezne države članice, je EU največja donatorka pomoči.;Skupaj s pomočjo posameznih držav članic je EU največja donatorica pomoči.;;;
Preprost način, da oblikujemo kapljo je, da pustimo, da tekočina počasi teče s spodnjega konca navpične cevi z majhnim premerom.;Enostaven način za oblikovanje kapljic je, da pustite tekočino počasi teči s spodnjega konca navpične cevi z majhnim premerom.;;;
"Važno je le, da je resnica zgolj tvoja, ki te v celoti napolnjuje, in pri tem je vseeno, ali si jo samemu sebi lahko razložiš ali ne; kar je važno, je, da ona sama sebe razloži tebi, ker je vredna samo tebe, tebi dosegljiva, da ti dobavlja ključe do samega sebe, da ureja vsako tvoje početje, pospeši korak, če si prepočasen, razsvetli notranjost tvojih misli, ti presvetli besede, te poduhovi, tvoji žalosti in obupu zapove, da moraš braniti sebe ali bežati pred sabo.";"Pomembno je le, da je resnica samo tvoja in da te popolnoma napolni, ne glede na to, ali si jo znaš razložiti ali ne; pomembno je, da se ti razloži, ker je vredna samo tebe, da ti je dostopna, da ti priskrbi ključe do sebe, da ureja vsako tvoje dejanje, da pospeši tvoj tempo, če si prepočasen, da osvetli notranjost tvojih misli, da osvetli tvoje besede, da te poduhovlja, da zapoveduje tvoji žalosti in obupu, naj se branita ali bežita pred seboj.";;;
Sprva se je upravičeno domnevalo, da Sirija ne bo začela vojne z Izraelom, dokler tega ne bo storil tudi Egipt.;Sprva se je pravilno domnevalo, da Sirija ne bo začela vojne z Izraelom, dokler je ne bo začel tudi Egipt.;;;
Za zdravljenje Svetovna zdravstvena organizacija priporoča zdravila albendazol, mebendazol, levamizol ali pirantel pamoat.;Svetovna zdravstvena organizacija za zdravljenje priporoča albendazol, mebendazol, levamizol ali pirantelpamoat.;;;
Približno v istem času sta brata začela nastopati v oglasih za lizike Baby Bottle Pops, v katerih sta tudi pela.;Ob približno istem času so se bratje začeli pojavljati v reklamah za lizike Baby Bottle Pops, v katerih so nastopali s petjem.;;;
Nadaljnje preiskave, kot so preiskava krvi, rentgensko slikanje in bakterijske kulture, navadno niso potrebne.;Nadaljnji testi, kot so krvne preiskave, rentgensko slikanje in bakterijske kulture, običajno niso potrebni.;;;
Pri šibkih starejših ljudeh lahko dobra ustna higiena zmanjša tveganje za aspiracijsko pljučnico.;Pri šibkih starejših osebah dobra oralna higiena lahko zniža tveganje za aspiracijsko pljučnico.;;;
Heyerdahl je predlagal teorijo, da so bili Kanarski otoki starodavna pomorska baza za plovbo med Ameriko in Sredozemljem.;Heyerdahl je predlagal teorijo, da so bili Kanarski otoki starodavno pomorsko oporišče za plovbo med Ameriko in Sredozemljem.;;;
Ker je to pravilo preveč znano, da bi ga bilo treba obširneje analizirati, zadostuje, da ga opredelimo z dvema glavnima temama.;Ker je to pravilo preveč znano, da bi ga bilo treba podrobneje analizirati, bo dovolj, če ga pojasnimo z dvema glavnima temama.;;;
Benzen je osnova za mnoge pomembne spojine, ki nastanejo z zamenjavo enega ali več vodikovih atomov z drugo funkcionalno skupino.;Benzen je osnova za številne pomembne spojine, ki nastanejo z zamenjavo enega ali več vodikovih atomov z drugo funkcionalno skupino.;;;
Leta 1814, ko je bila unija z Dansko razpuščena, je Christiania spet postala prava prestolnica.;Leta 1814, ko je bila razpuščena zveza z Dansko, je Christiania ponovno postala prava prestolnica.;;;
Če test urina pokaže znake okužbe, je zdravljenje priporočljivo, tudi če ni simptomov.;Če torej testiranje urina kaže znake okužbe, se priporoča zdravljenje, četudi ni simptomov.;;;
Potem bi se le še napili kave, poklepetali o vaših družinah, delu in hobijih ter se poslovili.;Potem pa se le dobimo na kavi, poklepetamo o vaših družinah, delu in hobijih ter se poslovimo.;;;
Zaradi tega zapusti vas.;Zato vas zapusti.;;;
Njegov prijatelj je šel mimo po pločniku in se ustavil, da je prisedel k najini mizi.;Njegov prijatelj je šel mimo po pločniku in se ustavil, da bi sedel za našo mizo.;;;
Udeleženci programa so mladi nogometaši in novinarji, ki predstavljajo 211 držav in regij sveta.;Sodelujejo mladi nogometaši in novinarji iz 211 držav in regij po vsem svetu.;;;
Olimpijsko geslo Citius, Altius, Fortius (hitreje, višje, močneje) je bilo prvič slišati na olimpijskih igrah.;Olimpijsko geslo Citius, Altius, Fortius (Hitreje, višje, močneje) je bilo prvič uporabljeno na olimpijskih igrah.;;;
Ton njihovi igri pod vodstvom Slovakinje Zdenke Vojte v glavnem dajejo njegovi rojaki in Čehi, a Hrvati očitno niso bili zadovoljni s Fincema, ki sta bila nekaj dni na preizkušnji.;Igro slovaškega trenerja Zdenka Vojte v glavnem določajo njegovi rojaki in Čehi, a Hrvati očitno niso bili zadovoljni s Fincema, ki sta bila tam nekaj dni na preizkušnji.;;;
Otroci z manj kot 92-odstotno nasičenostjo s kisikom morajo dobiti kisik, bolnike s hudim krupom pa je treba sprejeti v bolnišnico na opazovanje.;Otroci, pri katerih nasičenost s kisikom znaša manj kot 92 %, morajo dobiti kisik, bolnike s hudim krupom pa je treba sprejeti v bolnišnico na opazovanje.;;;
V tampone s planikami, ki sem jih dal babici za prvo srednješolsko štipendijo, ki sem jo dobil v Osijeku po nekakšnem izpitu, je polnil Grada slivovico, bolj pa ga je skrbelo, ali bo duhovnik v nedeljo pri maši, ko bo v pridigi spomnil na dobroto moje pokojne svakinje, omenil, kako sta njeni hčeri pobelili stene babičine sobe, čeprav od njene smrti ni minilo še četrt tedna.;V štampiljke s planiko, ki sem jih podaril babici za prvo srednješolsko štipendijo, ki sem jo po nekakšnem preizkusu dobil v Osijeku, je nalival slivovico Grada, bolj ga je skrbelo, ali bo župnik v nedeljo pri maši, ko se bo v homiliji spomnil dobrote moje pokojne svakinje, omenil, kako sta njeni hčeri pobelili stene babičine sobe, čeprav od njene smrti ni minilo še niti četrt tedna.;;;
Med majem in septembrom v Izraelu le redko dežuje.;Med majem in septembrom v Izraelu redko dežuje.;;;
Izobraženi grški sužnji so bili v Rimu zelo iskani, še posebej zdravniki in učitelji, in izobraženi moški so predstavljali pomembno izvozno blago.;Izobraženi grški sužnji so bili v Rimu zelo iskani, zlasti zdravniki in učitelji, izobraženi moški pa so bili pomemben izvozni artikel.;;;
Glasba ima običajno pomembno vlogo v vaših predstavah in tako je tudi v tej.;V vajinih predstavah ima glasba običajno pomembno vlogo in tudi v tokratni predstavi je tako.;;;
So naša zgodovina, naš roman, naš evangelij.;Ona so naša zgodba, naš roman, naš evangelij.;;;
Cilj programa je z nogometom med mladimi spodbuditi razvoj pomembnih vrednot in zanimanje za zdrav življenjski slog.;Cilj programa je z nogometom spodbujati razvoj pomembnih vrednot in zanimanje za zdrav življenjski slog med mladimi.;;;
Ob dnevih treningov poje pet obrokov na dan, med odmori med treningi ali med počitnicami pa manj.;Ob dnevih treningov poje pet obrokov na dan, manj pa med odmori med treningi ali med počitnicami.;;;
Čeprav je skočil manj, je prejel več točk in se uvrstil v finale, vendar njegov rezultat ni bil dovolj, da bi se približal vrhu lestvice.;Čeprav je skočil manj, je zbral več točk in se uvrstil v finale, vendar njegov rezultat ni bil dovolj, da bi se približal najvišjim mestom na lestvici.;;;
Od osamosvojitve naprej so politično zgodovino Pakistana zaznamovala obdobja vojaške oblasti, politična nestabilnost in konflikti z Indijo.;Politično zgodovino Pakistana so od osamosvojitve zaznamovala obdobja vojaške vladavine, politične nestabilnosti in spora z Indijo.;;;
Mladi udeleženci z azijske celine - otroške nogometne ekipe iz Japonske, Kitajske in Kazahstana - so v programu sodelovali prvič.;Mladi udeleženci z azijske celine – otroške nogometne ekipe iz Japonske, Kitajske in Kazahstana – so prvič sodelovali v programu.;;;
Na vrhu je modra, na dnu pa zelena.;Na zgornji strani je modra, na spodnji pa zelena.;;;
Med kristjani je zavist eden od sedmih smrtnih grehov.;Med kristjani velja zavist za enega od sedmih smrtnih grehov.;;;
Francoska mornarica je zasedla mesto, da bi Britancem preprečila zavzetje območja.;Francoska mornarica je zasedla mesto, da bi Britancem preprečila zavzetje tega območja.;;;
Gospodarska globalizacija, ki jo poganja razvoj komunikacijskih in prometnih tehnologij, je vplivala na vsakdanje življenje v številnih delih sveta.;Gospodarska globalizacija, ki jo poganja razvoj komunikacijske in prometne tehnologije, je vplivala na vsakdanje življenje v številnih delih sveta.;;;
Najpomembnejši vir svetlobe na Zemlji je Sonce.;Najpomembnejši vir svetlobe na Zemlji je sonce.;;;
Deli Dartmoorja so v uporabi kot vojaška strelišča že več kot 200 let.;Deli Dartmoora se že več kot 200 let uporabljajo kot vojaška strelišča.;;;
Teža črnih kril je padla na naša telesa, meglene sence so se nas dotaknile.;Padala je teža črnih kril na najini telesi, meglene sence so se naju dotikale.;;;
Iz Zagreba, kjer živi zadnjih nekaj let, je prišla, da bi ji zdravniki iz Postojne rodili dve hčerki.;Prišla je iz Zagreba, kjer je živela zadnjih nekaj let, da bi njeni hčerki rodili zdravniki iz Postojne.;;;
Ustanovljena je bila meščanska straža, sestavljena iz konjenikov in artilerije.;Ustanovljena je bila civilna garda, ki so jo sestavljali konjeniški lovci in artilerija.;;;
Leta 1829 je Johann Wolfgang Döbereiner opazil, da lahko številne elemente glede na njihove kemijske lastnosti razvrstimo v triade.;Leta 1829 je Johann Wolfgang Döbereiner ugotovil, da lahko številne elemente na podlagi njihovih kemijskih lastnosti razvrstimo v trojice.;;;
Z nagrado želi Evropska komisija spodbujati čezmejno razširjanje repertoarja popularne glasbe in poudariti bogato glasbeno raznolikost Evrope.;Evropska komisija želi z nagrado spodbuditi čezmejno kroženje repertoarja popularne glasbe in poudariti bogato glasbeno raznolikost Evrope.;;;
Tako kot pri drugih germanskih plemenih je burgundska pravna tradicija omogočala uporabo različnih zakonov za različne etnične skupine.;Tako kot pri drugih germanskih plemenih je burgundska pravna tradicija dopuščala uporabo različnih zakonov za različne etnične skupine.;;;
"Vidita me vsak dan in zdi se jima malo smešno, ko kdo pogleda za nama in reče: ""O, poglej ga, Jonasa.""";"Onidve me vidita vsak dan in se jima zdi malo smešno, kadar se kdo ozre za nami: ""O, glej ga, Jonas.""";;;
Predvsem sta dva letna časa, poletje in zima.;Tam sta zlasti dva letna časa, tj. poletje in zima.;;;
Srebrne celjske grbe bodo prejeli Jože Planinšek, Petr Simoniti in Ed Gaberšek, bronaste pa Vigrad, njegovi direktorici Marjeta in Vinka Gradišnik, Mirek Tuš in Rolanda Fugger Germadnik.;Srebrne celjske grbe so prejeli Jože Planinšek, Petr Simoniti in Ed Gaberšek, bronaste pa Vigrad, njegovi direktorici Marjeta in Vinka Gradišnik, Mirek Tuš in Rolanda Fugger Germadnik.;;;
Prav pred mano sta nastopali morda največji imeni plavanja takrat Ian Thorpe in Grant Hackett.;Tik pred mano sta bila takrat verjetno največja plavalna zvezdnika, Ian Thorpe in Grant Hackett.;;;
Premiere filma v Damasku se je udeležilo več kot 7000 ljudi.;Več kot 7000 ljudi je obiskalo premiero filma v Damasku.;;;
Njegov prijatelj je šel mimo po pločniku in se ustavil, da je prisedel k najini mizi.;Njegov prijatelj je prišel mimo po pločniku in se ustavil za našo mizo.;;;
To sta zagotovo naša dva največja poslovna uspeha v zadnjem času.;To sta zagotovo naša dva največja nedavna poslovna uspeha.;;;
Izdelek se imenuje 3D model.;Izdelek se imenuje 3D-model.;;;
Priča sem bil številnim pozitivnim spremembam, ki so se zgodile pri mojih učencih, mojih sodelavcih in še posebej pri meni.;Opazila sem veliko pozitivnih sprememb pri svojih učencih, sodelavcih in, kar je najpomembneje, pri sebi.;;;
Dva majhna kovinska obročka, kot sta bila uporabljena za zavese, s silikonskim kitom pritrdite na dno kaminskega podstavka.;Na spodnjo stran kaminske police s silikonskim kitom pritrdimo majhna kovinska obroča, kakršna rabimo za zavese.;;;
Pogosto se ponovijo, skoraj polovica ljudi ponovno zboli za vnetjem v roku enega leta.;Pogosto se ponavljajo in skoraj polovica ljudi jih v enem letu ponovno zboli.;;;
Vezi med družinama so bile zelo tesne, med vojno pa je moj oče zastopal gospoda Richterja.;Vezi med našima družinama so morale biti kar tesne, med vojno je oče portretiral gospoda sodnika.;;;
Prvi dve ekipi sta najboljši in imata več zmag kot Portland.;Najbolje kaže prvima dvema moštvoma, ki imata zmago več kot Portland.;;;
Ko otrok je že tri obroke trde hrane na dan, ga lahko začnete navajati na lonček z dvema ročajema, iz katerega med jedjo pije vodo ali razredčen sadni sok.;Ko otrok poje tri obroke trdne hrane na dan, ga lahko navadite na skodelico z dvema ročajema, iz katere med jedjo pije vodo ali razredčen sadni sok.;;;
Vzrok, da sem v zadnjih letih nekoliko zanemarila filmsko kariero, je rojstvo mojih dveh hčerkic.;Razlog, da sem v zadnjih letih nekoliko zanemaril svojo filmsko kariero, je rojstvo mojih dveh hčera.;;;
Leta 1206 se je Teodor razglasil za cesarja nicejskega cesarstva.;Leta 1206 se je Teodor oklical za cesarja Nikejskega cesarstva.;;;
Na poroko Ahilovih staršev, morske nimfe Tetide in kralja Peleja, so povabljeni vsi bogovi, razen boginje sporov Eris.;Na svatbo Ahilovih staršev, morske nimfe Tetide in kralja Peleja, so povabljeni vsi bogovi razen boginje prepira, Eris.;;;
Če bi se kateremu od naju kaj zgodilo, nimava nobenih zakonitih dednih pravic ali ugodnosti, vendar imava srečo, da naju najini družini popolnoma sprejemata.;Če bi se komu od nas kaj zgodilo, nimamo nobenih zakonskih pravic do dediščine ali ugodnosti, vendar imamo srečo, da nas naše družine popolnoma sprejemajo.;;;
Luanda je prestolnica in največje mesto Angole.;Luanda je glavno in največje mesto Angole.;;;
Poleg tega lahko uporabljajo ščit.;Uporabljajo lahko tudi ščit.;;;
Pri tovrstnem prenajedanju človek je, čeprav nima fiziološke potrebe po hrani oziroma ni lačen.;Pri tej obliki prenajedanja oseba je, čeprav fiziološko ne potrebuje hrane ali ni lačna.;;;
Nekatere države to priporočajo redno pri otrocih in tistih, ki so bolj izpostavljeni tveganju in ki še niso bili cepljeni.;V nekaterih državah se priporoča rutinsko cepljenje otrok in oseb z večjim tveganjem, ki še niso bile cepljene.;;;
Leta 777 je v Paderbornu sklical državni zbor, da bi Saško v celoti vključil v svoje cesarstvo.;Leta 777 je sklical državno skupščino v Paderbornu, na kateri je nameraval Saško v celoti vključiti v svoje kraljestvo.;;;
Ve ste Antigone našega časa.;Ste Antigona našega časa.;;;
Ta izolirana relikvija je bila ponovno pokopana leta 1642 z novim obeležjem, ki so ga 100 let pozneje nadomestili z bolj dodelanim spomenikom.;Ta osamljen ostanek so leta 1642 ponovno pokopali z novim spomenikom, ki so ga 100 let pozneje nadomestili z bolj zapletenim spomenikom.;;;
Prvi del (odstavki 2-14) opisuje Avgustovo politično kariero ter našteva njegove službe in častne politične nazive.;Prvi del (odstavki 2–14) opisuje Avgustovo politično kariero in našteva njegove položaje in častne politične naslove.;;;
FIAT 3000 je bil prvi tank iz serije, ki so ga izdelali v Italiji.;FIAT 3000 je bil prvi tank v seriji, ki so ga izdelali v Italiji.;;;
Če se nikakor ne morete rešiti plevela, ki se grdo razrašča po vaših gredicah, preizkusite naslednji trik.;Če se ne morete znebiti plevela, ki raste na vaših gredicah, poskusite s tem trikom.;;;
V tem času je nekaj časa preživel tudi v Københavnu z Nielsom Bohrjem.;V tem času je nekaj časa preživel tudi v Københavnu z Nielsom Bohrom.;;;
Če se ne zdravi, se lahko pri tretjini okuženih oseb razvije terciarna bolezen.;Če se bolezni ne zdravi, lahko tretjina okuženih razvije terciarno bolezen.;;;
