sentence0;sentence1;sentence2;sentence3
 Tisto je njegova mala žena Madeleine, ki je mojih let in je v pričakovanju.; Gospa Guggenheim je seveda doma z otroci.; Izgleda povsem enako kot takrat, ko sem ga nazadnje videla.; Ta gospa pa je vsak večer sedela v tem lokalu in imela na sebi ves svoj nakit ter čakala na izgubljeno ljubezen.
 Vidiš, kako se trudi skriti?; Vidiš, kako skuša skriti?; Vidiš, kako daleč je letel?; Poglej tistega, kako skače!
 Pravi škandal. -Hmm.; Še šest ur. -Neverjetno.; To je noro. -Vem.; Takoj, kreten! -Ja, gospod.
 In tisto je Benjamin Guggenheim in njegova ljubica gospa Aubert.; In tisto je John Jacob Astor, najbogatejši človek na ladji.; To pa sta sir Cosmo in Lucile, lady Duff-Gordon.; Ta gospa pa je vsak večer sedela v tem lokalu in imela na sebi ves svoj nakit ter čakala na izgubljeno ljubezen.
 Gospa Guggenheim je seveda doma z otroki.; Gospa Guggenheim je seveda doma z otroci.; Rose je to že storila.; Nobeden od strežajev je ni videl.
 Tukaj pa imamo gospoda Cosma in Lucille, gospo Duff-Gordon.; To pa sta sir Cosmo in Lucile, lady Duff-Gordon.; To je absurdno. Saj smo vendar na ladji.; Najprej hočeš, da se oblečemo, zdaj pa stojimo tukaj.
 Ona, poleg vseh drugih talentov, kreira nespodobno perilo.; Eden njenih talentov je oblikovanje drznega spodnjega perila.; Toda pod vsem tem se skriva najbolj neverjetna, osupljiva in čudovita punca...; Zadnja stvar, ki jo potrebujem, je še ena slika, na kateri izgledam kot porcelanasta punčka.
 Zelo je priljubljeno pri plemstvu.; Zelo priljubljeno je med plemstvom.; Je največje prevozno sredstvo v človeški zgodovini.; Ga predelali v obliko srca in od takrat slovi kot Srce oceana.
 Čestitke, Hockley. Sijajna je.; Čestitam, Hockley. Čudovita je.; Srečno, Rose.; Pozdravljen, Brock. -Pozdravljena, Tracy.
 Hvala.; Hvala.; Hvala.; Hvala.
 Bi pospremili damo k večerji? Z veseljem.; Ste vsi v redu? Kar mirno.; Mogoče bi se nam jutri zvečer pridružili pri večerji.; Potrebujete še kaj? Če dovolite, bi odšel.
 Sladkorček?; Ni angleška?; Mogoče nekaj malega za fanta?; Nesreča?
 Sladkorček. -Nič takega ni, kajne, Jack?; Utihni. -Saj sploh ni tvoj žep, kajne, sinko?; Oprosti, Trudy. -Je že v redu.; Stopite noter, prosim. -Pridna punca si.
 Zapomni si, obožujejo denar, zato se pretvarjaj, da imaš rudnik zlata, pa boš v klubu.; Pretvarjaj se, da si lastnik zlatega rudnika, in zlil se boš mednje.; Prej ti bodo angeli začeli leteti iz riti, kot da se ti ji uspe približati.; In skušaj ostati pri miru.
 Hej, Astor! -Živijo, Molly. Lepo te je videti.; Toda, Dawson, lepo, da si prišel.; Pridi z mano. -Jack, čakaj.; Imajo te v pasti, Rose.
 J.J., Madeleine, predstavljam vam Jacka Dawsona.; To je Jack Dawson.; Ljubim te, Jack.; Dotakni se me, Jack.
 Kako ste? -Me veseli.; Pozdravljeni. -Me veseli.; Dobrodošli na Keldyshu. -Hvala.; PALUBA E Ne ustavljaj se. -Hvala, držim jo.
 Živijo, Jack. Ste eden bostonskih Dawsonov?; Kaj vam je? Vaši možje so tam.; G. Guggenheim? Ti so za vas.; Pravi mož je sam svoje sreče kovač, Archie. Kajne, Dawson?
 Ne... Dawsonov iz Chippewa Fallsa, pravzaprav.; Ne, tistih iz Chippewa Fallsa.; Dedič železniškega magnata, mogoče.; To je absurdno. Saj smo vendar na ladji.
 Oh, da. Da.; Je... -Diamant? Da.; Da?; A, tako.
 Verjetno je bil živčen, a ni niti trenil.; Najbrž je bil živčen, a ni niti enkrat zajecljal.; Nobeden od strežajev je ni videl.; Očitno je tule trčila.
 Domnevali so, da je eden izmed njih...; Ko so odnesli artefakte iz Tutankamonove grobnice, ni nihče...; Domnevali so, da je eden izmed njih.; Lahko jo vidimo in...
 Morda dedič železničarskega bogastva.; Dedič železniškega magnata, mogoče.; Najbrž nekdo po imenu Hockley.; Za nekoga z omejenimi sredstvi.
 Novopečen bogataš, očitno, a vseeno član kluba.; Nov denar, kajpada, a še vedno eden bogatih.; Dedič železniškega magnata, mogoče.; Tako ali drugače.
 Na mater je bilo seveda vedno treba računati.; Seveda je mati ostala zvesta sama sebi.;" Moja mati ji je pravila ""nov denar""."; To je bila šele odisejada.
 Povejte nam o namestitvi v podpalubje, gospod Dawson.; Povejte nam o namestitvi v podpalubju, g. Dawson.; To je vaš zasebni promenadni krov, gospod.; Gospod, ladijski blagajnik drugega razreda vas kliče.
 Slišim, da je na tej ladji dobro urejeno.; Menda je na tej ladji kar v redu.; Mislim, da se zna ladja res potopiti.; Zelo spodobno je, zagotavljam ti. To je dnevna soba.
 Najboljše, kar sem videl, gospa. Podgan skoraj ni.; Boljše še nisem videl. Skoraj nič podgan ni.; Kreten. Ne morem verjeti, da si stavil najini vozovnici.; Dave, Barry, živjo. Ni bil v sefu.
 Gospod Dawson se nam je pridružil iz tretjega razreda.; G. Dawson prihaja iz tretjega razreda.; Klicali smo jo Madame Bijoux.; Mogoče sem jo zbil skupaj, a idejo je dal g. Ismay.
 Sinoči je bil v pomoč moji zaročenki.; Sinoči je pomagal moji zaročenki.; Bil je tako prijazen in mi danes pokazal nekaj svojih stvaritev.; Jack je bil zelo profesionalen.
 Izkazalo se je, da je gospod Dawson pravi umetnik.; Mogoče sem jo zbil skupaj, a idejo je dal g. Ismay.; Jack je bil zelo profesionalen.; G. Dawson je izjemen umetnik.
 Bil je tako prijazen, da mi je dovolil pogledati nekaj njegovih del.; Bil je tako prijazen in mi danes pokazal nekaj svojih stvaritev.; Škoda, da nisem obdržal tiste risbe.; Rečeno mi je bilo, naj vam dam tole v zahvalo.
 Rose in jaz se nekoliko razhajava pri definiciji umetnosti.; Z Rose imava različne predstave o umetnosti.; Kako se piše slikar? -Picasso in še nekaj.; Razlika med Calovim in mojim okusom za umetnost je v tem, da ga jaz imam.
 Ne da bi omalovaževal vaša dela, gospod.; Ne da bi hotel žaliti vaše delo, gospod.; Morda boste le prišli na naslovnice, g. Ismay.; Oprostite, gospa.
 Mogoče je moja na papirju, a v očeh boga pripada Thomasu Andrewsu.; Izgleda povsem enako kot takrat, ko sem ga nazadnje videla.; Vsi, ki vedo za diamant, so ali mrtvi ali pa na tej ladji, ampak ona ve.; Mogoče sem jo zbil skupaj, a idejo je dal g. Ismay.
 Je to vse zame?; Je ves ta pribor zame?; Si umetnik ali kaj takega?; Si tega želiš?
 Samo od zunaj na noter jemlji.; Zdaj pa vrzi.; Samo še malo zdrži.; Vaša vesla dajte sem.
 Pozna vsako zakovico v njej, kajne, Thomas?; Vsako zakovico pozna, ni tako, Thomas?; Pravi mož je sam svoje sreče kovač, Archie. Kajne, Dawson?; Imajo te v pasti, Rose.
 Vaša ladja je zares čudež. -Hvala, Rose.; Oprosti, Trudy. -Je že v redu.; Prišlo je do majhne nesreče. -Nič hudega, gdč. Rose.; Ne samo, ker si mi rešil življenje, ampak tudi zato, ker si ostal diskreten. -Ni za kaj.
 In kako naj vam postrežem kaviar, gospod? -Nič kaviarja zame, hvala.; Nič kaviarja zame, hvala.; Če bi se morala takole pogreti, raje ne bi poskušal, če nimaš nič proti.; Kaj počnemo, mami? -Čakamo, srček.
 Nikoli mi ni bil všeč.; Nikoli ga nisem maral.; Nikoli ga nisem spustil v svoje srce.; Toda za mojo mater je bil kot mrčes.
 In kje natančno živite, gospod Dawson?; Kje točno živite, g. Dawson?; In kje dobite sredstva za potovanje?; Govori se o ledeni gori. Ste kaj videli?
 Moj trenutni naslov je R.M.S. Titanik.; Trenutno je moj naslov RMS Titanik.; Zanima me samo, če ste že našli Srce oceana, g. Lovett.; Dragi, gotovo se spomniš g. Dawsona.
 Potem sem prepuščen dobri volji boga.; Življenje je dar in ne mislim ga zapraviti.; Ko nimaš ničesar, nimaš kaj izgubiti.; Zato tudi verjamem v to.
 In kako si lahko privoščite potovanje?; In kje dobite sredstva za potovanje?; Le kako se lahko smejete?; Je to trenutna cena za rešitev ljubljene ženske?
 Delam iz kraja v kraj...; Vse, kar potrebujem, imam pri sebi.; Torej, jaz...; Če ti skočiš, skočim tudi jaz.
 Na tovornih ladjah in podobno.; Na tovornih ladjah in podobno.; Menda je na tej ladji kar v redu.; Na ducat drugih mestih.
 Toda karto za Titanik sem dobil pri srečni roki pokerja.; Toda vozovnico za Titanik mi je prinesla sreča pri pokru.; To sem nameraval prihraniti do zaročnega slavja naslednji teden.; Ves ta čas sem mislil le na Titanik.
 Zelo srečni roki.; Velika sreča.; Draga, čudovito vas je videti.; Bolj toplo jima je kot nama.
 Vse življenje je igra na srečo. -Mmm.; To je noro. -Vem.; Še šest ur. -Neverjetno.; Nosila bom tole. -Prav.
 Pravi mož sam kuje srečo, Archie.; Tukaj poglej, Rose.; Midva sva plemiča, Rose.; Povejte nam, Rose.
 Ni res, Dawson? -Mmm.; Takoj, kreten! -Ja, gospod.; Gospodje, oprostite mi. -Seveda.; To je noro. -Vem.
 In tako klateško življenje se vam zdi privlačno?; Vam je tako življenje brez korenin všeč?; Se ti vsaj malo sanja, kaj počneš?; Kaj se pa greste?
 Da, gospa, tako je.; Ja, gospa.; Nisi rekla, da odhajaš? -Tako je.; Draga, čudovito vas je videti.
 Vse kar potrebujem, imam tukaj s sabo.; Vse, kar potrebujem, imam pri sebi.; To, da sem si priigral vozovnico, je najbolje, kar se mi je kdaj zgodilo.; Če ti skočiš, skočim tudi jaz.
 Imam zrak v pljučih in nekaj praznih listov papirja.; Imam zrak v pljučih in nekaj praznih listov papirja.; Že vidim Kip svobode.; V žepu imam 10 dolarjev.
 Rad se zbujam zjutraj, ne da bi vedel, kaj me ta dan čaka ali koga bom spoznal, kje bom končal.; Rad se zbudim zjutraj, ne da bi vedel, kaj se bo zgodilo, koga bom srečal ali kje bom končal.; Imam zrak v pljučih in nekaj praznih listov papirja.; Vse, kar potrebujem, imam pri sebi.
 Nekaj noči nazaj sem spal pod mostom, zdaj pa sem tu, na največji ladji na svetu pijem šampanjec z vami.; Pred nekaj dnevi sem spal pod mostom, zdaj pa sem na najveličastnejši ladji na svetu in pijem šampanjec z vami.; Čas je, da zaveslam z ostalimi sužnji.; To vsi pravijo, a z vsem spoštovanjem, gospodična, nisem jaz tisti, ki visi z zadnjega dela ladje.
 Še malo ga bom.; Še malo ga bom.; Takoj bom nazaj.; Kar tu bom počakal!
 Mislim, da je življenje darilo in jaz ga ne mislim zapraviti.; Življenje je dar in ne mislim ga zapraviti.; Vse, kar potrebujem, imam pri sebi.; Nisem idiot. Vem, kako se svet vrti.
 Nikoli ne veš, kakšno roko ti bodo podelili naslednjič.; Nikoli ne veš, kaj te čaka.; Ko nimaš ničesar, nimaš kaj izgubiti.; Tega ne vidiš vsak dan.
 Naučiš se jemati življenje kot pride. Tu imaš, Cal.; Ko nimaš ničesar, nimaš kaj izgubiti.; Na, če misliš, da boš zmogel.; Edino ti lahko to storiš.
 Da vsak dan šteje.; Kot da bi lahko pozabili.; Že v redu. Karkoli se spomnite.; Ves moj svet in vsi ljudje v njem.
 Dobro povedano, Jack. -Tako je.; Dobro povedano, Jack. -Se strinjam.; V tej smeri je brezupno. -Prav.; Previdno. Lahko razpadejo. -Prav.
 Naj šteje.; Naj gre vse k vragu.; Vraga bo.; Nikoli ne pozabi.
 Naj šteje. -Bravo.; Fant je torej junak. Bravo, sinko. Dobro si opravil.; Ledeno goro naravnost pred nami! -Hvala.; S polno paro naprej!
 Gospod Brown ni imel pojma, da sem skrila denar v peči.; Mojemu možu se ni niti sanjalo, da sem denar skrila v peč.; To je storila, da bi me ujezila.; Morala bi povedati moji materi in Calu.
 In ko je praznoval je prišel domov pijan kot svinja in zakuril.; Prišel je domov pijan kot mavra, praznoval in prižgal ogenj.; In istega leta je naredil samomor.; Takrat sem ga zadnjič videla.
 Sledi žganje v kadilnici.; Sledi brandy v kadilnici.; Takoj nazaj na delo.; Pridite nazaj noter.
 No, pridružite mi se ob kozarčku, gospodje.; Dame in gospodje, posluh, prosim!; Držim vas, gospodična.; Pohitite, prosim.
 Zdaj se umaknejo v oblak dima in si čestitajo, ker so gospodarji vesolja.; Zdaj se bodo umaknili, prižgali cigarete in si čestitali, ker vladajo svetu.; Morali so odveslati proč, da jih ne bi potegnilo noter, toda zdaj se bodo vrnili.; Pravijo, da bodo tu v štirih urah.
 Dame, hvala za zadovoljstvo vaše družbe.; Dame, hvala za vašo prijetno družbo.; Hvala za sijajno forenzično analizo, g. Bodine.; Držim vas, gospodična.
 Rose, te smem pospremiti nazaj v kabino?; Naj vse vzamem ven, gospodična?; Jack, moraš res iti?; Rose, kako si ugotovila, da nisem ukradel diamanta?
 Ne, tu bom ostala. -Tu imaš, Molly.; Pridi z mano. -Jack, čakaj.; Oprosti, Trudy. -Je že v redu.; Nisi rekla, da odhajaš? -Tako je.
 Se na boste pridružili, Dawson?; Se nam boš pridružil, Dawson?; Boste kavo, gospod?; Bi radi slišali ali ne, g. Lovett?
 Ne želite ostati tukaj z ženskami, mar ne?; Se ne boste skušali rešiti?; Ni še čas, da greste na čolne!; Mislite, da dekle iz prvega razreda ne prenese pijače?
 Ne, hvala. Počasi se bom vrnil nazaj.; Takoj bom nazaj.; Dobro. Zdaj grem.; Ne bo mi hudega. Res.
 Ah. -Verjetno bo najbolje.; Ne, hvala, nazaj moram. -Najbrž bo še najbolje.; Oprosti, Trudy. -Je že v redu.; Nosila bom tole. -Prav.
 Sami posli in politika bodo, take stvari...; Samo o poslih in politiki bomo govorili.; Saj res...; Potem bomo vedeli, koga kriviti, če bo kakšna težava.
 Ne bi vas zanimalo.; Ne bi te zanimalo.; Ne, ne vidim potrebe.; Tega ne znam.
 Toda Dawson, lepo, da ste prišli.; Toda, Dawson, lepo, da si prišel.; Tile so mrtvi, gospod.; V drugo smer je, gospod.
 Jack, moraš iti?; Rose, te pospremim do kabine?; Cal, kaj počneš?; O, mater. Vidiš tole, šef?
 Čas je, da se vrnem k veslom z ostalimi sužnji.; Čas je, da zaveslam z ostalimi sužnji.; Dajte mi roko in potegnil vas bom nazaj čez ograjo.; Ladja nas bo potegnila s sabo.
 Lahko noč, Rose.; Lahko noč, Rose.; Mirno lahko spite, mlada Rose.; Obljubi mi, Rose.
" ""Naj šteje. Dobiva se pri uri."" Bi rada šla na pravo zabavo?"; Bi šla rada na pravo zabavo?; Ne, hvala, nazaj moram. -Najbrž bo še najbolje.; Kako si lahko pomislil, da lahko položiš roko na mojo zaročenko?
 Je v redu, če dam roko sem? Prav.; Lahko dam roko sem? Prav.; Daj, Rose, saj zmoreš.; Rose, nič vam ne uide, kaj?
 Kaj?; Kaj?; Kaj?; Kaj?
 Ne razumem.; Ne razumem te.; Ne razumem vas.; Ne razumete.
 Hej! Bravo, bravo!; Bravo.; Bravo.; Zbogom!
 Hvala. Pridite, fantje. -Gremo!; Gremo! -Hitro, hitro!; Dajmo, dekleta, zgrabite veslo. Gremo.; Daj že! -Pohiti, Jack!
 Zdaj bom plesal z njo, prav?; Zdaj bom zaplesal z njo, prav?; Saj nočeš ostati pri ženskah, kaj?; Če ti skočiš, skočim tudi jaz, kajne?
 Pridi. -Kaj?; Kaj? -Pridi.; Kaj pa zdaj? -Kaj?; Sleci plašč, sinko. -Kaj je spet?
 Pridi z mano. Kaj? Jack... Jack, počakaj!; Pridi z mano. -Jack, čakaj.; Sem mislil, da si hiter. -Počakaj!; Se mi je kar zdelo. Pridi.
 Tega ne morem.; Tega ne vidiš vsak dan.; Samo to hočem.; Nočem povzročiti panike.
 Morala se bova malo približati.; Malce bolj skupaj bova morala stopiti.; Čim dlje morava ostati na ladji.; Potem morava tja.
 Takole.; A, tako.; Tipično.; Čakajta malo.
 Še vedno si moja najboljša, Cora.; Še vedno si moja najljubša, Cora.; Odpri mi srce, Rose.; Veš, da tega ne maram, Rose.
 Ne poznam korakov. -Jaz tudi ne.; Jaz sem svoje sreče kovač. -Jaz tudi.; Nazaj gor grem. -Ne.; Pridi, babi. -Ne!
 Samo prepusti se. Ne razmišljaj.; Ne razmišljaj.; Ne poslavljaj se.; Poberi se.
 Hej.; Hej!; Hej!; Daj.
 Počakaj, Jack, Jack! Počakaj! Ustavi se, Jack!; Daj že! -Pohiti, Jack!; Čakaj, Jack! Ustavi se!; Čakajte, gospod! Odprite vrata, prosim!
 Ba-ba-ba.; Čing!; Klobaso.; Semle.
 Počakaj! -Hej! Hej!; Čakajte! -Čakajte!; Hej!; Hej!
 Ja! -Jack, ne!; Ne, semle! -Hitro!; Pridi, babi. -Ne!; Ne! Ne, Tommy!
 Haaa!; Čing!; Baraba!; Greva!
 ...pristojnost Shermanovega zakona, zato se bodo moji odvetniki pritožili.; ...preko pristojnosti Shermanovega zakona.; Moji odvetniki bodo to izpodbijali.; Prosim, povejte mi resnico.
 To je rekel tudi Rockefeller, ampak vrhovno sodišče se ne strinja.; To je rekel tudi Rockefeller, a ga je Vrhovno sodišče zavrnilo.; To je popolnoma nesprejemljivo.; Ne glede na to, kaj bomo naredili, bo Titanik potonil.
 Kaj? Misliš, da dekle iz prvega razreda ne zna piti?; Res si trapasta! Zakaj si to naredila?; Pošten tat. Tega pa ne vidiš vsak dan, kaj?; Ne smeš se več videvati s tistim fantom. Me razumeš?
 Izgini.; Poberi se.; Ulezi se.; Obrni se.
 Si v redu?; Si v redu?; Si živčna?; Si videla?
 Dobro sem.; V redu sem.; Takoj bom nazaj.; Prav sem imela.
 Dvakrat iz treh, dvakrat iz treh.; Dve od treh.; Na obeh straneh istočasno.; Tako ali drugače.
 Torej...; Torej...; Saj res...; Torej, jaz...
 Mislite, da ste veliki, močni fantje?; Mislite, da ste močni in žilavi?; Vam je tako življenje brez korenin všeč?; Mislite, da dekle iz prvega razreda ne prenese pijače?
 Poskusite narediti tole.; Pa naredite tole.; Oglejte si to risbo, ki smo jo našli danes.; Glej, kaj je tukaj.
 Primi tole, Jack. Dvigni.; Primi tole, Jack. Dvigni.; Zlezi gor.; Zlezi gor.
 Au!; Greva!; Ven!; Ven!
 Jezus, Marija in Jožef! -Si v redu?; Ustavite jo! -Rose!; Daj že! -Pohiti, Jack!; Drži se! -Jack!
 Tega nisem naredila že leta.; Tega ne vidiš vsak dan.; Si v redu? -Tega že več let nisem počela.; Ne bi skočila.
" ""Go see Maggie"". Gremo, fantje! Dajmo!"; Gremo! -Hitro, hitro!; Dajmo, dekleta, zgrabite veslo. Gremo.; Daj že! -Pohiti, Jack!
 Ho!; Jack!; Jack!; Jack!
 Bi kavo, gospod?; Boste kavo, gospod?; Boste pijačo, gospod?; Naj vse vzamem ven, gospodična?
 Sinoči sem upal, da boš prišla k meni.; Sinoči sem upal, da boš prišla k meni.; Nisem te nameravala čakati ves dan, sinko.; Žal mi je, ker dolgo časa ne boš videl matere.
 Utrujena sem bila.; Bila sem utrujena.; V sebi pa sem kričala.; Srce mi je ves čas razbijalo.
 Tvoji napori v podpalubju so bili nedvomno utrudljivi.; Napori pod palubo so te gotovo izčrpali.; Prej ti bodo angeli začeli leteti iz riti, kot da se ti ji uspe približati.; Jack, očitno te je v težavnih situacijah dobro imeti pri roki.
 Vidim, da me je tvoj pogrebniški lakaj zasledoval. Kako tipično.; Vidim, da si svojega slugo poslal za mano. Tipično.; Navij, kot sem ti pokazal. Tako, ja.; Kreten. Ne morem verjeti, da si stavil najini vozovnici.
 Česa takega ne boš nikoli več storila, Rose. Jasno?; Tako se ne boš nikoli več obnašala, Rose. Jasno?; Ne smeš se več videvati s tistim fantom. Me razumeš?; Veš, da tega ne maram, Rose.
 Nisem poslovodja v tvoji tovarni, da bi mi lahko ukazoval.; Nisem delovodja v eni izmed tvojih tovarn, ki mu lahko ukazuješ.; Zelo nevljuden si. Tega me ne bi smel spraševati.; Vem, da ti ne morem nič ponuditi.
 Tvoja zaročenka sem.; Tvoja zaročenka sem.; Jack, zaročena sem.; Še vedno si moja najljubša, Cora.
 Moja zaročenka? Moja zaročenka!; Moja zaročenka!; Nisem bila čedna?; Jaz sem sebična?
 Da, si, in moja žena!; Tako je, pa moja žena tudi!; Jaz sem, ljubica.; Mati, utihni že!
 Moja žena v praksi, če že ne po zakonu, zato me boš spoštovala.; Moja žena v praksi, če še ne po zakonu. Zato me boš spoštovala.; Spoštovala me boš, kot bi žena morala svojega moža.; Raje sem njegova vlačuga kot tvoja žena.
 Spoštovala me boš tako, kot mora žena spoštovati moža.; Spoštovala me boš, kot bi žena morala svojega moža.; Moja žena v praksi, če še ne po zakonu. Zato me boš spoštovala.; Ničesar ti ne bi odrekel, če me le ne boš zavrnila.
 Ker iz mene se ne boš delala norca, Rose.; Ker se iz mene ne boš norčevala, Rose.; Veš, da tega ne maram, Rose.; Veš, da nisem storil tega, Rose.
 Je to kakorkoli nejasno?; Je kakšna nejasnost?; Se je tako zgodilo?; Je to trenutna cena za rešitev ljubljene ženske?
 Ne. -Dobro.; Tale? -Ne.; Dobro. -Takole?; Jasno je. -Ja.
 Dovoli.; Greva.; Semle, sinko.; Tamle.
 Gospodična Rose!; Gospodična Rose.; Semle, gospodična.; Ustavite jo! -Rose!
 Imela sva manjšo... nezgodo. -Je že v redu, gospodična Rose.; Oprosti, Trudy. -Je že v redu.; Prišlo je do majhne nesreče. -Nič hudega, gdč. Rose.; Krmilo do konca. -Krmilo obrnjeno do konca, gospod.
 Je že v redu. -Žal mi je, Trudy.; Oprosti, Trudy. -Je že v redu.; Pridi z mano. -Jack, čakaj.; Nosila bom tole. -Prav.
 Naj ti pomagam. -Je že v redu, gospodična.; Oprosti, Trudy. -Je že v redu.; Ne, hvala, nazaj moram. -Najbrž bo še najbolje.; Pridi z mano. -Jack, čakaj.
 V redu je, gospodična.; Oprostite, gospa.; Držim vas, gospodična.; Ja, gospa.
 Tea, Trudy. -Da, gospa.; Čaj, Trudy. -Ja, gospa.; Jasno je. -Ja.; PALUBA E Ne ustavljaj se. -Hvala, držim jo.
 Tistega fanta ne smeš več videti, jasno?; Ne smeš se več videvati s tistim fantom. Me razumeš?; Saj nočeš ostati pri ženskah, kaj?; Tako se ne boš nikoli več obnašala, Rose. Jasno?
 Rose, prepovedujem ti. Oh, nehaj, mati.; Daj, Rose, saj zmoreš.; Obljubi mi, Rose.; Ni na tebi, da me rešiš, Jack.
 Ulilo se ti bo iz nosa.; Treseš se.; Čakaj, ni mi treba oditi.; Daj mi veslo.
 To ni igra.; To ni igra.; To ni dobro.; To je slabo.
 V negotovem položaju smo. Veš, da denarja nimamo več.; To je absurdno. Saj smo vendar na ladji.; Žal mi je, a dvigala ne vozijo.; Ko nimaš ničesar, nimaš kaj izgubiti.
 Seveda vem, da ga ni več.; Seveda vem, da ga nimava.; Zdaj ko se je ena vrnila, se mi dozdeva, kje najti drugo.; Ne bom se pretvarjal, da vem, zakaj.
 Vsak dan me opominjaš.; Vsak dan me spomniš.; Ne grem brez tebe.; Verjemi mi, ta klic moraš sprejeti.
 Tvoj oče nama ni zapustil drugega kot kupa dolgov, skritih za dobrih imenom.; Tvoj oče nama je pustil same dolgove, skrite za dobrim imenom.; Žal mi je, ker dolgo časa ne boš videl matere.; Veš, da nimava denarja.
 To ime je edina karta, na katero morava igrati.; Ime je najin edini adut.; Čim dlje morava ostati na ladji.; Če ti skočiš, skočim tudi jaz.
 Ne razumem te. Hockley je dobra partija.; Dobro znaš lagati.; To je Jack Dawson.; To je slabo.
 Omogočila nama bo obstanek. -Kako lahko to polagaš na moja ramena?; Tako je. -Kdaj bomo lahko nadaljevali pot, prekleto?; Vstanite. Nadenite si rešilne pasove. -Čemu ta direndaj?; Povej mi, ko bo v redu. -Daj roko, kot si jo imela prej.
 Zakaj si tako sebična? -Jaz sem sebična?; Jaz sem sebična?; Zakaj si tako sebična?; Mi zaupaš? -Zaupam ti.
 Bi rada, da končam kot šivilja?; Bi rada, da delam kot šivilja?; Bi šla rada na pravo zabavo?; Rada bi videla mojo risbo.
 Bi to rada?; Da?; Da bi najine stvari prodali na dražbi?; Ne bi te zanimalo.
 Da naše lepe stvari prodajo na dražbi?; Ne bi raje spravili žensk in otrok v čolne?; Da bi najine stvari prodali na dražbi?; Bo to pomagalo?
 Naše spomine raztrosijo v vetru?; Ne bi raje spravili žensk in otrok v čolne?; Zakaj večerjo vedno najavljajo kot napad konjenice?; Najine spomine razkropili na različne konce?
 Tako nepravično je.; Tako krivično je.; To je slabo.; To je ogabno.
 Seveda je nepravično.; To je popolnoma nesprejemljivo.; Tako krivično je.; To je absurdno.
 Ženski sva.; Ženski sva.; Čakajta.; Čakaj.
 Naša izbira ni nikoli lahka.; Vedno se soočamo s težkimi odločitvami.; Karkoli bomo naredili, moramo pohiteti.; Vsak dan je treba izkoristiti.
 Hmm?; Da?; Vidiš?; Dobro.
 S svojo zaščitniško roko jih ubrani vsega hudega na zemlji.; In velikost pomeni stabilnost, razkošje in predvsem moč.; Pretvarjaj se, da si lastnik zlatega rudnika, in zlil se boš mednje.; Seveda je mati ostala zvesta sama sebi.
 Duh, ki oče ga je poslal, da po nebu bi se razširil.; Nato sem videl novo nebo in novo zemljo.; Pridi, Josephine, v moj leteči stroj Dviga se proti nebu Dviga se Takrat je Titanik zadnjič videl dnevno svetlobo.; Smith je bil tam in držal opozorilo o ledenih gorah v prekleti roki.
 Nebeški veter obvaruj tiste, ki si drznejo kot orel poleteti.; Pretvarjaj se, da si lastnik zlatega rudnika, in zlil se boš mednje.; Mati, utihni že!; Pridi z mano, ljubica.
 In tudi za tiste...; Saj res...; Lahko jo vidimo in...; Si bil pa na veliko koncih za...
 Živijo, gospod Andrews. -Živijo, Jack.; Pridi z mano. -Jack, čakaj.; Krmilo do konca. -Krmilo obrnjeno do konca, gospod.; Ustavite vse stroje. -Razumem.
 Gospod. -Moram z nekom govoriti za trenutek.; Kaj je? -Daj bolj na glas.; Oprosti, Trudy. -Je že v redu.; Lovejoy mi ga je dal v žep. -Vem.
 Ne bi smel biti tukaj.; Gospodična, ne bi smeli biti tu.; Jack, to je nemogoče. Ne smem se videvati s tabo.; Ne bom se pretvarjal, da vem, zakaj.
 ognjem in sovragom jih obrani...; Domov grem!; Mati, utihni že!; Domov grem. -V Ameriko grem!
 Sinoči sem bil tukaj. Se me ne spomnite?; Sinoči sem bil tu, se me ne spomnite?; Potrebujete še kaj? Če dovolite, bi odšel.; Bi zadržali čoln? Steči moram v sobo...
 Ne, bojim se, da ne. Zdaj se boste morali obrniti.; Poslušajte me. Moramo se vrniti.; Ne skrbite, gospodična. Gotovo je le varnostni ukrep.; Ne bom se pretvarjal, da vem, zakaj.
 On vam bo povedal. Samo... Rad bi...; Nabrati ga moraš, naj bo zajeten. Moraš...; Ja, gospod. V veselje mi bo. Če lahko še kako pomagam...; Nočem vašega denarja. Prosim, le...
 Gospod Hockley in gospa Dewitt Bukater sta še vedno hvaležna za vašo pomoč.; G. Hockley in gospa Dewitt Bukater sta vam hvaležna za vso pomoč.; Hvaležen sem za to, Rose.; Jack, rada bi se ti zahvalila za vse, kar si storil.
 Prosila sta me, da, uh... vam sam tole v zahvalo.; Prosila sta me, naj vam dam tole v zahvalo.; Rečeno mi je bilo, naj vam dam tole v zahvalo.; Prosim, povejte le najbližjim.
 Nočem vašega denarja. Prosim, jaz... -In da vas obenem spomnim, da imate karto za tretji razred in da tukaj niste več zaželeni.; Prositi vas moram, da si nadenite rešilne pasove in odidete na palubo. -Rekel sem, da ne zdaj.; Obenem vas moram spomniti, da imate vozovnico za tretji razred in da vaša prisotnost tu ni več zaželena.; Vsi potniki tretjega razreda z ležišči v sprednjem delu, za mano, prosim! V to vrsto! Semle...
 Prosim, samo z Rose bi rad govoril...; Prosim, samo za hip bi rad govoril z Rose.; Rekli so mi, da si morda tu...; Prosim, povejte mi resnico.
