sentence1;setnence1;setnence2;setnence3
 Ušesni odziv normalen. Kako se počutiš, Jake?; Slušni odziv normalen. Kako se počutiš, Jake?; Kaj ti je šlo po glavi?; Kaj delaš?
 Pozdravljena.; Hvala.; Dobrodošel.; Oprostite.
 Dobrodošel v svoje novo telo, Jake. -V redu.; Mirno, fant.; Vrni se, fant. Tako, ja.; V redu.
 Nadaljevali bomo lepo počasi, Jake.; Začeli bomo lepo počasi.; Malce ga bomo opraskali.; Wainfleet, končaj že.
 Ni problema. -Vidim, da se tega še spomniš.; Upal sem, da boš to rekel.; Norm, si v redu? –Ja.; Ja. –Misliš resno?
 Če hočeš sesti je to tudi v redu.; Tako se to dela.; Sploh mi ni treba braniti.; Lahko ji ukažeš, kaj naj dela.
 Kar mirno in počasi, Jake. Ni napadov nestabilnosti, to je v redu.; Sovražnik je tam zunaj in zelo močan je.; Razumem. CS–40 so pripravljeni.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Občutiš vrtoglavico ali slabost?; Čutiš kakšno odrevenelost ali bolečino?; Si se izgubil v gozdu?; Slušni odziv normalen. Kako se počutiš, Jake?
 Lepo premikaš prste. -Dobro, Jake.; Dobro, Jake. –Odlično.; Norm, si v redu? –Ja.; Jake, Eywa te je slišala.
 Nadzor premikanja je v redu.; Zenični refleks je dober.; Propriocepcijski simulatorji dobro delujejo.; V redu je.
 Občutiš kako odrevenelost ali bolečino?; Čutiš kakšno odrevenelost ali bolečino?; Slušni odziv normalen. Kako se počutiš, Jake?; Si se izgubil v gozdu?
 Kar mirno, nikar naj se ti ne mudi.; Sedi, za tvojo varnost gre.; Ne igraj se s tem, oslepel boš.; Nadaljuj, umaknil se bo.
 Opraviti moramo še nekaj testov premikanja in refleksov.; Še nekaj testov motorike moramo opraviti.; Natančne slike bomo potrebovali.; Ne gre samo za koordinacijo oči in rok.
 Zato kar počasi.; Začeli bomo lepo počasi.; V redu, začnimo.; V redu, grem.
 Jake, poslušaj me.; Hej, vidva.; Izvoli.; Reci, da se šališ.
 Jake, hočem da sedeš. -Je že v redu, dobro mi gre.; Norm, si v redu? –Ja, še sem tu.; Poslušaj me. –Vse je v redu. Saj gre.; Sedi, prosim. Jake! –V redu je.
 Jake, hočem, da sedeš. -Spravita ga nazaj na ležaj.; Jake, takoj sedi. –Spravita ga nazaj na voziček.; Lahko gremo. –Dvigni ga.; Ti si kriv. –Počasi.
 Sesti moraš...; Hej, vidva.; Hej.; Nimaš samo ti orožja, prasica.
 Uspavaj ga!; Ne napadaj!; Poberi se!; Prebudi se.
 Tisoč miligramov uspavala, hitro!; Kako je hitro!; Razstrelite jo!; Eywa te je slišala!
 Jake, nisi še navajen svojega avatarskega telesa, to je nevarno.; Nisi vajen svojega avatarja.; To je zdaj tvoj avatar, Jake.; Če dovoliš, bi rad nekaj povedal.
 To je krasno. -Daj no, uspavali te bodo.; Jake, poslušaj me. –Daj no. Uspavali te bodo.; Jake, daj no. –Poslušaj me.; Daj no, to je … –Nehajta.
 Sedi!; Nazaj!; Stoj!; Stoj!
 Daj no, nobenih sposobnosti še nimaš.; Dobro, to še znaš.; Saj ne misliš resno.; Nisi vajen svojega avatarja.
 Ni se mi treba niti truditi v obrambi. -Pozdravljena.; Vem, da najbrž ne razumeš, ampak hvala.; Lep uboj.; Vidim te, brat, in zahvaljujem se ti.
 Je že v redu, za njim grem. -Jake, nazaj noter moraš.; V redu je. Imam ga. –Jake, pridi nazaj.; Pa me vzemi s sabo. –Ne. Pojdi nazaj.; Daj no, to je … –Nehajta.
 Oprosti.; Oprostite.; Izvoli.; Vidim te.
 Jake, ne smeš tekati naokrog!; Kaj za vraga delaš, Jake!; Zbudi se! Jake, zbudi se!; Eywa te je slišala!
 Oprosti. -Pazi malo!; Ježeš. Pardon. –Pazi!; Pazi! –Pardon.; Hej, vidva.
 Marinec!; Narrri!; Seze!; Plin!
 Presneto...; Hej, vidva.; To je tsaheylu. Vez.; Hej.
 Grace?; Jake?; Grace!; Grace!
 Koga pa si pričakoval?; Kaj ti je šlo po glavi?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?; Kako bom vedel, da me je izbral?
 Primi!; Greva!; Greva!; Seze!
 Kontrola premikanja izgleda v redu.; Propriocepcijski simulatorji dobro delujejo.; Link 3 je pripravljen.; Zenični refleks je dober.
 Utihnite zdaj.; Pojdimo, vas se zgodaj prebudi.; Pripravite vse orožje.; Ves čas se zavedajte tega.
 Ugašam luči.; Dragon na levi. Vračam se domov.; Sprožam.; Sprožam.
 Dajmo Luisa, hop-hop.; Hej, vidva.; Dajmo.; Nimaš samo ti orožja, prasica.
 Ne igraj se s tem, oslepel boš.; Ne igraj se s tem, oslepel boš.; Nadaljuj, umaknil se bo.; Ne bo ti všeč.
 To je prav čudno. -Dajmo.; Dajmo, ljudje. –Uf.; Daj no, to je … –Nehajta.; Pomirite se! –Ne, prosim.
 Ugašam luči, vidimo se pri večerji, mucke.; Tamle je. Se vidiva pri hangarjih.; Pri njej sem, Jake.; Poglej, kje sva, Grace.
 Dobrodošel nazaj.; Dobrodošel v novem telesu.; Mirno, fant.; Dobrodošli v taboru.
 Je vse v redu? -Dobro sem.; Si v redu? –Ja.; Norm, si v redu? –Ja.; Živjo. –Zdravo.
 Jaz sem Trudy, sem pilotka znanstvenikov.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.; Omaticaya sem. Eden od vas sem.; Znanstvenica sem.
 Tole je moj otročiček.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.; Navsezadnje je moj rojstni dan.; Všeč mi je.
 Počakaj trenutek.; Počakaj.; Pojdi nazaj.; Ne boš. Pridi nazaj.
 Wainfleet, opravi že.; Govori, Jakesully.; Tsaheylu, Jake.; Daisy cutterje.
 Ob devetih odrinemo. -Saj delam, kapitan.; Ob 9.00 gremo. –Razumem, kapitan.; Nekaj se premika. 500 metrov. –Charlie 21, čakaj na položaju.; V redu je. Imam ga. –Jake, pridi nazaj.
 Še vedno ni pritrjen. -Težko opremo imate na krovu.; Scorpion 2H, Peklenski stolp, imate dovoljenje za vzlet.; To je soba z linki.; Prevzel boš puško pri vratih. Eden nam manjka.
 Pazi!; Pazi!; Pazi!; Ne napadaj!
 To je zato, ker nismo edini, ki letamo naokrog.; Ker nismo edini, ki letijo tam okrog.; Da moramo videti, kje letimo.; Nič takega nimamo, kar bi jih mikalo.
 Pa tudi največji ne.; Ali največji.; Ampak ne tako kot tu.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 Potrebujem pa te na orožju ob vratih, manjka mi član posadke.; Ampak če si tu, bi te rad opozoril.; Lahko bi me zakrpali, če bi šel nazaj.; Če se boš izkazal, ti bom priskrbel noge.
 Mislil sem, da ne boš nikoli rekla.; Upal sem, da boš to rekel.; Bala sem se, Jake.; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Tega iščeš. Vidiva se na vzletni stezi.; Tamle je. Se vidiva pri hangarjih.; Poglej, kje sva, Grace.; To je zdaj tvoj avatar, Jake.
 Hoteli ste me videti, polkovnik?; Ste me iskali, polkovnik?; Sem so me poslali … Vidite?; Me slišiš, Neytiri?
 Ta nizka težnost te oslabi.; Domorodcem se moraš prikupiti.; Zaostrimo napad.; Distalna motorika je dobra.
 Če oslabiš te bo Pandora ubila brez vsakega opozorila.; In če oslabiš, te Pandora brez opozorila ubije.; Ne igraj se s tem, oslepel boš.; Če se boš izkazal, ti bom priskrbel noge.
 Pogledal sem tvojo kartoteko, desetar.; Videl sem tvojo kartoteko.; To je zdaj tvoj avatar, Jake.; Zdaj si sin Omaticaye.
 Venezuela, to je bilo grdo okolje.; Ampak to je bila le teorija.; To je bilo enkratno.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Ampak ne kot to tukaj.; Ampak ne tako kot tu.; Ampak to se ne bo zgodilo.; Tako se to dela.
 Imaš pa kar nekaj poguma, da si prišel v to soseščino.; Zdaj pa je čas, da se vrneš.; To ti najbrž ne bo težko.; Če dovoliš, bi rad nekaj povedal.
 To je samo še ena peklenska luknja. -Sam sem bil najprej izvidnik.; Se znajdeš v laboratoriju? –Nekoč sem seciral žabo.; Sprva sem samo ubogal ukaz.; Zakaj si prišel k nam? –Učit sem se prišel.
 Nekaj let pred teboj, morda več kot samo nekaj let.; Nekaj let pred tabo. Ali pa več.; Vem, kdo si. Ne potrebujem tebe, ampak tvojega brata.; Ne zdi se kot šest let.
 Trikrat sem bil v Nigeriji pa nisem dobil niti praske.; Lahko bi me zakrpali, če bi šel nazaj.; Sploh mi ni treba braniti.; Če bi bil na pripravah, bi to vedel.
 Potem sem prišel sem in prvi dan sem bil kot oskuben piščanec.; Ko pa sem prišel sem … Že prvi dan. Počutil sem se kot bedak.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Rekel sem si, da lahko opravim vsak test.
 To mi lahko popravijo, ko se bom vračal nazaj.; Lahko bi me zakrpali, če bi šel nazaj.; Če to storim, bom eden od njih.; Lahko se bom dogovoril o selitvi.
 Lahko me naredijo zopet lepega.; Ampak tudi ta ženska mora izbrati mene.; Brez tebe mi ne bo uspelo.; Če to storim, bom eden od njih.
 Ampak veš kaj, na nek način mi je všeč.; Všeč mi je.; Da bi bil spet lep. Ampak všeč mi je tako.; Ampak tudi ta ženska mora izbrati mene.
 Vsak dan me opominja, kaj me pričakuje zunaj.; Opominja me na to, kaj je tam zunaj.; Dokler diham, ni konec.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Program avatar je samo slaba šala.; To je moj zadnji video dnevnik.; Dovoliš? To je moj video dnevnik.; Moja je prazna, verjemite.
 Kopica debelušnih znanstvenikov.; Več kot 2000 bojevnikov.; Ker dvojček sploh obstaja in ker ni ustni higienik.; Samo še ena peklenska luknja.
 Vseeno pa predstavlja priložnost, enkratno priložnost ob pravem času. Umik!;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."; Umakni se. Pojdi stran! To je ukaz!; Morate stran. Prihajajo!
 Izvidnik v telesu avatarja.; Demon v lažnem telesu.; Jezdec zadnje sence.; Izvidnik v avatarskem telesu. Močna kombinacija.
 To je nevarna mešanica, kurjo polt dobim zraven.; Kar mravljince dobim.; Lahko bi me zakrpali, če bi šel nazaj.; Ne potrebujem trota, ki rad strelja.
 Tak marinec bi mi lahko priskrbel podatke s terena, ki jih potrebujem.; Tak marinec bi lahko pridobil informacije na terenu.; Lahko se bom dogovoril o selitvi.; Ampak če si tu, bi te rad opozoril.
 Naravnost iz tabora sovražnikov.; Pale je samica.; Domorodcem se moraš prikupiti.; Zaostrimo napad.
 Sully, hočem, da proučiš te divjake od znotraj, hočem, da si pridobiš njihovo zaupanje.; Samo hvala bi ti rekel, ker si jih pobila.; Ampak če si tu, bi te rad opozoril.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Hočem jih prisiliti v sodelovanje ali pa uničiti, če ne bodo hoteli.; Če to storim, bom eden od njih.; Sploh mi ni treba braniti.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Bom še podrejen Augustine? -Vsaj uradno.; Ne, uspelo mi bo.; Norm, si v redu? –Ja.; Jake? Hvala. Raznežil sem se.
 Hodil boš naokrog, kot se ji bo zahotelo, kvakal kot znanstvenik, poročal pa boš meni.; Potem bomo videli, ali je tvoja blaznost ozdravljiva.; Če se boš izkazal, ti bom priskrbel noge.; V čast mi bo, če boš prevajal.
 Lahko to narediš zame, sinko?; Boš naredil to zame?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?; Kaj pa boš, kavboj? Me boš ustrelil?
 Seveda, gospod.; Zveni dobro, gospod.; Eytukan, nekaj bi rad povedal.; Tvoj oče. Me veseli, gospod.
 Potem je v redu.; V redu je.; V redu je.; V redu.
 Sinko, jaz poskrbim za svoje.; Jaz poskrbim za svoje ljudi.; Vem, da ti lahko.; Sedi, za tvojo varnost gre.
 Priskrbi mi, kar potrebujem, pa bom poskrbel, da dobiš nazaj svoje noge, ko boš šel domov.; Če se boš izkazal, ti bom priskrbel noge.; Samo hvala bi ti rekel, ker si jih pobila.; Lahko bi me zakrpali, če bi šel nazaj.
 Resnične noge.; Prave noge.; Njene močne noge.; Semena svetega drevesa.
 To je slišati krasno, gospod.; Zveni dobro, gospod.; Eytukan, nekaj bi rad povedal.; Wainfleet, končaj že.
 Povezava pripravljena.; V redu. Lokacija: koča.; Link 3 je pripravljen.; Dobil sem odobritev. Dogovorjeno je.
 Usta drži zaprta in pusti Norma, da bo govoril.; Oče se odloča, ali naj te ubije.; Iti mora skozi Eywino oko in se vrniti.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.
 V redu, gremo.; V redu, grem.; Sem že. Pojdimo.; Gremo.
 Ugasni ga, nekaj časa bomo tukaj.; Povej jim, da bodo kmalu tu.; Ugasni motorje. Nekaj časa bomo ostali.; Nadaljuj, umaknil se bo.
 Norm, tvoj nahrbtnik.; Oče, vidim te.; Tamle je tvoj.; Nimaš samo ti orožja, prasica.
 Ostani pri letalu.; Pojdi nazaj.; Ostani pri ladji. En tepec s puško je dovolj.; Tako je. Steci nazaj k mamici.
 En bedak s puško je dovolj.; Kdo je nevaren? Tako je.; Za vašega brata gre.; Če pridejo do Drevesa duš, je konec.
 Vi ukazujete, doktorca.; Hej, vidva.; Nimaš samo ti orožja, prasica.; Izvoli.
 Prolemurji, niso napadalni.; Prolemurji. Niso napadalni.; Valkira 1–6, lahko napadeš.; Ti butci ne dojamejo sporočila.
 Sprosti se, marinec, delaš me živčno.; Pomiri se. Živčno me delaš.; Ne igraj se s tem, oslepel boš.; Zdaj sem s tabo, Jake.
 Kako bodo vedeli, da smo tukaj? -Prepričana sem, da nas že opazujejo.; Gotovo nas že opazujejo.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Naprej, Norm. -Gremo, fanta.; Daj mi roko. Vsi smo notri. Gremo!; Trudy, vžgi ladjo. Gremo!; Gremo, posebni primer. Ne bom te čakal.
 Začenjam. -Skeniram.; Takole. –Skeniram.; Sprožam.; Sprožam.
 Tako hitro?; Je uspelo?; Pa zdaj?; Kako je hitro!
 Osupljivo, ali ne?; Strela jasna!; O ne!; Krasno.
 To je prenos podatkov iz te korenine v korenino sosednjega drevesa.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.; To je več povezav kot v človeških možganih.
 Morali bi vzeti vzorec.; Vzorce moram vzeti.; Morali bi videti svoje obraze.; Torej ga moramo ustaviti.
 Glede na hitrost reakcije je verjetno električno.; Po hitrosti sodeč je električno.; Mislim, da je drugi obroč nosilen.; Pri tarči bomo čez eno minuto.
 Norm, vzorec si okužil s svojo slino.; Wainfleet, končaj že.; Zdaj si sin Omaticaye.; Prevzel si pobudo.
 Ne streljaj, samo razjezil ga boš.; Ne igraj se s tem, oslepel boš.; Ne streljaj. Ne streljaj! Razdražil ga boš.; Ubiti te bo hotel.
 Je že jezen.; Je že razdražen.; Poln nos njegovega vonja imam.; Mrtev je.
 Jake, oklep ima predebel, kar zaupaj mi.; Predebel oklep ima. Verjemi mi.; Wainfleet, končaj že.; To je zdaj tvoj avatar, Jake.
 Samo svoje ozemlje brani, ne beži, ker te bo napadel.; Sedi, za tvojo varnost gre.; Ne boj se, bojevnik.; Samo hvala bi ti rekel, ker si jih pobila.
 Kaj pa naj naredim? Naj zapleševa?; Kako je pa s tem? Naj tečem ali ne?; Je v redu? Naj kar prosto govorim?; Naj torej plešem z njim?
 Samo na miru bodi.; Sedi, za tvojo varnost gre.; Usliši nas, mati vsega.; Nadaljuj, umaknil se bo.
 Dajmo, pokaži kaj imaš!; Zbudi se, prosim!; Spravi ga k rampi!; Odvrzi, odvrzi! Dajmo!
 Kdo je zloben? Tako je prav.; Kdo je nevaren? Tako je.; Zakaj jaz? To ni pošteno.; Saj to ni res!
 O tem ti govorim, prasec.; Saj ne misliš resno.; Wainfleet, končaj že.; Saj ti je že.
 Tako je prav, beži nazaj k mami.; Tako je. Steci nazaj k mamici.; Pojdi nazaj.; Za zdaj ji povej, kam naj gre.
 Ničesar nimaš, kar beži. Drugič pripelji še kaj prijateljev.; In pripelji še prijatelje.; Tako je. Steci nazaj k mamici.; Ostani pri ladji. En tepec s puško je dovolj.
 Kaj pa naj s tem? Naj bežim ali ne, kaj?; Kako je pa s tem? Naj tečem ali ne?; Je v redu? Naj kar prosto govorim?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?
 Beži, vsekakor beži!; Spravi ga k rampi!; Nikoli se ne vrni!; Gremo, gremo!
 Prenehati moramo, ponoči ne smemo ostati zunaj.; Ponoči ne smemo biti zunaj.; Ne smemo teči.; Toda prej ali slej se je treba zbuditi.
 Oprostite, doktorica, moral bo počakati do jutri.; Izpeljite to ostro in odločno, da bom do večerje doma.; Žal mi je. Počakati bo moral to jutra.; To mi bo pokvarilo dan.
 Do jutri ne bo preživel.; Ne bo preživel.; Ta tujec se ne bo ničesar naučil.; Mrtev je.
 Nimam časa celo prekleto noč.; Nimam časa vso noč.; Nočem zamuditi na svojo zabavo.; Nočem na silo hraniti kriplja.
 Pridite!; Zbežite!; Poslušajte!; Pridi!
 Čakaj, nikar!; Zbudi se, prosim!; Bežite!; Ne napadaj!
 Krasno.; Krasno.; Prekleto.; Neverjetno.
 Vem, da me verjetno ne razumeš.; Saj ne misliš resno.; Razočaral si me.; Če dovoliš, bi rad nekaj povedal.
 Ampak...; Pa zdaj?; Človek, ne!; Saj ti je že.
 Hvala.; Hvala.; Oprostite.; Dobrodošel.
 Hvala.; Hvala.; Oprostite.; Dobrodošel.
 To je res naredilo vtis.; To je bilo enkratno.; Všeč mi je.; Splačalo se je poskusiti.
 Z menoj bi bilo konec, če ne bi prišla zraven.; Če ne bi prišla, bi bilo po meni.; Lahko bi me zakrpali, če bi šel nazaj.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Čakaj trenutek, kam greš?; Pojdi nazaj.; Me slišiš, Neytiri?; Le pridi. Kaj boš naredil?
 Čakaj.; Čakaj.; Dobro, Jake. Čakaj.; Počasi.
 Počasneje.; Počasi.; Čakaj.; Povečaj.
 Hotel sem se ti samo zahvaliti, da si pobila te stvore...; Samo hvala bi ti rekel, ker si jih pobila.; Privaditi se moraš na avatar. Jake!; Zlahka bi ga ubil.
 Ne zahvaljuj se.; Ne napadaj.; Nimaš samo ti orožja, prasica.; Prebudi se.
 Za to se ne zahvaljuj.; Ne napadaj.; Za to ne rečeš hvala.; Nimaš samo ti orožja, prasica.
 To je žalostno.; To ni prav.; To je dejstvo.; Zakaj jaz? To ni pošteno.
 Samo zelo žalostno.; To je žalostno. Samo zelo žalostno.; V redu. Žal mi je.; Žal mi je. Ne, ne!
 Prav, žal mi je.; V redu. Žal mi je.; Ne, uspelo mi bo.; Žal mi je. Ne, ne!
 Karkoli sem že naredil, žal mi je.; Karkoli sem že naredil, mi je žal.; Ne bo mi uspelo.; Če ne bi prišla, bi bilo po meni.
 Za vse to si ti kriv, ne bi jim bilo treba umreti.; Ti si kriv. Ne bi jim bilo treba umreti.; Samo hvala bi ti rekel, ker si jih pobila.; Po mojem si ti izdajalci ne zaslužijo zrezka.
 Jaz sem kriv? Oni so napadli mene, kako to, da sem zdaj jaz zlobnež?; Jaz sem kriv? Zakaj? Oni so napadli.; Kdo ima cigareto zame? Ljudje, kaj tu manjka?; Zakaj jaz? To ni pošteno.
 Ti si kriv! -Počasi.; Ti si kriv. –Počasi.; Daj no, to je … –Nehajta.; Počakajte! –Umaknite se.
 Si kot majhen otrok, tako glasen, ne veš, kaj bi naredil.; Kot otrok si. Hrup delaš, ne veš, kaj bi.; Oče se odloča, ali naj te ubije.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Če imaš tako rada svoje majhne gozdne prijateljčke, zakaj jih nisi potem pustila, da bi me ubili?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?; Samo hvala bi ti rekel, ker si jih pobila.; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Kaj si mislila?; Kaj pa si?; Kaj ti je šlo po glavi?; Kaj je bilo to?
 Zakaj sem te rešila? -Zakaj si me rešila.; To bitje … Zakaj si ga pripeljala sem?; Zakaj sem te rešila? –Ja. Zakaj si me rešila?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?
 Močno srce imaš.; Močno srce imaš.; Pogumen si, da si prišel sem.; Kot otroček si.
 Nič strahu.; Nič strahu.; Mirno, ljudje.; Dol. Sprosti se in ne misli na nič.
 Ampak neumen, neveden kot otrok.; Marinec sem bil.; Ampak neumen. Neveden kot otrok.; Kar mravljince dobim.
 Če sem kot otrok bi me lahko morda učila.; Če sem kot otrok, bi me morala podučiti.; Če ne bi prišla, bi bilo po meni.; Lahko bi me zakrpali, če bi šel nazaj.
 Ljudje iz nebes se ne morejo učiti, ne vidijo. -Nauči me, kako videti.;" ""Razumem te."" To moraš razumeti."; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.; Poglej svet, od koder prihajamo.
 Nihče te ne more naučiti videti.; Ljudje z neba se ne morejo naučiti, ker ne vidijo.; Ta tujec se ne bo ničesar naučil.; Toda prej ali slej se moraš zbuditi.
 Daj no, se lahko pogovoriva?; Jake, me slišiš?; Je v redu? Naj kar prosto govorim?; Boš naredil to zame?
 Kje si se naučila našega jezika?; Kje si se naučila angleško? V šoli dr. Augustinove?; Kaj še lahko poveš o zgradbi?; Kaj delaš?
 V šoli dr. Augustine?; V gorovju Aleluja?;" ""Klan marincev""?"; Kje si se naučila angleško? V šoli dr. Augustinove?
 Kot otrok si.; Kot otroček si.; Kot otrok si. Hrup delaš, ne veš, kaj bi.; Močno srce imaš.
 Potrebujem tvojo pomoč.; Tvojo pomoč rabim.; Vendar potrebujem pomoč.; Prosim za Eywino pomoč.
 Ne bi smel biti tukaj.; Ampak če si tu, bi te rad opozoril.; Lahko bi me zakrpali, če bi šel nazaj.; To moram končati.
 Prav, vzemi me s seboj. -Ne, pojdi nazaj.; Pa me vzemi s sabo. –Ne. Pojdi nazaj.; V redu je. Imam ga. –Jake, pridi nazaj.; Pomirite se! –Ne, prosim.
 Ne.; Ne.; Ja.; Ja.
 Pojdi nazaj.; Pojdi nazaj.; Ne boš. Pridi nazaj.; Tako je. Steci nazaj k mamici.
 Kaj je to?; Kaj je bilo to?; In kaj je to?; Kaj … Kaj je to?
 Semena svetega drevesa.; Semena svetega drevesa.; Jezdec zadnje sence.; To je toruk. Zadnja senca.
 Zelo čisti duhovi.; Zelo čisti duhovi.; Mater, so veliki.; Ja, odličen mišični tonus imajo.
 Kaj je bilo to?; Kaj je bilo to?; Kaj ti je šlo po glavi?; Kaj … Kaj je to?
 Pridi.; Pridi.; Pridi.; Ja. Pridi sem.
 Kam greva?; Kam greva?; Se lahko pogovoriva?; Kaj delaš?
 Pridi.; Pridi.; Pridi.; Ja. Pridi sem.
 Kako ti je ime?; Kako ti je ime?; Kako ti je ime?; Hej, vidva.
 Pomirite se ljudje, pomirite!; Razstrelite jo!; Odklopili se bodo!; Opravimo to, ljudje.
 Tsu'tey, kaj počneš?; Kaj delaš, Tsu'tey?; Tsu'tey! Brat, me slišiš?; Kaj pa si?
 Ta demon ne bi smel biti tukaj.; Ti demoni ne smejo sem.; Naj danes nihče ne umre. V poročilu ne bi bilo lepo.; Sovražnik je tam zunaj in zelo močan je.
 Videla sem znak.; Sprva sem samo ubogal ukaz.; Tako. Umaknil se je.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.
 Tsahik se mora odločiti.; Tsahik naj odloči.; Naša Velika mati ne izbira strani, Jake.; Toruk ga je izbral.
 Vzemite ga s seboj.; Pripravite vse orožje.; Pojezdite hitro, kolikor vas veter nese.; Če vam bo slabo, uporabite vrečko.
 Kaj se dogaja?; Kaj se dogaja?; Kaj se dogaja?; Kaj se dogaja?
 Kaj se dogaja?; Kaj se dogaja?; Kaj se dogaja?; Kaj se dogaja?
 Oče...; Hej, vidva.; Oče, vidim te.; O bog.
 Vidim te.; Vidim te.; Vidim te.; Oče, vidim te.
 Ta stvor... zakaj si ga pripeljala sem?; To bitje … Zakaj si ga pripeljala sem?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Hotela sem ga ubiti, potem pa sem videla Eywin znak.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.; Vedela je, da govorim s polkovnikom.; Rekel sem, da sanjehodci ne smejo sem.
 Rekel sem, da ne sme sem noben nočni popotnik.; Rekel sem, da sanjehodci ne smejo sem.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.
 Kaj pravi?; Kaj pravi?; Kaj pravi?; Kaj delaš?
 Nos se mi obrača od njegovega smradu.; Poln nos njegovega vonja imam.; Opominja me na to, kaj je tam zunaj.; Nočem na silo hraniti kriplja.
 Kaj pravi?; Kaj pravi?; Kaj pravi?; Kaj delaš?
 Moj oče se odloča, če te naj ubije ali ne.; Oče se odloča, ali naj te ubije.; Z Neytiri se moraš hitro učiti, drugače umreš.; Jaz poskrbim za svoje ljudi.
 Tvoj oče?; Šef.; Kako ti je ime?; Kako ti je ime?
 Veseli me, da sem vas spoznal, gospod.; Tvoj oče. Me veseli, gospod.; Nekaj bi rad povedal vsem vam.; Zveni dobro, gospod.
 Umakni se!; Poberi se!; Ne napadaj!; Prebudi se.
 Če je bil znak duhov potem o tem odločam jaz.; Če to storim, bom eden od njih.; Mislim, da je čas, da opravimo nalogo.; Jaz poskrbim za svoje ljudi.
 To je moja mama, ona je Tsahik, ona tolmači voljo Eywe.; Neytiri mi reče skxawng, kar pomeni bebec.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Kdo je Eywa?; Kdo je Eywa?; Kdo ima zmenek s poglavarjevo hčerko?; Kje je laboratorijska halja?
 Kako ti je ime?; Kako ti je ime?; Kako ti je ime?; Hej, vidva.
 Jake Sully.; Jake Sully.; Dr. Norm Spellman.; Daisy cutterje.
 Zakaj si prišel k nam?; Kaj delaš?; Zakaj bi nam pomagali?; Si se izgubil v gozdu?
 Prišel sem se učit.; Zaljubil sem se.; Rekel sem si, da lahko opravim vsak test.; Marinec sem bil.
 Poskusili smo učiti ostale ljudi z nebes.; Ljudi z neba smo poskusili učiti.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.; Ker nismo edini, ki letijo tam okrog.
 Težko je napolniti skodelico, ki je že polna.; Težko je napolniti čašo, ki je že polna.; Toda prej ali slej se je treba zbuditi.; Včasih se življenje strne v eno samo noro potezo.
 Moja je prazna, kar verjemi mi.; Samo hvala bi ti rekel, ker si jih pobila.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.; Brez tebe mi ne bo uspelo.
 Vprašaj dr. Augustine, jaz nisem znanstvenik.; Zakaj jaz? To ni pošteno.; Vprašajte dr. Augustinovo. Nisem znanstvenik.; Eytukan, nekaj bi rad povedal.
 Kaj pa si?; Kaj pa si?; Saj ti je že.; Človek, ne!
 Bil sem marinec.; Marinec sem bil.; Bil sem svoboden.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
 Bojevnik in član vojnega klana.; Bojevnik iz klana marincev.; Tsu'tey. –Bodoči vodja klana.; Izobčenec.
