sentence1;sentence2
 Zelo čisti duhovi.; Zelo čisti duhovi.
 Kaj je bilo to?; Kaj je bilo to?
 Pridi.; Pridi.
 Kam greva?; Kam greva?
 Pridi.; Pridi.
 Kako ti je ime?; Kako ti je ime?
 Pomirite se ljudje, pomirite!; Odklopili se bodo!
 Tsu'tey, kaj počneš?; Tsu'tey, kaj počneš?
 Ta demon ne bi smel biti tukaj.; Naj danes nihče ne umre. V poročilu ne bi bilo lepo.
 Videla sem znak.; Sprva sem samo ubogal ukaz.
 Tsahik se mora odločiti.; Tsahik naj odloči.
 Vzemite ga s seboj.; Vzemite ga s seboj.
 Kaj se dogaja?; Kaj se dogaja?
 Kaj se dogaja?; Kaj se dogaja?
 Oče...; Oče...
 Vidim te.; Vidim te.
 Ta stvor... zakaj si ga pripeljala sem?; To bitje … Zakaj si ga pripeljala sem?
 Hotela sem ga ubiti, potem pa sem videla Eywin znak.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.
 Rekel sem, da ne sme sem noben nočni popotnik.; Rekel sem, da sanjehodci ne smejo sem.
 Kaj pravi?; Kaj pravi?
 Nos se mi obrača od njegovega smradu.; Poln nos njegovega vonja imam.
 Kaj pravi?; Kaj pravi?
 Moj oče se odloča, če te naj ubije ali ne.; Oče se odloča, ali naj te ubije.
 Tvoj oče?; Tvoj oče?
 Veseli me, da sem vas spoznal, gospod.; Tvoj oče. Me veseli, gospod.
 Umakni se!; Poberi se!
 Če je bil znak duhov potem o tem odločam jaz.; Če to storim, bom eden od njih.
 To je moja mama, ona je Tsahik, ona tolmači voljo Eywe.; To je moja mama, ona je Tsahik, ona tolmači voljo Eywe.
 Kdo je Eywa?; Kdo je Eywa?
 Kako ti je ime?; Kako ti je ime?
 Jake Sully.; Jake Sully.
 Zakaj si prišel k nam?; Zakaj bi nam pomagali?
 Prišel sem se učit.; Zaljubil sem se.
 Poskusili smo učiti ostale ljudi z nebes.; Ljudi z neba smo poskusili učiti.
 Težko je napolniti skodelico, ki je že polna.; Težko je napolniti čašo, ki je že polna.
 Moja je prazna, kar verjemi mi.; Moja je prazna, kar verjemi mi.
 Vprašaj dr. Augustine, jaz nisem znanstvenik.; Vprašajte dr. Augustinovo. Nisem znanstvenik.
 Kaj pa si?; Kaj pa si?
 Bil sem marinec.; Bil sem svoboden.
 Bojevnik in član vojnega klana.; Bojevnik iz klana marincev.
 On je bojevnik? Zlahka bi ga ubil.; Zlahka bi ga ubil. Ne!
 Ne!; Ne!
 To je prvi bojevnik, ki smo ga srečali med vsemi prišleki.; To je prvi bojevnik sanjehodcev, ki ga vidimo.
 Moramo izvedeti več o njem.; Moramo izvedeti več o njem.
 Hčerka...; Hčerka...
 učila ga boš o našem življenju, da bo govoril in se obnašal kot mi.; Hčerka, ti ga boš učila naših navad.
 Zakaj jaz? Ni pošteno. -Odločila sem se!; Pomirite se! –Ne, prosim.
 Odločeno je.; V redu je.
 Moja hčerka te bo učila o našem življenju.; Odločeno je. Moja hči te bo učila naših navad.
 Dobro se uči, Jake Sully.; Dobro se uči, Jakesully.
 Videli bomo, če lahko ozdravimo tvojo norost.; Videli bomo, če lahko ozdravimo tvojo norost.
 Dober večer.; Dober večer.
 Prosim, ne vstajajte.; Prosim, ne vstajajte.
 Oprosti.; Oprosti.
 Hej, kako kaj gre?; Hej, kako kaj gre?
 Jake. -Prihaja k sebi.; Jake. -Prihaja k sebi.
 Pridi nazaj, mali. Daj, tako je prav.; Pridi nazaj, mali. Daj, tako je prav.
 Tukaj si.; Pripravljen si.
 Govoril si kot navit.; Presneto! Držal si se kot klop.
 Je avatar na varnem? -Ja, doktorica.; Je avatar na varnem? -Ja, doktorica.
 Ne boste verjeli, kje sem.; Ne boste verjeli, kje sem.
 Zadnje, kar smo videli, je bila rit tega marinca, kako izginja med grmovjem, medtem ko ga lovi lačen thanator.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.
 To ni nekaj, česar se lahko naučite.; To ni nekaj, česar se lahko naučite.
 Iz vzrokov, ki jih nikakor ne razumem so te sprejeli Omaticaya.; To me ne bi motilo, če ne bi bili … Lahko kdo … Sektor 12.
 Bog naj nam pomaga.; Iz neznanega razloga so Omaticayi izbrali tebe. Bog se nas usmili.
 Vojni klan?; Vojni klan?
 Pa je delovalo?; Pa je delovalo?
 Sem že član družine.; Sem že član družine.
 Hočejo me proučevati, moram se naučiti, da bom eden izmed njih.; Preučevali me bodo. Postal bom eden od njih.
 Temu se reče prevzeti iniciativo, sinko. Želim si še deset takih, kot si ti.; Temu se reče prevzeti iniciativo, sinko. Želim si še deset takih, kot si ti.
 Sully, ti samo ugotovi, kaj te modre opice hočejo.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.
 Poskusili smo jim dati medicino, izobrazbo, ceste, ampak ne, njim je všeč blato.; Hoteli smo jim dati zdravila, izobrazbo, ceste … Ampak ne. Raje imajo blato.
 Mene to ne moti, je pa tako, da so...; Tako se to dela.
 Bi lahko kdo...? Sektor dvanajst.; To me ne bi motilo, če ne bi bili … Lahko kdo … Sektor 12.
 Ustavi. -Ustavi.; Ustavi. -Ustavi.
 Ustavi. To je genialno.; Avatarski program je bedarija. Trop nesposobnih znanstvenikov.
 Njihova presneta vas slučajno stoji na največji zalogi unobtaniuma v razdalji dvesto kilometrov.; Njihova presneta vas slučajno stoji na največji zalogi unobtaniuma v razdalji dvesto kilometrov.
 Poglej si to zalogo.; Poglej to sveže meso.
 Kdo jih bo spravil proč? -Ugibaj.; Kdo jih bo preselil? –Ugani.
 Kaj pa, če ne bodo hoteli proč?; Kako bodo vedeli, da smo tu?
 Stavim, da bodo hoteli.; Stavim, da bodo hoteli.
 Ubijanje domorodcev izgleda slabo.; Ubijanje domorodcev izgleda slabo.
 Delničarji pa nekaj sovražijo še bolj kot slabe novice v poročilih.; Delničarji pa nekaj sovražijo še bolj kot slabe novice v poročilih.
 To je slabo poročilo o poslovanju. Nisem si jaz izmislil pravil.; Ubijati domorodce ni lepo, ampak delničarji še bolj kot slabo publiciteto sovražijo slabo četrtletno poročilo. Nisem jaz pisal pravil.
 Zato mi najdi korenček, ki jih bo spravil proč.; Najdi korenček, ki jih bo zvabil stran.
 Drugače bo moral on opraviti s palico. Prav?; Drugače bo moral on opraviti s palico. Prav?
 Tri mesece časa imaš, potem pridejo tja buldožerji.; Tri mesece imaš. Potem pridejo buldožerji.
 Torej ne izgubljajmo časa.; Torej ne izgubljajmo časa.
 Všeč mi je ta fant.; Všeč mi je.
 Prav, poglejmo še enkrat.; Poskusimo še enkrat.
 Moat, zmajeva gospa.; Moat, zmajeva gospa.
 Eytuken. -Eytukan.; Eytuken. -Eytukan.
 On je vodja klana, ona pa je duhovna voditeljica.; On je vodja klana, ona pa je duhovna voditeljica.
 Neke vrste šaman. -Razumem.; Neke vrste šaman. -Razumem.
 Tsutey. -Tsu'tey.; Tsutey. -Tsu'tey.
 On bo naslednji vodja klana.; Tsu'tey. –Bodoči vodja klana.
 Neytiri. -Ona bo naslednji Tsahik.; Neytiri. -Ona bo naslednji Tsahik.
 Ta dva se bosta poročila.; Čez nekaj ur bosta zunaj.
 Kdo pa je Eywa? -Kdo je Eywa?; Kdo je Eywa?
 Samo njihovo božanstvo, boginja, ki je ustvarila vsa živa bitja, vse, kar poznajo. To bi vedel, če bi imel vsaj malo treninga.;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."
 Kdo pa gre na zmenek s poglavarjevo hčerko?; Kdo ima zmenek s poglavarjevo hčerko?
 Gremo, v vasi zgodaj vstajajo.; Pojdimo, vas se zgodaj prebudi.
 Ne naredi česa izjemno neumnega.; Ne stori ničesar izjemno neumnega.
 Mirno, fant.; Mirno, fant.
 Ženska je.; Ženska je.
 Mirno, dekle.; Mirno, fant.
 To je Sa'helu, zveza.; To je Sa'helu, zveza.
 Občuti jo.; Začuti jo.
 Občuti bitje njenega srca.; Občuti bitje njenega srca.
 Njen dah.; Njen dah.
 Občuti njene močne noge.; Njene močne noge.
 Lahko ji poveš, kaj naj naredi, v glavi.; Lahko ji ukažeš, kaj naj dela.
 Zdaj ji povej, naj gre naprej.; Za zdaj ji povej, kam naj gre.
 Naprej.; Naprej.
 Raje pojdi proč.; Raje pojdi proč.
 Potem pa me boš pogrešal.; Potem pa me boš pogrešal.
 Vedel sem, da govoriš naš jezik.; Vedel sem, da znaš angleško.
 Čas izgubljaš z njim, še kamen bi se prej naučil.; Z Neytiri se moraš hitro učiti, drugače umreš.
 Kar poglej ga.; Kar poglej ga.
 Še enkrat.; Še enkrat.
 Če boste hoteli to zadevo napasti, ne bo enostavno.; Če jih boste hoteli napasti, ne bo lahko.
 Vaše skeniranje ne pokaže notranje strukture.; Slika ne kaže notranje zgradbe.
 Tukaj je zunanja vrsta zelo močnih stebrov.; Tu je deset na dvanajsto dreves.
 Tam je še drug obroč in še eden notranji.; Mislim, da je drugi obroč nosilen.
 V jedru je struktura v obliki spirale.; V jedru je struktura v obliki spirale.
 Tako se premikajo gor in dol.; Tako se premikajo gor in dol.
 Potrebovali bomo natančne podatke o vsakem stebru.; Natančne slike bomo potrebovali.
 Razumem.; Razumem.
 Kaj nam še lahko poveš o strukturi?; Kaj še lahko poveš o zgradbi?
 Domnevam, da je ta drug obroč nosilni.; Mislim, da je drugi obroč nosilen.
 kam gremo?; kam gremo?
 Odhajamo proč.; Odhajamo proč.
 Ne bom dovolila, da Selfridge in Quaritch vodita celotno zadevo.; Ne dovolim, da se Selfridge in Quaritch vmešavata.
 Na položaju 26 je prenosna postaja, delamo lahko tam, visoko v planinah.; Delali bomo z mobilnim linkom na lokaciji 26, v gorah.
 V planinah Aleluja?; V gorovju Aleluja?
 Tako je. -Resno mislite?; Tako je. -Resno mislite?
 Ja. -Ja!; Ja. –To!
 Legendarne lebdeče planine Pandore, nisi še slišal za njih?; Legendarne plavajoče gore. Si slišal zanje?
 Blizu smo že.; Blizu smo že.
 Ja, poglej moje naprave.; Poglej moje instrumente.
 Smo v energetskem vrtincu.; Smo v energetskem vrtincu.
 Zdaj smo na VFR. -Kaj je VFR?; Kakšna logika je to?
 Pomeni, da moraš videti kam greš.; Toda prej ali slej se moraš zbuditi.
 Ampak nič se ne da videti. -Točno tako.; Ampak nič se ne da videti. -Točno tako.
 Ni to zajebano?; Ni to zajebano?
 O moj bog...; O bog.
 Morali bi videti svoje obraze.; Morali bi videti svoje obraze.
 Hvala, da ste leteli z družbo Pandora.; Hvala, ker ste leteli z Air Pandoro.
 Dobrodošli v tabor.; Dobrodošli v taboru.
 To je moja omarica. -Ta stvar je grozna.; To je nevarno. –Super je.
 Norm, ti boš spodaj.; Norm, ti boš spodaj.
 Grace ni nič ušlo.; Nihče mu ni nič mogel.
 Vedela je, da sem govoril s polkovnikom.; Vedela je, da govorim s polkovnikom.
 Ampak jaz sem imel to, kar je potrebovala, pot nazaj v klan.; Ampak tudi ta ženska mora izbrati mene.
 Zato se je obnašala prijazno.; Zato je bila prijazna.
 Jake, levo.; Jake, levo.
 Ti boš v povezavi na koncu.; Zavij levo. V linku na koncu boš.
 Enota ena, Bueler.; Enota 1, Beulah. Najmanj nagaja.
 Ta ima še najmanj napak.; Ta ima še najmanj napak.
 Sveto sranje.; Sveto sranje.
 Ne glej ji v oči.; Ne glej je v oči.
 Ikran ni konj.; Ikran ni konj.
 Ko se vzpostavi Sa'helu bo Ikran letel dobro.; Ko vzpostaviš tsaheylu, ikran leti samo še s tabo.
 Ampak samo z enim lovcem v celem življenju.; Ampak samo z enim lovcem v celem življenju.
 Da postaneš Aron'yu, lovec moraš izbrati svojega lastnega Ikrana in on mora izbrati tebe.; Če hočeš postati taronyu, lovec, moraš izbrati svojega ikrana in on mora izbrati tebe.
 Kdaj? -Ko boš pripravljen.; Kdaj? –Ko boš pripravljen.
 To je video dnevnik dvanajst.; To je soba z linki.
 Ura je 21:32.; Ura je 21.32.
 Res moram to narediti zdaj? Potrebujem malo počitka.; Moram zdaj? Res se moram naspati.
 Ne, zdaj, ko še je sveže.; Zdaj, dokler je sveže.
 Lokacija, koliba.; Lokacija, koliba.
 Te dni začenjajo stvari dobivati smisel.; Te dni začenjajo stvari dobivati smisel.
 Jezik je še vedno težaven, ampak...; To je zelo dolgo. –Ja.
 Ugotovil sem, da je kot razstavljanje orožja. Vse je stvar ponavljanja.; Jezik je naporen, ampak podobno je razstavljanju orožja. Eno samo ponavljanje.
 Brez skrbi, močneje.; Brez skrbi, močneje.
 Neytiri mi pravi scoun.; Neytiri mi pravi scoun.
 To pomeni bedak.; To pomeni bedak.
 Normovo obnašanje se zadnje čase popravlja.; Nato pa se je vse spremenilo.
 To ne pomeni samo, da te vidim pred seboj, ampak, da vidim v tebe...;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."
 Lepo, da zopet sodelujeva, ampak tudi on misli, da sem scoun.; Nisem več pri marincih, ampak nastrojenost ostane.
 Teči moraš, prav?; Teči moraš, prav?
 Gremo.; Gremo.
 Postajam močnejši.; Postajam močnejši.
 Vsak dan lahko tečem dalj.; Stopala so se mi okrepila. Vsak dan tečem dlje.
 Moram zaupati mojemu telesu, da ve, kaj mora narediti.; Moram zaupati mojemu telesu, da ve, kaj mora narediti.
 Pa poskusimo.; Pa poskusimo.
 Presneto.; Presneto.
 Vsak dan je branje sledi, opazovanje divjine, najslabši vonji in zvoki.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.
 Vedno govori o pretoku energije, o živalskih duhovih.; Kar naprej govori o pretoku energije in živalskih duhovih.
 Res upam, da to objemanje dreves ni vse.; Upam, da teh bedarij ne bo na končnem izpitu.
 Tukaj ne gre samo za koordinacijo med očmi in rokami.; Ne gre samo za koordinacijo oči in rok.
 Poslušati moraš, kar ti govori.; Poslušati moraš, kar ti govori.
 Poskusi videti gozd skozi njene oči.; Poskusi videti gozd z njenimi očmi.
 Oprosti, to je moj video dnevnik.; To je moj zadnji video dnevnik.
 Ob Neytiri se lahko samo hitro naučiš ali pa umreš.; Z Neytiri se moraš hitro učiti, drugače umreš.
 Gotovo me zafrkavaš.; Gotovo me zafrkavaš.
 Moat sem pregovoril, da sme Grace nazaj v vas.; Mo'at sem vprašal, ali bi spustila Grace v vas.
 Tako ste zrasli.; Kako ste lepi.
 Prvič, odkar so zaprli njeno šolo.; Prvič, odkar so njeno šolo zaprli.
 Tako ste prikupni.; Kako ste veliki.
 Ne, pa ne boš, pridi nazaj sem.; Tako je. Steci nazaj k mamici.
 Dober tek.; Dober tek.
 Pridi.; Pridi.
 Poskušam razumeti to globoko povezavo, ki jo imajo ljudje z gozdom.; Poskušam dojeti njihovo globoko vez z gozdom.
 Govori o pretoku energije.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.
 Ta teče skozi vsa živa bitja.; Govori o mreži energije, ki se pretaka skozi vsa živa bitja.
 Pravi, da je vsa energija samo sposojena.; Pravi, da je energija samo sposojena in da jo moraš nekoč vrniti.
 In nekega dne jo moramo vrniti.; Torej ga moramo ustaviti.
 Vidim te, brat, in se ti zahvaljujem.; Vidim te, brat, in zahvaljujem se ti.
 Tvoj duh bo šel k Eywi, tvoje telo pa bo ostalo tukaj in postalo del Naroda.; Tvoje telo ostaja tu in bo postalo del ljudi.
 Lep uboj.; Lep uboj.
 Pripravljen si.; Pripravljen si.
 Naučiti se leteti na Ikranu, ki jih tukaj imenujejo Banshee, je test, ki ga mora prestati vsak mlad lovec.; Letenje z ikranom, mi jim rečemo furije, je preizkus, ki ga mora opraviti vsak mlad lovec.
 Da pa bi to naredil moraš iti tja, kjer Bansheeji živijo.; Toda treba je iti tja, kjer so furije.
 Kaj pa zdaj?; Pa zdaj?
 Jake Sully bo šel prvi.; Jakesully bo šel prvi.
 Zdaj boš izbral svojega Ikrana.; Samo eno priložnost boš imel.
 Moraš ga začutiti znotraj sebe.; Bolje ga moramo spoznati.
 Če bo tudi on izbral tebe moraš biti hiter, kot sem ti pokazala.; Brez tebe mi ne bo uspelo.
 Samo eno priložnost boš imel, Jake.; Samo eno priložnost boš imel.
 Kako bom vedel, da je tudi on izbral mene?; Kako bom vedel, da me je izbral?
 Poskusil te bo ubiti.; Ubiti te bo hotel.
 Krasno.; Krasno.
 Pa zaplešiva.; Pa zaplešiva.
 Bedak hoče umreti.; Bedak hoče umreti.
 Ne boj se, bojevnik!; Ne boj se, bojevnik.
 Vzpostavi zvezo!; Vzpostavi zvezo!
 Jake!; Jake!
 Sa'Helu, Jake!; Jake!
 Sa'Helu!; Sa'Helu!
 Stoj!; Stoj!
 Tako je prav, zdaj si moj.; Pogumen si, da si prišel sem.
 Prvi polet zapečati zvezo, zdaj ne smeš čakati.; Prvi polet zapečati vez. Ne smeš čakati.
" Pomisli ""poleti""! -Poleti?";" Pomisli ""poleti""! -Poleti?"
 Prekleto...; Prekleto...
 Sanje!; Sanje!
 Utihni in leti naravnost!; Vzemi ta duh vase in ga dahni nazaj med nas.
 Tako je prav.; To ni prav.
 Zavij levo.; Tako ja. Nagni se na levo.
 Izravnaj se! Tako je prav.; Izravnaj se! Tako je prav.
 Mala, uspelo mi je!; Mala, uspelo mi je!
 Sranje!; Sranje!
 Morda res nisem bil dober s konji, ampak za to sem bil rojen.; Konji mi ne ležijo preveč, za to pa sem rojen.
 Jaz naredim takole, ti pa tako.; Potem me pa nauči videti.
 Obrnem se in občutim veter, močno se obrnem.; Molči in leti naravnost.
 Vidim, tako težko se obračam.; Vidim, tako težko se obračam.
 Drevo duš.; Drevo glasov.
 To je njihov najsvetejši kraj.; Njihov najsvetejši kraj.
 Vidiš energetski vrtinec in te lažne barvne podobe?; Vidiš Vrtinec na teh pobarvanih slikah?
 To moti moje naprave.; To moti moje instrumente.
 Tam spodaj se dogaja nekaj biološko izjemno zanimivega.; Tam se dogaja nekaj biološko zelo zanimivega.
 Umrla bi za kak vzorec.; Vse bi dala za nekaj vzorcev.
 Za prišleke je dostop strogo prepovedan.; V enem tednu jih je lahko 20.000.
 Res imaš srečo.; Res imaš srečo.
 Bil sem ledeno hladen zračni lovec.; Bil sem svoboden.
 Smrt z višine.; Neusmiljen zračni lovec sem bil. Smrt od zgoraj.
 Edini problem je, da nisem edini.; Edina težava je, da nisi edini.
 Dol!; Dol!
 Za menoj!; Za mano!
 Imenujemo ga veliki leonopteryx.; Naši mu rečejo veliki leonopteriks.
 To je Toruk, zadnja senca.; To je toruk. Zadnja senca.
 Seveda, saj je zadnja, kar jih kdaj vidiš.; Samo hvala bi ti rekel, ker si jih pobila.
 Ded mojega deda je bil Toruk Makto.; Moj prapraded je bil toruk macto.
 Jezdec zadnje sence.; Jezdec zadnje sence.
 Na tem je jahal?; To je jezdil?
 Toruk ga je izbral.; Toruk ga je izbral.
 To se je zgodilo samo petkrat vse od časov prvih pesmi.; V času od Prve pesmi se je zgodilo samo petkrat.
 To je dolgo nazaj. -Ja.; To je dolgo nazaj. -Ja.
 Toruk Makto je bil mogočen.; Toruk macto je bil mogočen.
 Združil je klane v času velikega žalovanja.; V času velike žalosti je združil klane.
 Ves Na'vi narod pozna to zgodbo.; Vsi Na'vi poznajo to zgodbo.
 Zdaj vse izgleda obrnjeno.; Nato pa se je vse spremenilo.
 Kot da bi bil tam zunaj resničen svet, to tukaj pa samo sanje.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.
 Ne morem verjeti, da so minili samo še trije meseci.; Težko je verjeti, da so minili samo trije meseci.
 Sploh se ne spomnim več vsega iz svojega življenja.; Starega življenja se skoraj ne spomnim več.
 Ne vem več, kdo sploh sem.; Ne vem več, kdo sem.
 Saj se nisi izgubil v gozdovih, ali ne?; Si se izgubil v gozdu?
 Tvoje zadnje poročilo je bilo pred več kot dvema tednoma.; Že več kot dva tedna nisi poročal.
 Začel sem že dvomiti, da si dal odpoved.; Začel sem dvomiti o tvoji odločnosti.
 Čas je, da končamo nalogo. -Tega ne morem narediti.; Mislim, da je čas, da opravimo nalogo.
 Saj si že.; Saj ti je že.
 Dal si mi dobre in uporabne podatke.; Dal si mi uporabne podatke.
 Ta kraj z drevesom duš.; Ta kraj z drevesom duš.
 S tem jih bom držal v šahu, ko se bo začel boj, in do tega bo gotovo prišlo.; Če to storim, bom eden od njih.
 Zdaj je čas, da se vrneš.; Zdaj pa je čas, da se vrneš.
 Mimogrede, noge boš dobil nazaj.; Mimogrede, noge boš dobil nazaj.
 Ja. Imam potrditev podjetja.; Ja. Imam potrditev podjetja.
 Dogovor je sklenjen, nocoj si lahko že na shuttlu.; Zdaj pa je čas, da se vrneš.
 Vedno držim svojo besedo.; Vedno držim svojo besedo.
 Končati moram s tem.; To moram končati.
 Ostala je samo še ena stvar.; Samo še ena peklenska luknja.
 Ceremonija.; Ceremonija.
 To je zadnja stvar, da postaneš mož.; Zdaj pa je čas, da se vrneš.
 Če jo opravim bom eden izmed njih.; Če to storim, bom eden od njih.
 Zaupali mi bodo.; In zaupali mi bodo.
 Lahko se bom pogajal o pogojih za njihovo premestitev.; Lahko se bom dogovoril o selitvi.
 Potem pa to tudi opravi, desetar.; Potem me pa nauči videti.
 Na'vi pravijo, da se vsak rodi dvakrat.; Na'vi pravijo, da se človek rodi dvakrat.
 Drugič je, ko si zaslužiš svoj prostor med ljudmi, za vedno.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Zdaj si sin Omaticaye.; Zdaj si sin Omaticaye.
 Si del Naroda.; Si del Naroda.
 Pridi.; Pridi.
 Pridi.; Pridi.
 Tukaj je kraj, kjer se poslušajo molitve.; Tu je kraj, kjer so molitve slišane.
 In včasih so tudi uslišane.; In včasih uslišane.
 To drevo imenujemo drevo glasov.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.
 Glasov naših prednikov.; Glasov naših prednikov.
 Lahko jih slišim.; Veliko dreves vidim. Lahko se preselijo.
 Živi so, Jake.; Živi so, Jake.
 V Eywi.; V Eywi.
 Zdaj si Omaticaya.; Zdaj si Omaticaya.
 Svoj lok lahko narediš iz lesa domovinskega drevesa.; Lahko si narediš lok iz lesa Domačega drevesa.
 Lahko si tudi izbereš ženo.; In lahko si izbereš žensko.
 Veliko dobrih žensk imamo.; Veliko dobrih žensk imamo.
 Nenat je najboljša pevka.; Ninat je najboljša pevka.
 Nočem Nenat.; Nočem Ninat.
 Paral je dobra lovka.; Peyral je dobra lovka.
 Ja, res je dobra lovka.; Res je dobra lovka.
 Sem že izbral.; Sem že izbral.
 Ampak ta ženska mora tudi izbrati mene.; Ampak tudi ta ženska mora izbrati mene.
 Saj te je že.; Saj ti je že.
 Zdaj sem s teboj, Jake.; Zdaj sem s tabo, Jake.
 Poročena sva za vse življenje.; Združena sva za vse življenje.
 Kaj za vraga delaš, Jake?; Kaj za vraga delaš, Jake!
 Ne pozabi na fazno integracija, srednji gumb.; Ne pozabi fazne integracije.
 Jake, nekaj moraš pojesti.; Jake, nekaj moraš pojesti.
 Jake!; Jake!
 Zbudi se, prosim!; Zbudi se, prosim!
 Ne prisili me, da bom na silo hranila invalida.; Ne stori ničesar izjemno neumnega.
 Tako, končal sem, gremo.; Tako, končal sem, gremo.
 Kdaj si se zadnjič stuširal?; Kdaj si se nazadnje oprhal?
 Ne potrebujem tuširanja. -Jezus, marinec.; Ne potrebujem tuširanja. -Jezus, marinec.
 Jake!; Jake!
 Zbudi se!; Poberi se!
 Stoj!; Stoj!
 Hej, šef.; Hej, vidva.
 Kaj? -Tukaj imam domorodca, ki oponaša zmešano kuro.; Kaj? -Tukaj imam domorodca, ki oponaša zmešano kuro.
 Na poti mi je.; Na poti mi je.
 Kar naprej, se bo že umaknil.; Ta tujec se ne bo ničesar naučil.
 Naučiti se morajo, da se mi ne ustavljamo.; Naučiti se morajo, da se mi ne ustavljamo.
 Dajmo. Gremo, gremo.; Gremo, gremo!
 Vidiš, umaknil se je.; Tako. Umaknil se je.
 Nič ne vidim!; Nič ne vidim!
 Jake! -Neytiri!; Jake! –Neytiri!
 Pridi!; Pridi!
 Zamrzni, zdaj.; Zamrzni, zdaj.
 Povečaj in izostri.; Uporabi, kar imaš, in pokaži rezultate.
 Pasji sin.; Pasji sin.
 Neverjetno.; Neverjetno.
 Pokličite mi pilota. -Ja, gospod.; Ste videli to? –Da, gospod.
 Tsu'Tey bo vodil naše bojevnike.; Tsu'tey bo vodil bojno odpravo.
 Prosim, nehajte!; Prosim, nehajte!
 Vse skupaj boste samo še poslabšali.; Vse skupaj boste samo še poslabšali.
 Tukaj nimaš pravice govoriti!; Tu nimaš pravice govoriti.
 Udarili jih bomo naravnost v srce!; Udarili jih bomo v srce.
 Tsu'Tey! Ne delaj tega!; Tsu'Tey! Ne delaj tega!
 Ti! -Poslušaj, brat...; Ti! -Poslušaj, brat...
 Spala si z zemljanom! -Sranje.; Spala si z zemljanom! -Sranje.
 Je to res?; Je to res?
 Poročila sva se pred Eywo, končano je.; Zdaj pa je čas, da se vrneš.
 Brat, prosim, ne napadajte ljudi iz nebes.; Brat, prosim, ne napadajte ljudi iz nebes.
 Veliko omaticayev bo umrlo, če to naredite. -Ti nisi moj brat!; Veliko omaticayev bo umrlo, če to naredite. -Ti nisi moj brat!
 Pa tudi tvoj sovražnik nisem!; Nisem tvoj sovražnik.
 Sovražniki so tam zunaj! In zelo močni so!; Sovražnik je tam zunaj in zelo močan je.
 Lahko govorim z njimi. -Konec je s pogovori!; Lahko bi te. –Obrzdaj svojega psa.
 Omaticaya sem, sem eden izmed vas.; Omaticaya sem. Eden od vas sem.
 Pravico imam govoriti.; In pravico imam govoriti.
 In nekaj vam moram povedati, vam vsem.; In zaupali mi bodo.
 Zaradi tega, kar moram povedati mi bo okamenelo srce.; To mi bo pokvarilo dan.
 Gospod, oprostite.; Gospod, oprostite.
 Ne smete pretrgati vzpostavljene povezave.; Ne smete pretrgati vzpostavljene povezave.
 To je zelo nevarno!; Zelo težko jih je ubiti.
 Čakajte! -Umirite se, gospod.; Čakajte! -Umirite se, gospod.
 Sem so me poslali...; Sem so me poslali … Vidite?
 Ste zdaj videli?; Ste zdaj videli?
 To je samo še en tujec v lažnem telesu!; Ta tujec se ne bo ničesar naučil.
 Se vam je čisto zmešalo? -Ti si prestopil mejo.; Zdaj si sin Omaticaye.
 Odpeljite ta kos mesa proč.; Odpeljite ta kos mesa proč.
 Jake! Kaj za vraga se dogaja?; Jake! Kaj se dogaja?
 Sinko, izdal si me.; Razočaral si me.
 Pa kaj!; Pa zdaj?
 Našel si domačinko in pozabil, za katero ekipo igraš?; Kako torej, si našel domačinko in pozabil, za katero ekipo igraš?
 Parker, še je čas, da rešimo položaj...; Še lahko rešimo položaj.
 Zapri gobec!; Zapri gobec!
 Ali pa kaj, vojak Rick?; Ali pa kaj, vojak Rick?
 Me boš ustrelil? -Ja, to bi šlo.; Me boš ustrelil? -Ja, to bi šlo.
 Obrzdaj svojega psička.; Obrzdaj svojega psička.
 Lahko to, prosim, rešimo kot odrasli?; Lahko to, prosim, rešimo kot odrasli?
 Praviš, da bi rad obdržal svoje ljudi žive?; Bi radi ohranili svoje ljudi žive?
 Začni tako, da jo poslušaš.; Začni tako, da jo poslušaš.
 Ta drevesa so bila za Omaticaye sveta, na način, ki si ga ne moreš predstavljati.; Tista drevesa so bila za Omaticaye sveta.
 Če tukaj vržeš v zrak palico bo gotovo pristala na kašnem svetem listu.; Tu je deset na dvanajsto dreves.
 Ne govorim o nekem poganskem vuduju.; Ne bi smel biti tu.
 Govorim o resnični stvari, o nečem, kar je mogoče izmeriti v biologiji gozda.; Kamorkoli tu vržeš palico, pade na kakšno sveto praprot, za božjo voljo! –Ne gre za kakšen poganski vudu. Gre za nekaj resničnega, izmerljivega v gozdu.
