 Poglej to sliko, ki smo jo našli prav danes.; Oglejte si to risbo, ki smo jo našli danes.
 Kos papirja, ki je bil pod vodo 84 let, moja ekipa pa ga je ohranila nedotaknjenega.; Kos papirja, ki je bil pod vodo 84 let, in moja ekipa ga je uspela ohraniti nepoškodovanega.
 Bi to moralo ostati skrito za vedno v globini oceana?; Bi to moralo za vedno ostati na dnu oceana skrito pred našimi očmi?
 Bobby, lansiramo. Vidiš te podmornice, ki gredo pod vodo?; Bobby, spuščamo se. Vidiš podmornice, ki gredo v vodo?
 Verjemi mi. Vesel boš tega klica.; Uspelo nama bo, Rose. Zaupaj mi.
 Bolje, da bo vredno.; Glej, da bo dobro.
 Moraš govoriti glasneje. Starejša gospa je.; Nisi rekla, da odhajaš? -Tako je.
 Kaj lahko naredim za vas, gospa... -Calvert. Rose Calvert.; Tu Brock Lovett. Kako vam lahko pomagam, gospa...
 Zanima me le, če ste mogoče že našli Srce oceana, gospod Lovett.; Zanima me samo, če ste že našli Srce oceana, g. Lovett.
 Sem ti rekel, da boš vesel klica.; Sem ti rekel, da moraš sprejeti klic.
 Prav, pozorno vas poslušam, Rose.; Imate mojo pozornost, Rose.
 O, da. Ženska na sliki sem jaz.; Seveda. Ženska na sliki sem jaz.
 Kakšna norica, ki išče denar ali publiciteto.; Prekleta lažnivka je! Neka zmešanka, ki želi denar ali reklamo.
 Bog ve, zakaj. Kot tista ruska punca, Anastazija.; Sam Bog ve, zakaj! Kot tista Rusinja, Anestezija.
 Vračajo se!; Umakni se!
 Rose Dewitt Bukater je umrla na Titaniku, ko je bila stara 17, mar ne?; Rose Dewitt Bukater je umrla na Titaniku, stara 17 let, kajne?
 Prav, potem je zelo stara prekleta lažnivka.; Je pač zelo stara lažnivka.
 Poglej, žensko sem že preveril nazaj vse do dvajsetih let, ko je bila igralka.; Preveril sem preteklost te ženske vse do 1920-ih let, ko je delala kot igralka.
 Takrat je bila še Rose Dawson. Potem se je poročila z nekim Calvertom.; Takrat ji je bilo ime Rose Dawson. Potem se je poročila z nekim Calvertom.
 Preselila sta se v Cedar Rapids in rodila je par otrok.; Preselila sta se v Cedar Rapids in imela nekaj otrok.
 Zdaj je Calvert mrtev in kot slišim tudi Cedar Rapids.; Calvert je že mrtev in menda podobno velja za Cedar Rapids.
 In vsi, ki karkoli vedo o tem diamantu so mrtvi ali na tej ladji, ampak ona ve.; Vsi, ki vedo za diamant, so ali mrtvi ali pa na tej ladji, ampak ona ve.
 Ne potuje s prav malo prtljage, kaj?; Nima ravno malo prtljage, kaj?
 Gospa Calvert, jaz sem Brock Lovett. Dobrodošli na Keldyshu.; Gospa Calvert, sem Brock Lovett. Dobrodošli na Keldyshu.
 Spravimo jo tja noter.; Spravimo jo noter.
 Dobrodošli na Keldyshu.; Dobrodošli na Keldyshu. -Hvala.
 Hej. Hej!; Hej!
 So vaše kabine v redu? O, da, zelo lepo je.; Sta kabini v redu? -Ja, zelo udobni sta.
 Ste spoznali mojo vnukinjo Lizzie?; Ste že spoznali mojo vnukinjo Lizzy? Ona skrbi zame.
 Ona skrbi zame.; Ste že spoznali mojo vnukinjo Lizzy? Ona skrbi zame.
 Spoznala sva se pred nekaj minutami.; Nekaj hudega se je zgodilo.
 Tako, to je lepo.; Tako je prav.
 Moram imeti svoje slike s sabo, ko potujem.; Takole. To je lepo. Ko potujem, vedno vzamem slike s sabo.
 Rada bi videla svojo sliko.; Rada bi videla mojo risbo.
 Louis XVI je nosil čudovit kamen, imenovan Modri kronski diamant, ki je izginil 1792, približno ob istem času, ko je Louis izgubil vse nad vratom.; Louis XVI je nosil prekrasen dragulj, ki se je imenoval Modri kraljevi diamant.
 Teorija pravi, da je bil kronski diamant prav tako razsekan, in spet obrušen v srčasto obliko, kar je postalo znano kot Srce oceana.; Ga predelali v obliko srca in od takrat slovi kot Srce oceana.
 Bila je grozna, težka stvar. Samo takrat sem ga nosila.; Bila je grozna in težka reč. Samo enkrat sem ga nosila.
 Jaz sem, ljubica? Mar nisem bila lepotica?; Nisem bila čedna?
 Našel sem ga v zavarovalniških zapiskih...; Izsledil sem ga preko zavarovalniških zapisov.
 Neka stara odškodnina, ki se je poravnala v popolni tajnosti.; Stara zahteva, ki je bila poravnana v strogi diskretnosti.
 Mi lahko poveste, kdo je podal zahtevek, Rose?; Mi lahko poveste, kdo je bil upravičenec, Rose?
 Mislim, da nekdo po imenu Hockley.; Najbrž nekdo po imenu Hockley.
 Nathan Hockley, res je. Jeklarski mogotec iz Pittsburgha.; Nathan Hockley. Tako je. Pittsburški jekleni magnat.
 Odškodnina za diamantno ogrlico, ki jo je njegov sin kupil svoji zaročenki - vam, teden dni, preden je odplul na Titaniku.; Šlo je za diamantno ogrlico, ki jo je njegov sin Caledon kupil zaročenki, vam.
 Podana je bila takoj po potopitvi, torej je diamant moral potoniti z ladjo.; Torej je moral diamant potoniti z ladjo.
 Kaj pomeni, da vaša stara mati govori resnico.; Kaj je ta neumna reč, ki jo nosiš naokrog?
 Tisti dan, ko je Titanik potonil, je nosila ogrlico.; Takrat ji je bilo ime Rose Dawson. Potem se je poročila z nekim Calvertom.
 In tako ste postali moja nova najboljša prijateljica.; In zato ste vi moja nova najboljša prijateljica.
 Tu je nekaj stvari, ki smo jih našli v kabini.; Ne, jih je pa nekaj čisto spredaj.
 In zgleda enako, kot ko sem ga nazadnje videla.; Izgleda povsem enako kot takrat, ko sem ga nazadnje videla.
 Odsev se je malo spremenil.; Odsev se je malce spremenil.
 Ste pripravljeni za povratek na Titanik?; Ste pripravljeni na vrnitev na Titanik?
 Prav, gremo. Ledena gora jo zadene na desnem boku, kajne?; Če ti skočiš, skočim tudi jaz, kajne?
 Malo se odbija in jo še bolj preluknja kot Morsejeva abeceda: dit-dit-dit, ob strani pod vodno črto.; Ladja gre naprej in dobiva luknje v boku, podobne Morsejevi abecedi, pod vodno gladino.
 Potem začne zalivati sprednje razdelke.; Nato začne poplavljati sprednje predelke.
 Ko so voda dviguje, se razliva prek neprepustnih pregrad, ki pa gredo na žalost le do palube E.; Nivo vode se dviga in voda se preliva preko neprepustnih pregrad, ki žal segajo samo do palube E.
 Ko gre premec dol, se krma dvigne, najprej počasi, potem pa vse hitreje, dokler končno cela rit ne štrli iz vode in to velika rit.; Premec tone, krma se dvigne, sprva počasi, nato pa vse hitreje, dokler cel zadnji del ni povsem pokonci.
 In trup ni zgrajen za take pritiske, in kaj se zgodi?; In kaj se zgodi? Razpolovi se vse do gredlja in krma pade nazaj na gladino.
 Prelomi se, vse do gredlja in krma pade nazaj.; In kaj se zgodi? Razpolovi se vse do gredlja in krma pade nazaj na gladino.
 Ko se potem premec potopi, potegne krmo navpično in se končno loči, Zdaj se krma samo malo ziblje kot kakšen zamašek za nekaj minut, potem jo zalije in končno se potopi okrog 2:20, dve uri in 40 minut po trku.; Krma se nato nekaj minut ziblje kot zamašek, se začne potapljati in ob 2.20 zjutraj izgine pod vodo, dve uri in 40 minut po trku.
 Premec polzi stran in pristane kak kilometer stran in zadane dno s kakimi 20, 30 vozli.; Premec se potopi pod kotom in pristane kakšen kilometer proč in ima pri trku z oceanskim dnom hitrost okoli 20 do 30 vozlov.
 Precej dobro, kaj?; Lepa ladja, kaj?
 Hvala za to lepo sodno analizo, gospod Bodine.; Hvala za sijajno forenzično analizo, g. Bodine.
 Seveda je bila resnična izkušnja nekoliko drugačna.; Seveda je bila sama izkušnja nekako drugačna.
 Počivat jo peljem. -Ne.; Nazaj gor grem. -Ne.
 84 let je že tega.; Že 84 let je od tega.
 V redu. Poskusite se spomniti česa. Česarkoli.; Že v redu. Karkoli se spomnite.
 Bi radi slišali to ali ne, gospod Lovett?; Bi radi slišali ali ne, g. Lovett?
 84 let je že tega, jaz pa še vedno lahko voham svežo barvo.; Že 84 let je od tega, pa se še vedno spomnim vonja po sveži barvi.
 Porcelan je še neuporabljen.; Porcelana še nikoli niso uporabili.
 V rjuhah še nihče ni spal.; Na rjuhah še nihče ni spal.
 Titaniku so rekli ladja sanj.; Titanik so imenovali ladja sanj.
 In bila je, res je bila.; In bil je.
 Vsi potniki v tretjem razredu z ležišči spredaj sem, prosim, v to vrsto.; Vsi potniki tretjega razreda z ležišči v sprednjem delu, za mano, prosim! V to vrsto! Semle...
 Tukaj. -Velika ladja, kaj?; Velika barka, kaj? -Očka, to je ladja.
 Ne vidim, zakaj toliko hrupa.; Ne vem, zakaj zganjajo tak hrup.
 Ne zgleda nič večja kot Mavretanija.; Nič večja ni videti od Mavretanije.
 Lahko si ravnodušna do mnogih stvari, Rose, vendar ne do Titanika.; Rose, do določenih reči bodi ravnodušna, a ne do Titanika.
 Več kot 30 metrov je daljši kot Mavretanija in veliko bolj razkošen.; Več kot 30 metrov je daljši od Mavretanije in daleč bolj luksuzen.
 Vašo hčer je pretežko navdušiti, Ruth.; Na vašo hči je zelo težko narediti vtis, Ruth.
 Torej za to ladjo pravijo, da je nepotopljiva.; To je torej ladja, za katero pravijo, da je nepotopljiva.
 Saj je nepotopljiva. Bog sam ne bi mogel potopiti te ladje.; Saj tudi je. Sam Bog je ne bi mogel potopiti.
 Gospod, prtljago morate oddati pri glavnem terminalu.; Gospod, prtljaga mora skozi glavni terminal.
 Tu zadaj je, gospod. -Zaupam vam, dobri gospod.; Tega uporabljamo le blizu obale. -Oprostite, gospod.
 Če lahko karkoli storim. -Ah, da, seveda.; Mi lahko pokažeš? -Seveda, če želiš.
 Vse kovčke iz tistega avtomobila, dvanajst od teh in sef v salonsko kabino, sobe B-52, 54, 56.; In pa sef, vse v apartma s salonom, sobe B-52, 54 in 56.
 Moj plašč? -Jaz ga imam.; Moj plašč? -Imam ga, gospodična.
 Vsi potniki tretjega razreda naj se zglasijo tu na zdravniškem pregledu.; Vsi potniki tretjega razreda morajo v vrsto za zdravstveni pregled.
 Vsi potniki tretjega razreda naj se zglasijo tu na zdravniškem pregledu.; Vsi potniki tretjega razreda morajo v vrsto za zdravstveni pregled.
 Dobrodošli na krovu, gospa. Dobrodošli na Titanik.; SAMO ZA POTNIKE Dobrodošli na krovu, gospa. -Dobrodošli na Titanik.
 Za vse je bila to ladja sanj.; Za vse ostale je bila ladja sanj.
 Zame je bila suženjska ladja, ki me je peljala nazaj v Ameriko v verigah.; Zame je bila ladja sužnjev, ki me je v okovih peljala nazaj v Ameriko.
 Na zunaj sem bila vse, kar bi dobro vzgojeno dekle moralo biti.; Na zunaj sem bila vzor dobro vzgojenega dekleta.
 Znotraj sem kričala.; V sebi pa sem kričala.
 Jack, ti si zmešan. Stavil si vse, kar imava.; Jack, zmešan si. Stavil si vse, kar imava.
 Če nimaš ničesar, nimaš ničesar izgubiti.; Ko nimaš ničesar, nimaš kaj izgubiti.
 Idiot. Ne morem verjeti, da si stavil najini karti.; Kreten. Ne morem verjeti, da si stavil najini vozovnici.
 TRETJI RAZRED WHITE STAR LINE Napočil je trenutek resnice.; Odsev se je malce spremenil.
 Nič -Nič.; Nič. -Nič.
 Olaf? -Nič.; Nič. -Nič.
 Ojoj. Dva para.; Dva para.
 Kaj žal? Ma, pojdi nekam. Stavil si ves denar.; Jack, zmešan si. Stavil si vse, kar imava.
 Žal mi je, ker dolgo časa ne boš videl mame, ker greva v Ameriko.; Žal mi je, ker dolgo časa ne boš videl matere.
 To! Hvala ti, bog!; Ljubi bog!
 Domov grem. -V Ameriko grem.; Domov grem. -V Ameriko grem!
 Ne, fant. Titanik gre v Ameriko čez pet minut.; Titanik gre v Ameriko, čez pet minut.
 Zdaj živiva na visoki nogi. Zdaj sva dva fina gospoda.; Zdaj bova potovala v stilu. Fina gospoda sva.
 Skoraj plemiča sva, fant moj.; Skoraj plemstvo sva, moj fant.
 Vidiš, to je moja usoda.; Vidiš? To je moja usoda.
 Povedal sem ti že, v Ameriko grem, da postanem milijonar.; Kot sem ti rekel, v Ameriko grem, da postanem milijonar.
 Ti si kreten. -Mogoče, ampak jaz imam karte.; Zmešan si. -Mogoče, a imam vozovnici.
 Pohiti, mislil sem, da si hiter. Počakaj!; Sem mislil, da si hiter. -Počakaj!
 Sta že šla skozi pregled?; Sta opravila zdravstveni pregled?
 Seveda. Poleg tega nimava uši.; Sploh pa nimava uši. Oba sva Američana.
 Najsrečnejši budali na svetu sva, veš?; Najsrečnejši barabi na svetu sva, veš?
 Poznaš koga? -Seveda ne. Ampak to ni bistvo.; TITANIK Poznaš koga? -Seveda ne. A to ni važno.
 Zbogom! Pogrešal te bom!; Daj mi roko, potegnil te bom čez!
 Zbogom! Nikoli te ne bom pozabil.; Nikoli ne bom pozabila.
 Do konca, ljubica.; Pridi z mano, ljubica.
 Evo, tukaj. Hej, kako ste?; Jack Dawson. Me veseli. Kako ste?
 Jack. Me veseli.; Primi tole, Jack. Dvigni.
 Jack Dawson sem. Me veseli.; Kako ste? Jack. Me veseli.
 Kako ste? Kdo pravi, da je tvoj zgornji pograd?; Kdo pravi, da boš ti spal zgoraj?
 To je vaša zasebna paluba, gospod.; To je vaš zasebni promenadni krov, gospod.
 Ta je.; Tako je.
 Naj vzamem vse ven, gospodična.; Naj vse vzamem ven, gospodična?
 Da, ta soba potrebuje malo barve.; Ja, soba potrebuje malo živahnosti.
 Bog, ne spet te slike s prsti. Vsekakor so stran vržen denar.; Picasso in še nekaj. Nikoli ne bo slaven, verjemi mi.
 Razlika med Calovim umetniškim okusom in mojim je ta, da ga jaz imam.; Razlika med Calovim in mojim okusom za umetnost je v tem, da ga jaz imam.
 Očarljive so, kot sanje ali kaj podobnega.; Fascinantne so, dobiš občutek, kot bi bil znotraj sanj.
 Iz njega ne bo nič. Nič, verjemite mi.; Picasso in še nekaj. Nikoli ne bo slaven, verjemi mi.
 Postavi Degasa v spalnico. -Te so bile vsaj poceni.; Degasa daj v spalnico. -Vsaj poceni so bile.
 Ah, v omaro s tem.; Ne, samo v njene roke.
 Pri Cherbourgu se je vkrcala ženska po imenu Margaret Brown?; Rose Dewitt Bukater je umrla na Titaniku, stara 17 let, kajne?
 Zgodovina jo bo poimenovala nepotopljiva Molly Brown.; V zgodovino se je vpisala kot Nepotopljiva Molly Brown.
 Evo, misliš, da ti bo uspelo?; Se ti vsaj malo sanja, kaj počneš?
 Njen mož je našel zlato nekje na zahodu in bila je, čemur je mati rekla novopečena bogatašinja.; Njen mož je nekje na zahodu odkril zlato.
 Naslednji popoldan smo bili že zahodno od irske obale, pred nami pa samo ocean.; Naslednje popoldne smo od irske obale že drveli proti zahodu, pred nami pa je bil le ocean.
 Odpeljite jo na morje, gospod Murdoch.; Odpeljite jo na morje, g. Murdoch. Naj pokaže, kaj zmore.
 S polno paro, gospod Moody. -Zelo dobro, gospod.; S polno paro naprej, g. Moody. -Prav, gospod.
 Dajmo, fantje. Podvizajte se.; Poravnajte, fantje.
 Koliko kaže?; Kaj kaže?
 S polno paro gremo!; Dobro, naložimo na ogenj! S polno paro naprej gremo!
 Še eden je. Ga vidiš?; Tamle je še eden. Ga vidiš?
 Poglej tistega. Glej, kako skače!; Poglej tistega, kako skače!
 Že vidim kip svobode!; Že vidim Kip svobode.
 Jaz sem kralj sveta!; Sem kralj sveta!
 Največja premikajoča se stvar, kar jo je človek kdaj naredil v vsej zgodovini.; Vedno ko gledam, kako se pojavi iz teme kot ladja duhov, sem ganjen.
 In naš glavni graditelj, gospod Andrews tule, jo je zasnoval celo od gredlja navzgor.; In naš ladjedelec g. Andrews je naredil načrt zanjo.
 No, mogoče sem jo spravil skupaj, ampak zamisel pripada gospodu Ismayu.; Mogoče sem jo zbil skupaj, a idejo je dal g. Ismay.
 Zamislil si je parnik, tako velik in tako razkošen, da ga nikoli ne bi nič preseglo.; Zamislil si je velikanski parnik z luksuzno opremo, ki mu nikoli ne bi bilo para.
 In tukaj so uresničene sanje.; In z našo voljo je postal resničnost.
 Oba bova jagnjetino, krvavo, z malo metine omake.; Nato bova jahala konje po plaži, neposredno v valove.
 Hmm, saj imaš rada jagnje, kajne, srček?; Rada imaš jagnjetino, kajne, srček?
 Ji boš tudi razrezal meso, Cal?; Ji boš tudi meso razrezal, Cal?
 Hej, uh, kdo se je spomnil imena Titanik.; Kdo se je domislil imena Titanik?
 Si bil ti, Bruce? -No, pravzaprav da.; Ste bili vi, Bruce? -Pravzaprav da.
 Želel sem izraziti samo velikost in velikost pomeni čvrstost, razkošje in predvsem moč.; In velikost pomeni stabilnost, razkošje in predvsem moč.
 Ste seznanjeni z dr. Freudom, gospod Ismay?; Ste slišali za dr. Freuda, g. Ismay?
 Njegove misli o moški obsedenosti z velikostjo bi vas še posebej zanimale.; Njegove ideje o obsedenosti moških z velikostjo bi vas znale še posebej zanimati.
 Kaj je s tabo? -Oprosti.; Kaj je? -Daj bolj na glas.
 Upam, da ji boš kos. -No, mogoče bom moral začeti paziti, kaj bere od zdaj naprej, kajne, gospa Brown?; Morda bom moral od zdaj naprej paziti, kaj bere, kajne, gospa Brown?
 Freud... Kdo je to? Je potnik?; Kdo je Freud? Je eden od potnikov?
 Lepa ladja, ha?; Lepa ladja, kaj?
 Ja, irska je. -Ni angleška?; Ni angleška?
 Ne, zgrajena je bila na Irskem. 15.000 Ircev je gradilo to ladjo.; Ne, zgradili so jo na Irskem. 15.000 Ircev jo je zgradilo.
 Tipično. Psi iz prvega razreda se pridejo sem dol usrat.; Psi s prvega razreda prihajajo sem dol opravljat potrebo.
 Uh, to nam pove, kje se nahajamo na velikem planu.; To je absurdno. Saj smo vendar na ladji.
 Tommy Ryan sem. -Jack Dawson.; Sem Tommy Ryan.
 Pozabi, fant. Prej ti bodo angeli zleteli iz hlač, kot boš prišel blizu takšnim, kot je ona.; Živahna je, Cal. Upam, da ji boš kos.
 Umakni se. -Upam, da si ponosen na to.; Kaj je? -Daj bolj na glas.
 Videla sem svoje življenje, kot da sem ga že živela, neskončna parada zabav in plesov, jaht in tekem pola, vedno isti omejeni ljudje, enaki monotoni pogovori.; Počutila sem se, kot da stojim na robu globokega prepada in da nimam nikogar, ki bi me potegnil nazaj.
 Počutila sem se, kot da stojim nad prepadom in ni nikogar, da bi me potegnil nazaj, nikogar, ki bi mu bilo mar ali bi vsaj opazil Ne naredi tega.; Počutila sem se, kot da stojim na robu globokega prepada in da nimam nikogar, ki bi me potegnil nazaj.
 Ostani tam.; Ostanite tam.
 Ne približuj se.; Ne delaj tega.
 Daj no. Samo roko mi daj. Potegnil te bom nazaj.; Držim te. Ne bom te izpustil.
 Kako to misliš, ne bom se.; Ne bom se pretvarjal, da vem, zakaj.
 Ne drzni si mi govoriti, kaj bom in česa ne bom storila. Ne poznaš me.; Vem, da ti ne morem nič ponuditi.
 No, do zdaj bi to že storila.; Če bi le prej prišli do mene.
 Če se spustiš, bom prisiljen skočiti za tabo.; Če skočite, bom moral skočiti za vami.
 Ne bodi smešen. Ubil se boš.; Ne verjemi jim. Veš, da ni res.
 Dober plavalec sem. -Že padec sam bi te ubil.; Umrli bi. -Dober plavalec sem.
 Po pravici povedano, me veliko bolj skrbi tista mrzla voda.; Po pravici povedano, me veliko bolj skrbi mrzla voda.
 Mogoče kakšno stopinjo nad lediščem.; Ledena. Mogoče nekaj stopinj nad ničlo.
 Si že kdaj, uh...; Si bil pa na veliko koncih za...
 Si že kdaj bila v Wisconsinu?; Ste bili že kdaj v Wisconsinu?
 Tam sem odraščal, blizu Chippewa Fallsa.; Tam sem odrasel, blizu Chippewa Fallsa.
 Spomnim se, da sem bil še otrok, ko sva z očetom na ribolov na ledu na jezeru Wissota.; Ko sem bil majhen, sva z očetom hodila na ribolov pod ledom na jezero Wissota.
 Vem, kaj je ribolov na ledu!; Ribolov pod ledom je... -Vem, kaj je to.
 Kakorkoli že, uh sem padel skozi tanek led in povem ti, tako mrzla voda, kot je tale spodaj te udari kot tisoč nožev, ki te bodejo po celem telesu.; In povem vam, pri padcu v mrzlo vodo, kakršna je tam spodaj, misliš, da te po celem telesu zabada tisoč nožev.
 Ne moreš dihati, ne moreš misliti...; Tega ne vidiš vsak dan.
 Vendar kot sem rekel, nimam izbire.; Kot sem rekel, nimam druge izbire.
 Nekako upam, da boš splezala nazaj čez ograjo in me odrešila.; Upam, da boste zlezli nazaj čez ograjo in me rešili tega.
 Ti si nor.; Ti si, Lewis.
 Vsi tako pravijo, ampak z vsem spoštovanjem, gospodična, ne visim jaz s konca ladje.; To vsi pravijo, a z vsem spoštovanjem, gospodična, nisem jaz tisti, ki visi z zadnjega dela ladje.
 To mi boš morala napisati.; Vidiš? To je moja usoda.
 Imam te! Daj.; Daj.
 Na pomoč! Prosim!; Ne odhajajte! Prosim, pošljite po pomoč!
 Prosim, pomagaj mi! Poslušaj. Poslušaj me.; Pomagajte mi! -Poslušajte me. Držim vas.
 Držim te. Ne bom te spustil. Zdaj se potegni gor. Daj.; Ujel te bom. Skoči!
 Daj. Tako, ja.; Dajte. Tako, ja.
 Uspelo ti bo.; Vendar ti ne boš imel nič od njega.
 Imam te.; Držim te.
 Kaj je zdaj to?; Kaj je rekel?
 Ti, stopi nazaj! In ne premikaj se!; Vstani in se ne premakni!
 To je popolnoma nesprejemljivo! Kako si lahko pomislil, da lahko položiš roke na mojo zaročenko?; Kako si lahko pomislil, da lahko položiš roko na mojo zaročenko?
 Nesreča je bila. -Nesreča?; To je bilo bolje. Vaditi moraš. -Res?
 Nagnila sem se prek ograje in mi je zdrsnilo.; Nagnila sem se čez ograjo in spodrsnilo mi je.
 Nagnila sem se, da bi videla, uh...; Nagnila sem se daleč čez, da bi videla...
 Propelerje? -Propelerje in mi je zdrsnilo.; Propelerje? -Ja, in spodrsnilo mi je.
 In padla bi v vodo, vendar me je gospod Dawson rešil in bi skoraj še on padel.; In padla bi v vodo, če me ne bi g. Dawson rešil.
 Hotela si videti... Hotela je videti propelerje.; Hotela je videti propelerje.
 Kot pravim, ženske in stroji niso za skupaj.; Kot sem rekel, ženske in stroji ne gredo skupaj.
 Ja. Ja, v bistvu.; Ja, bolj ali manj.
 No, potem je fant junak. Dobro zate, sinko. Zelo dobro.; Fant je torej junak. Bravo, sinko. Dobro si opravil.
 Potem je vse v redu in se lahko vrnemo k žganju.; Torej je vse v redu in se lahko vrnemo k brandyju?
 Poglej se. Gotovo zmrzuješ. Spravimo te noter.; Samo poglej se. Gotovo zmrzuješ. Pojdiva noter.
 Mogoče nekaj malega za fanta.; Mogoče nekaj malega za fanta?
 Seveda, gospod Lovejoy, mislim, da bi 20 moralo zadoščati.; Mislim, da so zelo dobre, gospod.
 Je tolikšna danes cena za rešitev ženske, ki jo ljubiš?; Je to trenutna cena za rešitev ljubljene ženske?
 Rose ni zadovoljna. Kaj storiti?; Kaj naj storim?
 Mogoče bi se nam lahko pridružili jutri zvečer pri večerji, da razveseliš našo skupino s... tvojo junaško zgodbo.; Mogoče bi se nam jutri zvečer pridružili pri večerji.
 Seveda, računajte name.; Seveda. Računajte name.
 To bo zanimivo. Mmm.; Ne bo mi hudega. Res.
 Bolje, da si jih zavežeš.; Dajte jih tjale, v garderobo.
 Mladi gospe tako nenadoma spodrsne, ti pa si še vedno imel čas, da snameš jopič in sezuješ čevlje.; Zanimivo. Mladi dami je nenadoma spodrsnilo, pa si še vedno imel čas sleči jakno in sezuti čevlje.
 Vem, da si otožna.; Vem, da si potrta.
 Ne pretvarjam se, da vem, zakaj.; Ne bom se pretvarjal, da vem, zakaj.
 to sem hotel prihraniti do zaročne večerje naslednji teden.; To sem nameraval prihraniti do zaročnega slavja naslednji teden.
 Ampak sem mislil, da bo to noč.; Sinoči sem upal, da boš prišla k meni.
 Za božjo voljo.; Za božjo voljo!
 Morda kot spomin mojih čustev do tebe.; Da te spomnim, kaj čutim do tebe.
 Je to... -Diamant? Da.; Je... -Diamant? Da.
 56 karatov, če smo natančni.; 56-karaten, če sem natančen.
" Nosil ga je Louis XVI in rekli so mu ""Le Coeur De La Mer."" Srce oceana."; Ga predelali v obliko srca in od takrat slovi kot Srce oceana.
 Ogromen je.; Veličasten je.
 Midva sva plemstvo, Rose.; Midva sva plemiča, Rose.
 Veš, da ni tega, česar ti ne bi dal Ničesar ti ne bi odrekel, če se ti ne odrečeš meni.; Ničesar ti ne bi odrekel, če me le ne boš zavrnila.
 Zdaj mi odpri svoje srce, Rose.; Odpri mi srce, Rose.
 No, sam sem že od 15. leta, ko so mi umrli starši.; Že od 15. leta sem sam.
 Nisem imel ne bratov ne sester ali kakega drugega sorodstva v tistem koncu.; Tam nisem imel bratov ali sestra, pa tudi bližnjih sorodnikov ne.
 Zato sem jo popihal od tam in od takrat se nisem vrnil.; Zato sem odšel in od takrat se nisem vrnil tja.
 Kot list ki ga nosi v vetru.; Kot da bi lahko pozabili.
 No, Rose, prehodila sva kak kilometer po palubi in obdelala že kako lepo vreme imamo in kako sem odraščal, ampak mislim, da se nisi prišla pogovarjat o tem, kajne?; Rose, prehodila sva kak kilometer in pol po tej palubi, pokramljala o vremenu in mojem otroštvu, toda zdi se mi, da nisi prišla s tem namenom, kaj?
 Gospod Dawson... -Jack.; G. Dawson, jaz... -Jack.
 Jack, rada bi se ti zahvalila, za kar si storil.; Jack, rada bi se ti zahvalila za vse, kar si storil.
 Ne le, da... da si me rešil, ampak tudi za obzirnost.; Spoštovala me boš, kot bi žena morala svojega moža.
 Ne. Ne, ne mislim tega.; Nisem si mislil tega.
 Razmišljal sem, kaj se je lahko zgodilo tej punci, da je mislila, da ni nobenega izhoda.; Mislil sem si: Kaj se je moralo zgoditi temu dekletu, da je mislilo, da nima druge izbire?
 Vse je bilo.; Vse je bilo krivo.
 Ves moj svet in vsi ljudje v njem in vztrajnost mojega življenja, ki je skočilo naprej, jaz pa nimam moči, da ga ustavim.; In ves čas se počutim, kot da stojim sredi nabito polne sobe in kričim na ves glas, pa nihče niti ne dvigne pogleda.
 Bog! Poglej to stvar.; Poglej to.
 500 povabil smo razposlali.; Razposlali smo 500 vabil.
 Vsa smetana Philadelphie bo tam in ves čas se počutim, kot da stojim v nabito polni sobi, kričim na ves glas in nihče niti ne pogleda.; In ves čas se počutim, kot da stojim sredi nabito polne sobe in kričim na ves glas, pa nihče niti ne dvigne pogleda.
 Oprosti? -Ga ljubiš?; Ga ljubiš?
 Zelo si nesramen. Ne bi me smel tega spraševati.; Zelo nevljuden si. Tega me ne bi smel spraševati.
 No, enostavno vprašanje je. Imaš rada tega fanta ali ne?; Preprosto vprašanje je. Ga ljubiš ali ne?
 To ni primeren pogovor.; To ni primerna tema.
 Zakaj ne moreš le odgovoriti na vprašanje?; Zakaj si tako sebična?
 To je smešno. Ne poznaš me in jaz ne tebe in ta pogovor se ne dogaja.; Ti ne poznaš mene, jaz pa ne tebe, in sploh se ne bova pogovarjala o tem.
 Ti si nesramen in neotesan in predrzen in zdaj grem.; Nevljuden, neotesan in predrzen si, in jaz odhajam.
 Jack. Gospod Dawson, veselilo me je.; Jack, g. Dawson, veselilo me je.
 Poiskala sem te, da se ti zahvalim in to sem storila...; Poiskala sem te, da bi se ti zahvalila, in sem se...
 In me užalila. No, zaslužil si si.; Vidim, da si svojega slugo poslal za mano. Tipično.
 Tako si nadležen.; Tako nadležen si.
 Meni ni treba iti. To je moj del ladje. Ti pojdi.; To je moj del ladje. Ti odidi.
 Kdo je sedaj nesramen?; Glej, glej! Kdo je zdaj nevljuden?
 Kaj je ta neumna stvar, ki jo nosiš s sabo?; Kaj je ta neumna reč, ki jo nosiš naokrog?
 Torej kaj si, umetnik ali kaj?; Si umetnik ali kaj takega?
 No, saj so kar dobre.; Pravzaprav so zelo dobre.
 Pravzaprav... Pravzaprav so zelo dobre.; Pravzaprav so zelo dobre.
 V Parizu se jim ni zdelo tako.; V Parizu se jim niso zdele nič posebnega.
 No, uh, uh, osebo z omejenimi sredstvi.; Za nekoga z omejenimi sredstvi.
 Kar reci, reveža, saj lahko poveš.; Daj, Rose, saj zmoreš.
