 Na moj znak. Dva, ena, zdaj.; Na moj znak. Dve, ena, zdaj.
 To je Sully!; Eywa te je slišala!
 Pridi k očku.; Pridita k očku.
 Na nek način sem kar upal, da boš to rekel.; Upal sem, da boš to rekel.
 Sully, kakšen je občutek ko izdaš lastno raso?; Hej, Sully, kako je, če izdaš lastno raso?
 Misliš, da si eden izmed njih?; Misliš, da si eden od njih?
 Čas je, da se zbudiš.; Zdaj pa je čas, da se vrneš.
 Tujci so odšli nazaj na svoj umirajoči svet.; Tujci so se vrnili na svoj umirajoči planet.
 Čas velikega žalovanja se je končal.; Čas velike žalosti je bil pri koncu.
 Toruk Makto ni več bil potreben.; Toruk Macta niso več potrebovali.
 Mislim, da je to moj zadnji posnetek.; Obožujem to palico. Obožujem to palico.
 Karkoli se bo nocoj zgodilo...; Ampak to se ne bo zgodilo.
 Tako ali drugače, ne bom se več vrnil na ta kraj.; Karkoli se bo že zgodilo nocoj, kakorkoli se bo izteklo, nazaj sem me ne bo več.
 Ne bi rad zamudil na lastno zabavo.; Nočem zamuditi na svojo zabavo.
 Navsezadnje je to moj rojstni dan.; Navsezadnje je moj rojstni dan.
 Jake Sully končuje.; Jake Sully končuje poročilo.
sentence1;sentence2
 Haluciniral je ... je pa omenil vaše ime.; Haluciniral je... Je pa omenil vaše ime.
 Pri sebi je imel tole ...; Pri sebi je imel tole...
 Vem, kaj je ta stvar.; Vem, kaj je to.
 Pripadala je človeku, ki sem ga spoznal v bežno pomnjenem snu.; Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.
 Gospod Cobb skuša povedati ... -Ideja.; Gospod Cobb skuša povedati... -Ideja.
 Popolnoma izoblikovana, docela razumljena ideja, ostane.; Popolnoma izoblikovana, popolnoma razumljiva ideja, ostane.
 Nekje tu notri. -Da jo nekdo tebi podoben ukrade?; Nekje tu notri. -Da jo nekdo kot ti ne ukrade?
 Ja. V stanju sanjanja je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo. Temu se reče »izvlek«.;" Ja. V stanju sanjanja, je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo. Temu se reče ""izvlek""."
 G. Saito, lahko izurimo vašo podzavest, da se obrani celo najbolj veščega izvlačitelja. -Kako to napravim?; G. Saito, lahko izurimo vašo podzavest, da se ubrani celo najbolj veščega izvlačitelja. -Kako to naredim?
 Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.; Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.
" Takole je; če želite mojo pomoč, se mi morate povsem odpreti."; Tako je, če želite mojo pomoč, se mi morate povsem odpreti.
" Prijeten večer, gospodje; bom razmislil o vašem predlogu."; Prijeten večer gospodje, bom razmislil o vašem predlogu.
 Pa saj ni važno. Lahko izvlečem. Zaupaj mi.; Ni važno. Lahko izvlečem. Zaupaj mi.
 Informacije so v sefu. V trenutku, ko sem omenil »skrivnosti«, se je ozrl vanj.; V trenutku, ko sem omenil skrivnosti, se je ozrl vanj.
 Če skočim ...; Če skočim...
 Menila sem, da me morda pogrešaš.; Mislila sem, da me morda pogrešaš.
" Saj veš kako mi je; a ne morem ti več zaupati."; Saj veš kako mi je, a ne morem ti več zaupati.
 Povej mi ... me otroka pogrešata?; Povej mi... Me otroka pogrešata?
 Kaj izvajaš? -Na svež zrak grem. Ne mrdaj, Mal.; Kaj počneš? -Na svež zrak grem. Ostani kjer si, Mal.
 Da si me prišel okrast, ali, da pravzaprav spimo?; Da si me prišel oropati, ali, da pravzaprav spimo?
 Grožnje v sanjanju so nesmiselne, kajne, Mal?; Grožnje v sanjanju so nesmiselne, kajne Mal?
 A bolečina ...; A bolečina...
 Kaj počneš?! Prezgodaj je še. -Vem. Ampak, sanje so se sfižile.; Kaj počneš?! Prezgodaj je še. -Vem. Ampak, sanje so se zmešale.
 Saita skušam še malce zadržati v snu. Skoraj smo že opravili.; Saita skušam še malce zadržati v spanju. Skoraj smo že opravili.
 Ta prostor ... Slike ...; Ta prostor... Slike...
 Onesvestil se je.; Ni se mogla osvoboditi.
 posebno, če je vpletena poročena ženska. -Ona ne bi nikdar ...; Posebno, če je vpletena poročena ženska. -Ona ne bi nikdar...
 Evo, pa smo tu.; No, pa smo tu.
 Vprašanje je, čemu ste nam sploh dopustili?; Vprašanje je, zakaj ste nam sploh dopustili?
 Nima veze. Niste opravili.; Ni pomembno. Niste opravili.
 Zato me pustite na miru.; Zato me pustite pri miru.
 Zgleda, da ne razumete, gospod Saito. Korporacija, ki nas je najela ...; Izgleda, da ne razumete, gospod Saito. Korporacija, ki nas je najela...
 Zgleda, da bom moral opraviti nekoliko preprosteje.; Izgleda, da bom moral opraviti nekoliko preprosteje.
" Zamazana je in tako opazno oguljena; na način, kot pač pritiče volni."; Zamazana je in tako opazno oguljena.
 Zdaj pa ...; Zdaj pa...
 To že, a poglejte, gospod Saito ...; To že, a poglejte, gospod Saito...
 Nisem vedel, da bo drgnil svoj frdamani fris obnjo. -Dovolj bo.; Nisem vedel, da bo drgnil svojo prekleto glavo ob njo. -Dovolj bo.
 Ej ti,kaj je bil to za en vrag? -Vse sem imel pod nadzorom.; Ej ti, kaj je bil to za en vrag? -Vse sem imel pod nadzorom.
 Ne bi rad videl kako zgleda brez nadzora. -Jaz... nimamo časa za tole. Izstopim v Kyotu.; Nočem videti kako izgleda brez nadzora. -Jaz... Nimamo časa. Izstopim v Kyotu.
 Zakaj? Saj ne bo pregledal vseh kupejev. -Vem. Ne maram vlakov. Poslušajte ...; Zakaj? Saj ne bo pregledal vseh kupejev. -Vem. Ne maram vlakov. Poslušajte...
 Vsak naj se sam znajde.; Izplača se poizkusiti.
 Ja, halo? -Živjo, ati.; Ja, halo? -Živjo, očka.
 Hoj, mulčka. Kako sta? Kaj počneta, a?; Kaj počneš tu?
 Lej, povedal sem ti. Ni me, ker delam, ja?; Poglej, povedal sem ti. Ni me, ker delam, v redu?
 Ati? -Ja, James?; Očka? -Ja, James?
 Zadosti, otroka. Poslovita se.; Dovolj, otroka. Poslovita se.
 Pridna bodita, pa ...; Pridna bodita, pa...
 A si dobro? -Ja, v redu. Zakaj?; Si v redu? -Ja, v redu. Zakaj?
 Blokada v sajah, pojavi se je Mal ...; Blokada v sajah, Mal se je pojavil...
 Bil sem ji kos. Žal mi je zaradi tvoje noge. Ne bo se ponovilo.; Bil sem ji kos. Žal mi je zaradi tvoje noge, ne bo se ponovilo.
 Čedalje slabše je, kajne? -Ti opravičilo ni zadosti, Arthur?; Čedalje slabše je, kajne? -Ti opravičilo ni dovolj, Arthur?
 Ti? -Združene države.; Ti? -ZDA.
 Kaj hočete od nas? -»Saditev«.; Kaj hočete od nas? -Saditev.
 Je možna? -Jasno, da ni.; Je mogoča? -Jasno, da ni.
 Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vsadil?; Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vstavil?
" Takole; v glavo vam sadim idejo, rečem vam: »Ne mislite na slone«."; Takole, v glavo vam dajem idejo, rečem vam: »Ne mislite na slone«.
 Prave inspiracije ni možno poneveriti. -Ni res.; Pravega navdiha ni možno poneveriti. -Ni res.
 Kako bi vam prijalo oditi domov? V Ameriko?; Kaj ko bi odšli domov? V Ameriko?
 Kako kompleksna je ideja. -Zadosti preprosta.; Kako kompleksna je ideja. -Dovolj preprosta.
 Nobena ni enostavna, če jo je treba nekomu vsaditi v um.; Nobena ni enostavna, če jo je treba nekomu vstaviti v um.
 Če opravim ... če sploh lahko storim, hočem zagotovilo.; Če opravim... če sploh lahko storim, hočem zagotovilo.
 A ga lahko. Torej ...; A ga lahko. Torej...
 Lej, vem kako si želiš domov.; Vem, kako si želiš domov.
 To ni možno izvesti. -Pač, izvedljivo je.; To ni mogoče izvesti. -Pač, izvedljivo je.
 Čemu gremo v Pariz?; Zakaj gremo v Pariz?
 Menim, da utegnejo najti način, da se v tvojem primeru sprovede.; Menim, da utegnejo najti način, da se v tvojem primeru to spremeni.
 Glej ... tole sem ti prinesel, da ob priliki daš otrokoma.; Glej... to sem ti prinesel, da ob priliki daš otrokoma.
 Več kot nagačena plišasta živalca bo treba, da ta otroka prepriča, da še imata očeta.; Več kot nagačena plišasta živalca bo potrebna, da se otroka prepričata, da še imata očeta.
 Nikdar te nisem učil lopovstva. -Ne, naučil si me upravljati človeški um, ampak tako je naneslo, da je bilo polno legitimnih načinov za koriščenje te veščine.; Ne, naučil si me upravljati človeški um, ampak po tem, kar se je zgodilo je bilo veliko legitimnih načinov za koriščenje te veščine.
 Toda potrebujem tvojo pomoč. -Prišel si izpridit enega majih najbistrejših in najboljših.; Toda potrebujem tvojo pomoč. -Prišel si izpridit, enega mojih najbistrejših in najboljših.
 Denar. -Ni le denar. Spomni se. To je ...; Denar. -Ni le denar. Spomni se. To je...
" priložnost graditi katedrale, cela mesta, stvari, ki niso nikoli obstajale; stvari, ki v resničnem svetu ne morejo obstajati."; Priložnost graditi katedrale, celotna mesta, stvari, ki niso nikoli obstajale, stvari, ki v resničnem svetu ne morejo obstajati.
 V sanje sploh ne pridejo. Oni le ... Samo nivoje oblikujejo in o njih poučijo sanjajočega. To je vse. -Sam si jih oblikuj.; V sanje sploh ne pridejo. Oni le... Samo nivoje oblikujejo in o njih poučijo sanjajočega. To je vse. -Sam si jih oblikuj.
" To je njuna realnost. In ta posel, ta poslednji posel; tako pridem tja."; To je njuna realnost. In ta posel, ta poslednji posel, tako pridem tja.
 Ne bi bil tule, če bi poznal kak drug način.; Ne bi bil tukaj, če bi poznal kakšen drug način.
 Pravijo, da koristimo le delček resničnega potenciala svojega uma. Velja, ko smo budni.; Pravijo, da koristimo le delček resničnega potenciala svojega uma.
 Zavestno ustvariš vsak aspekt.; Zavestno ustvariš vsak vidik.
 In naš um počne to tako dobro, da niti ne vemo da se dogaja.; In naš um počne to tako dobro, da niti ne vemo, da se dogaja.
 Kako naj pridobim zadosti detajlov, da bo ta svet smatral kot realnost?; Kako naj pridobim dovolj podrobnosti, da bo ta svet smatral kot realnost?
 Le ko se zbudimo, spoznamo, da je bilo pravzaprav nekaj čudnega.; Le ko se zbudimo spoznamo, da je bilo pravzaprav nekaj čudnega.
 Bi rekla da. -Kako se torej znajdemo tu?; Bi rekla, ja. -Kako se torej znajdemo tu?
 Smo pač prišli iz ... -Razmisli o tem, Ariadne.; Smo pač prišli iz... -Razmisli o tem, Ariadne.
 Če so le sanje, zakaj si zakrivaš ...; Če so le sanje, zakaj si zakrivaš...
 Nikoli niso le sanje, kajne? Obraz poln črepinj boli kot vrag.; Nikoli niso le sanje, kajne? Obraz poln stekla boli kot vrag.
 Razvila ga je vojska. »Deljene sanje« je program urjenja, da se vojaki streljajo, med sabo koljejo in davijo, nakar se prebudijo.; Razvila ga je vojska. »Deljene sanje« je program urjenja, da se vojaki streljajo med sabo, pobijajo in davijo, ter se prebudijo.
 Ampak ... Debatirala sva vsaj kakšno uro.; Ampak... Debatirala sva vsaj kakšno uro.
 V sanjah ti um deluje hitreje, zato ...; V sanjah ti um deluje hitreje, zato...
 Pet minut v resničnem svetu je ena ura v snu.; Pet minut v resničnem svetu je ena ura v spanju.
 Kdo so ti ljudje? -Projekcija moje podzavesti.; Kdo so ti ljudje? -Predstavitev moje podzavesti.
" Jaz sem subjekt; moj um ga naseljuje."; Jaz sem predmet, moj um ga naseljuje.
 Tak je eden od načina izvlačenja informacij iz subjekta.; Tak je eden od načina izvlačenja informacij iz predmeta.
 Kako še ga izvajaš? -Z ustvarjanjem nečesa varnega, kot ...; Kako ga še izvajaš? -Z ustvarjanjem nečesa varnega, kot...
 Mislila sem, naj bi prostor sanj imel opraviti zgolj z vizualnim, ampak, gre bolj za njegovo občutenje.; Mislila sem, naj bi prostor sanj imel opraviti zgolj z vizualnim ampak, gre bolj za njegovo občutenje.
 Čudo, a ni?; Čudo, kajne?
 Bolj kot spreminjaš stvari, hitreje se jim projekcije zbližajo.; Bolj kot spreminjaš stvari, hitreje se jim predstavitve zbližajo.
 Prima, a pravim ti, če boš še naprej takole spreminjala stvari ...; Super, a pravim ti, če boš še naprej takole spreminjala stvari...
 Ježeš. Bi rekel svoji podzavesti, naj se malo brzda?; Ježeš. Bi rekel svoji podzavesti, naj se malo kontrolira?
 Je moja podzavest. Vedi, da je ne morem nadzorovati.; Je moja podzavest. Vedeti moraš, da je ne morem nadzorovati.
 Zelo impresivno.; Zelo prepričljivo.
 To nima veze z mano. Kapiraš? -Me zato rabiš za gradnjo svojih sanj?; To nima veze z mano. Razumeš? -Me zato rabiš za gradnjo svojih sanj?
 -Mal! -Zbudite me! -Mal! Ne, nikar! -Zbudite me!; Mal! -Zbudite me! -Mal! Ne, nikar! -Zbudite me!
 Nič ti ni. Hej? -Zakaj ... Kako, da se nisem zbudila?; Nič ti ni. Hej? -Zakaj... Kako, da se nisem zbudila?
 Totem je majhen osebni ... -To ti je pa res neka podzavest, Cobb!; Totem je majhen osebni... -To je pa res neka podzavest, Cobb!
 Je njegova žena? -Ja. Torej, glede totema: rabiš majhen predmet, po možnosti težak. Nekaj, kar imaš stalno s seboj, česar nihče drug ne pozna. -Kovanec? -Ne. Bolj unikaten mora biti.; Potrebuješ majhen predmet, po možnosti težak. Nekaj, kar imaš vedno s seboj, česar nihče drug ne pozna. -Kovanec? -Ne. Bolj unikaten mora biti.
 In takšnemu ne mislim kar tako odpreti svojega uma.; In takšnemu ne mislim, kar tako odpreti svojega uma.
 Zdaj ji realnost ne bo zadostovala. In, ko se bo vrnila ...; Zdaj ji realnost ne bo zadostovala. In, ko se bo vrnila...
 Preden mi zatežiš rekoč, da je nemogoča ...; Preden me začneš nadlegovati rekoč, da je nemogoča...
 Mučna. -Zato mi Arthur stalno tolmači da ni možna.; Mučna. -Zato mi Arthur vedno tolmači da ni mogoča.
 Probali smo. Vsadili smo idejo, ampak ni vzklila.; Poskušali smo. Vsadili smo idejo, ampak ni delovala.
 Jo nisi vsadil dovolj globoko? -Ne, ne gre le za globino. A veš, rabiš najpreprostejšo verzijo ideje, da se ta naravno razvije v tvojih subjektih.; Jo nisi vsadil dovolj globoko? -Ne, ne gre le za globino. A veš, rabiš najpreprostejšo verzijo ideje, da se ta naravno razvije v tvojih predmetih.
 Um je hudo prefinjena reč. Kakšna potlej je ideja, ki bi jo rad vsadil?; Kakšna je potem ideja, ki bi jo rad vsadil?
 In z vso to kramo si prepuščen na milost in nemilost subjektove presoje.; In z vsemi temi stvarmi si prepuščen na milost in nemilost tvoje predmetne presoje.
 Pa iz popolne osnove moraš začeti.; In začeti moraš iz popolne osnove.
 Yusuf. On cmari lastne variante zmesi.; Yusuf. On ustvarja lastne naključne zmesi.
 Kdaj me boš odvedel tja? -Ko se boš odkrižal zasledovalca.; Kdaj me boš odpeljal tja? -Ko se boš odkrižal zasledovalca.
" Tiralica na mojo glavo; me hočejo mrtvega ali živega?"; Tiralica na mojo glavo, me hočejo mrtvega ali živega?
 Zamoti ga. Dobiva se spodaj, v točilnici, recimo, čez pol ure.; Zamoti ga. Dobiva se spodaj v točilnici recimo, čez pol ure.
 Zdajle ne sanjaš, kaj?; Sedaj ne sanjaš, kaj?
 Kaj počnete v Mombasi? -Zaščititi moram svoje investicije.; Kaj počnete v Mombasi? -Zaščititi moram svoje vloge.
 Ah, a tak je tvoj način da se znebiš zasledovalca?; Takšen je tvoj način, da se znebiš zasledovalca?
 Trudila sem se, da se ne bi, toda ... -Toda nič ni temu podobnega.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Enostavno je ...; Enostavno je...
 Če hočeš zgraditi tri kompletne nivoje sanj, moraš obvladati nekaj trikov.; Če hočeš zgraditi tri popolne nivoje sanj, moraš obvladati nekaj trikov.
 A tako. Kako veliki morajo biti ti nivoji?; V redu. Ampak kako veliki morajo biti ti nivoji?
 Lahko je karkoli velikosti nadstropja do celega mesta.; Lahko je kakršnekoli velikosti nadstropja do celega mesta.
 A biti mora dovolj zapleteni, da se lahko skrijemo pred projekcijo.; A biti mora dovolj zapleten, da se lahko skrijemo pred predstavitvijo.
 In boljši kot je ... -Več časa imamo, preden nas projekcija ujame. -Točno tako.; In boljši kot je... -Več časa imamo, preden nas predstavitev ujame. -Točno tako.
 Nihče ne mara, da mu nekdo drug brklja po umu.; Nihče ne mara, da mu nekdo drug išče po umu.
 Ne več, če ne zmore, ampak noče.; Ne vem če zmore, ampak vem, da noče.
 Misli, da je varneje, če ne pozna razporeditev.; Misli, da je varneje če ne pozna razporeditev.
 Ne, ona je ...; Ne, ona je...
 Kar si videla tam, je le njegova projekcija nje.; Kar si videla tam, je le njegova predstavitev nje.
 In da gre z nami na teren. -Ne, redko zahajam na teren, g. Cobb.; In, da gre z nami na teren. -Ne, redko zahajam na teren, g. Cobb.
 Tam te rabimo zaradi zmesi, prilagojenih našim potrebam.; Tam te potrebujemo zaradi zmesi, prilagojenih našim potrebam.
 Ni možno. Toliko sanj znotraj sanj je preveč nestabilno.; Nemogoče. Toliko sanj znotraj sanj, je preveč nestabilno.
" Pa je možno; le pomirjevalo potrebuješ."; Mogoče je le, če vzameš pomirjevalo.
 Pri takem poslu ni prostora za turiste, gospod Saito.; Pri takšnem poslu ni prostora za turiste, gospod Saito.
 Zdi se, da tokrat je.; Kot izgleda, tokrat je.
 Tole, mislim, da je primerno za začetek. Uporabljam ga vsak dan.; Tole mislim, da je primerno za začetek. Uporabljam ga vsak dan.
 Vsak dan si pridejo delit sanje.; Vsak dan si pridejo deliti sanje.
 Koliko časa sanjajo? -Po 3, 4 ure vsak dan.; Koliko časa sanjajo? -Po tri do štiri ure vsak dan.
" Kakšnih 40 ur; dan za dnem. -Čemu to počno?"; Kakšnih 40 ur, dan za dnem. -Čemu to počnejo?
 Veš, kaj ti je storiti.; Veš, kaj moraš storiti.
 Gospod Saito, tole ni tipična korporacijska špionaža.; Gospod Saito, to ni tipično korporacijsko vohunjenje.
 Ta ideja ga bo opredelila. Utegne mu spremeniti ...; Ta ideja ga bo opredelila. Utegne mu spremeniti...
 A ne moremo delati zgolj na osnovi govoric, kajne?; A ne moremo delati zgolj, na osnovi govoric, kajne?
 Mi lahko omogočite pristop do tegale človeka?; Mi lahko omogočite pristop do tega človeka?
" Browning; desna roka starejšemu Fischerju. Boter Fischerju mlajšemu."; Browning, desna roka starejšemu Fischerju. Boter Fischerju mlajšemu.
 Priporočila so nekaj, kar je moja specialnost, g. Saito.; Priporočila so nekaj, kar je moja posebnost, g. Saito.
 Tule ne voham pogodbe. Odvedite ga dol.; Tukaj ne voham pogodbe. Odpeljite ga dol.
 Aja, naj izrazimo vašo skrb neposredno Mauricu?; Ali naj izrazimo vašo skrb neposredno Mauricu?
 Nisem prepričan, da je potrebno. -Ne, ne, ne. Jaz pa mislim, da bi morali.; Ne, ne, ne. Jaz pa mislim, da bi morali.
 Kako je z njim. -Ne bi ga rad po nepotrebnem vznemirjal, toda ...; Kako je z njim. -Ne bi ga rad po nepotrebnem vznemirjal, toda...
 Robert, ti nisem rekel ... da spokaš iz mesta? -Moment.; Robert, ti nisem rekel, da izgineš iz mesta? -Trenutek.
 Tak daj že. Pojdi ...; Daj že. Pojdi...
 Položil sem mu jo ob posteljo. Niti opazil je ni.; Položil sem mu jo ob posteljo, niti opazil je ni.
 Vem, da je zdaj to težko, vendar nujno. -Ne zdaj, stric Peter.; Vem, da je zdaj to težko, vendar je nujno. -Ne sedaj, stric Peter.
 Bolehnejši, kot je Maurice Fischer, močnejši postaja Peter Browning.; In bolj bolan, kot postaja Maurice Fischer, močnejši postaja Peter Browning.
" Imel sem obilo priložnosti opazovati Browninga; povzeti njegov fizičen videz, preučiti njegovo obnašanje in tako dalje."; Imel sem veliko priložnosti opazovati Browninga, povzeti njegov fizičen videz, preučiti njegovo obnašanje in tako dalje.
 Na prvem nivoju sanj ga lahko upodabljam in sugeriram koncepte Fischerjovemu zavestnemu umu.; Na prvem nivoju sanj ga lahko upodabljam in priporočim koncepte Fischerjovemu zavestnemu umu.
 Nato, ko ga povedemo nivo globlje, bi njegova lastna projekcija Browninga morala, morala bi se mu povrniti.; Nato, ko ga povedemo nivo globlje, bi se njegova lastna projekcija Browninga, morala povrniti.
 Torej si bo sam dal idejo. -Natanko tako.; Torej si bo sam izmislil idejo. -Natanko tako.
 Tvoje odobravanje je vedno cenjeno, Arthur. Hvala.; Tvoje priznanje je vedno cenjeno, Arthur. Hvala.
 Si tja dol zahajal na lastno pest?; Si tja dol zahajal na sam?
 Ne, pač pa sem ... Izvajal sem neke eksperimente.; Ne, pač pa sem... Izvajal sem neke poizkuse.
 Nisem opazil, da bi bil kdo tu. Torej ...; Nisem opazil, da bi bil kdo tu. Torej...
 Ja, jaz ... Obdelujem svoj totem. -Daj, naj si ga pogledam.; Ja, jaz... Obdelujem svoj totem. -Naj si ga pogledam.
 Se torej učiš, a? -Elegantna rešitev za stik z realnostjo.; Se torej učiš, kaj? -Elegantna rešitev za stik z realnostjo.
 Je bila to tvoja ideja? -Ne bila je ... pravzaprav Malina.; Je bila to tvoja ideja? -Ne bila je... pravzaprav Malina.
 Tale ... Ta je bil njen. Zavrtiš ga v sanjah in nikoli ne bo padel.; Zavrtiš ga v sanjah in nikoli ne bo padel.
 Vsak nivo se navezuje na del subjektove podzavest, kamor skušamo dostopiti.; Vsak nivo se navezuje na del predmetove podzavesti, kamor skušamo priti.
 Napravila sem spodnje nadstropje bolnice, da Fischer privede svojega očeta.; Ustvarila sem spodnje nadstropje bolnice, da Fischer privede svojega očeta.
 Zakaj je to tako važno? -V primeru, da eden od nas vnese svoje projekcije, nočemo, da poznajo detajle labirinta.; Zakaj je to tako važno? -V primeru, da eden od nas vnese svoje predstavitve, nočemo, da poznajo podrobnosti labirinta.
 Kajti, sugerirati mu, naj deli očetovo podjetje, je »jebi se« starčku.;" Kajti, priporočiti mu, naj deli očetovo podjetje, je ""jebi se"" starčku."
 Ne, ker menim da pozitivna emocija vedno premaga negativno.; Ne, ker menim, da pozitivna čustev vedno premaga negativno.
 Prav, pa poskusimo s temle: »Moj oče odobrava, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.; Prav, pa poskusimo s temle: »Moj oče odobruje, da hočem ustvarjati sam, na de sledim njegovim stopinjam«.
 Rabimo kaj boljšega od le »morda«. -Hvala ti za sodelovanje, Arthur.;" Potrebujemo kaj boljšega od le ""morda"". -Hvala ti za sodelovanje, Arthur."
 Dorečenost? -Saditev nima opraviti z dorečenostjo.; Dorečenost? -Saditev nima nič opraviti z dorečenostjo.
 Na gornjem nivoju bomo odprli njegov odnos z očetom.; Na zgornjem nivoju bomo odprli njegov odnos z očetom.
 Vsadimo: »Ne bom sledil očetovim stopinjam«.; Vstavimo: »Ne bom sledil očetovim stopinjam«.
 Nato, ko dospemo na spodnji nivo, izvlečemo glavno orožje: »Moj oče noče, da sem kot on«. -Točno.; Nato, ko pridemo na spodnji nivo, izvlečemo glavno orožje: »Moj oče noče, da sem kot on«. -Točno.
 Pomiritev. Za spanje, dosti stabilno za ustvarjanje treh nivojev sanjanja, bo treba kombinirati z izjemno močnim uspavalom.; Pomiritev. Za spanje, dosti stabilno za ustvarjanje treh nivojev sanjanja, bo treba mešati z izjemno močnim uspavalom.
 Troje sanj, kar je 10 ur, to je 20 ... -Pardon, matematika ni moja močnejša plat.; Se opravičujem, matematika ni moja močnejša plat.
 Koliko časa je to? -En teden na prvem nivoju, šest mesecev na drugem, in na tretjem nivoju ...; Koliko časa je to? -En teden na prvem nivoju, šest mesecev na drugem, in na tretjem nivoju...
 Odvisno od sanj. -Ko vsadimo idejo, kako pridemo ven?; Odvisno od sanj. -Ko vstavimo idejo, kako pridemo ven?
" Za občutek padanja gre; dobiš trzljaje, ki te predramijo."; Za občutek padanja gre, dobiš trzljaje, ki te predramijo.
 Aha, to je najbolj premeten del. Napravil sem takega, ki ne vpliva na funkcije ušesa.; Napravil sem takega, ki ne vpliva na funkcije ušesa.
 Nima predvideni nikakršne operacije, ne naročila pri zobarju, nič.; Nima predvidene nikakršne operacije, ne naročila pri zobarju, nič.
 Naj ne bi imel operacije kolena? -Nič. Ničesar, kar bi ga izpostavilo snu.; Iz teh ne. Preveč je uspavan, da bi se prebudil na ta način.
 Rabimo ... rabimo vsaj dobrih 10 ur.; Potrebujemo... Potrebujemo vsaj dobrih 10 ur.
 Ker je v Boingu 747 pilotova kabina v nadstropju, prvi razred pa v nosu, tako nihče ne hodi skozenj.; Ker je v Boingu 747 pilotova kabina v nadstropju, prvi razred pa v nosu, tako nihče ne hodi skozi.
 Karkoli že je, se te ne tiče. -Prav vse se me tiče.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.
 Zakaj si to delaš? -Edini način je, da še lahko sanjam.; Zakaj si to počneš? -Edini način je, da še lahko sanjam.
 Tvoji spomini so, in rekel si, naj se spominov nikoli ne uporablja.; Tvoji spomini so in rekel si, naj se spominov nikoli ne uporablja.
 Oh, kaj pa je tam spodaj za čemer žaluješ?; Kaj pa je tam spodaj za čemer žaluješ?
 Mislil sem ju poklicati, da se obrneta in nasmehneta, da bi lahko videl njuna prelepa obraza, ampak ...; Mislil sem ju poklicati, da se obrneta in nasmehneta, da bi lahko videl njuna prelepa obraza, ampak...
 Potem me je zgrabila panika. Spoznal sem, da bom obžaloval ta trenutka ko ...; Potem me je zgrabila panika. Spoznal sem, da bom obžaloval ta trenutek ko...
 Nameravam ju poklicati ... pa zbežita.; Nameravam ju poklicati... pa zbežita.
 Ime mi je ... -Vem kdo si. Kaj delaš tukaj?; Ime mi je... -Vem kdo si. Kaj delaš tukaj?
 Zastavila ti bom uganka.; Povedala ti bom uganko.
 Pa saj ni važno. Kako to, da ti ni pomembno, kat te bo vlak odpeljal?; Pa saj ni važno. Kako to, da ti ni pomembno, kam te bo vlak odpeljal?
 Robert trupla ne bo mogel prevzeto pred torkom. Kreniti moramo.; Robert trupla ne bo mogel prevzeti pred torkom. Kreniti moramo.
 Preskrbi nam še en sedež na letalu.; Priskrbi nam še en sedež na letalu.
" Zaključite posel na krovu. Iz letala bom opravil telefonski klic; ne boste imel nobenega problema pri prečenju meje."; Zaključite posel na krovu. Iz letala bom opravil telefonski klic, ne boste imel nobenega problema pri prečkanju meje.
 Saj dovolite. -Pa ja, se opravičujem.; Saj dovolite. -Ja, se opravičujem.
 Veste, nisem mogel spregledati, toda, da niste slučajno v sorodu ...; Veste, nisem mogel spregledati, toda, ali ste slučajno v sorodu...
 z Mauricem Fischerjem? -Da, on ...; Z Mauricem Fischerjem? -Da, on...
 Bil je zelo navdihujoča osebnost. Sožalje ob vaši izgubi. - Gospod ...; Bil je zelo navdihujoča osebnost. Sožalje ob vaši izgubi. -Gospod...
 Izvolite. -Hvala. -Hej ...; Izvolite. -Hvala. -Hej...
 Nalivanje s preveč zastonj šampanjca pred odhodom, a, Yusuf? -Ha ha, hudo smešno.; Nalivanje s preveč zastonj šampanjca pred odhodom, a Yusuf? -Zelo smešno.
 Drekač! Ej, model, kaj ko bi ... -Odkorakaj.; Drekač! Ej, model, kaj ko bi... -Odidi.
 Kaj počnete? -O, pardon. Sem mislil, da je prosto.; Kaj počnete? -Se opravičujem. Sem mislil, da je prosto.
 Lahko ustavite in se znebite tegale ...; Lahko ustavite in se znebite tega...
 Tu notri je 500 $, denarnica pa je vredna še več.; Tu notri je 500$, denarnica pa je vredna še več.
 Se bojim da ...; Se bojim da...
 Tega ni v mojem dizajnu.; Tega ni v mojem načrtu.
 A si v redu? -Ja, dobro. Ni mi sile.; A si v redu? -Ja, dobro.
 Spravi ga v sobo! -Kaj za vraga ...; Spravi ga v sobo! -Kaj za vraga...
